"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalppppppp_X20110316_mir.1_L2","ABalppppppp","X20110316_mir.1_L2",NA,337.209090909091,5.61007211102577,NA,73.6727272727273,3.50773171981293,NA,NA,90.1,16.4272727272727,4.68316109652445
"ABplpappaa_X20110316_mir.1_L2","ABplpappaa","X20110316_mir.1_L2",255.3,267.013636363636,3.93449887346297,41.7,52.9545454545455,3.3441814818502,-11.2545454545455,-3.36541109255792,NA,NA,NA
"ABalaaappr_X20110203_RW10890_pal.1_L4","ABalaaappr","X20110203_RW10890_pal.1_L4",316.9,298.890909090909,5.5896084785719,90.9,72.7636363636364,5.24645417260852,18.1363636363636,3.45688021655706,NA,NA,NA
"ABalpaaapa_X20110203_RW10890_pal.1_L4","ABalpaaapa","X20110203_RW10890_pal.1_L4",NA,313.97619047619,5.18120688275471,NA,82.9809523809524,3.61560770101224,NA,NA,94,11.0190476190476,3.04763362904738
"ABaraappaa_X20110203_RW10890_pal.1_L4","ABaraappaa","X20110203_RW10890_pal.1_L4",318.6,301.431818181818,5.71892317233606,98.7,82.1090909090909,5.37382625863627,16.5909090909091,3.08735494830073,NA,NA,NA
"ABaraappap_X20110203_RW10890_pal.1_L4","ABaraappap","X20110203_RW10890_pal.1_L4",293.4,282.440909090909,3.21123905635445,73.6,63.1136363636364,2.90226437943522,10.4863636363636,3.61316622657384,NA,NA,NA
"ABplpppaap_X20110203_RW10890_pal.1_L4","ABplpppaap","X20110203_RW10890_pal.1_L4",307.5,299.072727272727,3.57227176193603,84.5,75.2227272727273,3.02417746679148,9.27727272727273,3.06770116143862,NA,NA,NA
"ABala_X20110125_RW10890_pal.1_L3","ABala","X20110125_RW10890_pal.1_L3",76.5,74.2454545454545,1.7740798480788,10.7,17.4590909090909,1.87175982660299,-6.75909090909091,-3.61108878020842,NA,NA,NA
"ABalp_X20110125_RW10890_pal.1_L3","ABalp","X20110125_RW10890_pal.1_L3",76.5,74.0136363636364,1.70469811726173,10.7,17.2363636363636,1.89423824481994,-6.53636363636364,-3.45065550980097,NA,NA,NA
"ABara_X20110125_RW10890_pal.1_L3","ABara","X20110125_RW10890_pal.1_L3",76.5,73.95,1.80178482939239,10.7,17.0909090909091,1.78883018196625,-6.39090909090909,-3.57267512329443,NA,NA,NA
