paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
AB NA																																												
ABa 1						-1							0	-1	0		0		2									-1							0	-1	0		0		2			
ABal 1	3	-6	3		-5	2	1	3	-3	-7	-6	-5	3	3	3	2	2	2	1	3	3	-2	3	-6	3		-5	2	1	3	-3	-7	-6	-5	3	3	3	2	2	2	1	3	3	-2
ABala 1	2	2	-1	-7	1	0	1	0	0	-1	2	1	0	-1	-2	0	1	1	0	0	1	-1	2	2	-1	-7	1	0	1	0	0	-1	2	1	0	-1	-2	0	1	1	0	0	1	-1
ABalaa 1	1	1	0	-2	2	-2	-2	1	-1	1	2	-2	1	-1	0	-1	0	2	0	-2	1	1	1	1	0	-2	2	-2	-2	1	-1	1	2	-2	1	-1	0	-1	0	2	0	-2	1	1
ABalaaa 1	2	1	-2	0	0	-1	2	-1	-1	-2	4	0	-1	-1	-1	-1	1	1	1	0	1	-3	2	1	-2	0	0	-1	2	-1	-1	-2	4	0	-1	-1	-1	-1	1	1	1	0	1	-3
ABalaaaa 1	2	3	-1	-1	-1	-1	0	0	0	-2	6	-1	-2	-1	-1	0	1	2	-2	-1	0	0	2	3	-1	-1	-1	-1	0	0	0	-2	6	-1	-2	-1	-1	0	1	2	-2	-1	0	0
ABalaaaal 1	-4	-2	1	0	3	-3	2	1	2	0	2	3	0	-2	-2	-2	0	1	-1	1	0	0	-4	-2	1	0	3	-3	2	1	2	0	2	3	0	-2	-2	-2	0	1	-1	1	0	0
ABalaaaala 1	12	2		-7	5	3		-13	-2	-14		5			-6	6	6	-5	10	10	-9	-4	12	2		-7	5	3		-13	-2	-14		5			-6	6	6	-5	10	10	-9	-4
ABalaaaalal NA																																												
ABalaaaalar NA																																												
ABalaaaalp 1	8	-1	-2	2	6	-1	-3	-2	-2	-1	-8	1	7	17	-2	-5	-1	-1	-2	1	-4	-6	8	-1	-2	2	6	-1	-3	-2	-2	-1	-8	1	7	17	-2	-5	-1	-1	-2	1	-4	-6
ABalaaaalpa NA																																												
ABalaaaalpp NA																																												
ABalaaaar 1	-4	-2	3	2	-2	-1	1	2	0	4	0	3	0	-2	-1	-1	-3	0	0	-1	3	0	-4	-2	3	2	-2	-1	1	2	0	4	0	3	0	-2	-1	-1	-3	0	0	-1	3	0
ABalaaaarl 1	4	2	1	2	-2	-4	-2	-1	5	3	-4	6	4	-1	-3	-1	-4	7	-7	2	-4	-6	4	2	1	2	-2	-4	-2	-1	5	3	-4	6	4	-1	-3	-1	-4	7	-7	2	-4	-6
ABalaaaarla NA																																												
ABalaaaarlp NA																																												
ABalaaaarr 1	1	0	10	6	7	-9	-2	3	0	1	-1	-1	2	-2	0	1	-5	1	2	-1	-4	-5	1	0	10	6	7	-9	-2	3	0	1	-1	-1	2	-2	0	1	-5	1	2	-1	-4	-5
ABalaaaarra NA																																												
ABalaaaarrp NA																																												
ABalaaap 1	4	1	0	-3	0	-2	-1	-1	-1	-1	4	0	0	-2	-2	0	0	2	0	0	1	0	4	1	0	-3	0	-2	-1	-1	-1	-1	4	0	0	-2	-2	0	0	2	0	0	1	0
ABalaaapa 1	-2	-1	5	-1	-1	1	-1	0	-1	-1	1	2	-1	-2	-1	2	-2	0	0	1	3	-1	-2	-1	5	-1	-1	1	-1	0	-1	-1	1	2	-1	-2	-1	2	-2	0	0	1	3	-1
ABalaaapal 1	1	-4	3	0	-1	2	0	1	3	-2	0	2	-1	4	-3	1	-2	-1	0	3	-4	-4	1	-4	3	0	-1	2	0	1	3	-2	0	2	-1	4	-3	1	-2	-1	0	3	-4	-4
ABalaaapall NA																																												
ABalaaapalr NA																																												
ABalaaapar 1	-3	3		-1	7	-2	3	-5	3	-8	1	1	5	1	0	-4	4	7	2	2	-11	-4	-3	3		-1	7	-2	3	-5	3	-8	1	1	5	1	0	-4	4	7	2	2	-11	-4
ABalaaaparl NA																																												
ABalaaaparr NA																																												
ABalaaapp 1	-2	-1	1	0	-2	-1	1	-1	-1	-1	-1	3	2	0	2	0	-1	2	-4	0	1	1	-2	-1	1	0	-2	-1	1	-1	-1	-1	-1	3	2	0	2	0	-1	2	-4	0	1	1
ABalaaappl 1	-2	2	9	-6	1	-2	-1	-2	4	-3	0	4	6	4	1	-3	3	1	-8	2	-5	-4	-2	2	9	-6	1	-2	-1	-2	4	-3	0	4	6	4	1	-3	3	1	-8	2	-5	-4
ABalaaappll NA																																												
ABalaaapplr NA																																												
ABalaaappr 1	0	0	18	-2	-2	10	-1	0	-1	-4	-3	6	-1	-1	-2	-1	0	-4	-2	-3	-3	-5	0	0	18	-2	-2	10	-1	0	-1	-4	-3	6	-1	-1	-2	-1	0	-4	-2	-3	-3	-5
ABalaaapprl NA																																												
ABalaaapprr NA																																												
ABalaap 1	4	-1	-2	0	1	0	1	-2	-1	0	4	-2	-1	-1	-1	3	0	1	-1	0	0	-1	4	-1	-2	0	1	0	1	-2	-1	0	4	-2	-1	-1	-1	3	0	1	-1	0	0	-1
ABalaapa 1	-3	0	3	-3	-2	2	-2	-3	-1	-1	0	0	0	2	1	0	2	7	0	-1	2	-3	-3	0	3	-3	-2	2	-2	-3	-1	-1	0	0	0	2	1	0	2	7	0	-1	2	-3
ABalaapaa 1	1	3	1	1	1	0	0	-2	2	0	-3	1	-3	0	0	-1	-3	4	-2	1	0	-1	1	3	1	1	1	0	0	-2	2	0	-3	1	-3	0	0	-1	-3	4	-2	1	0	-1
ABalaapaaa 1	0	10		-2				-5	0		-4	3			2	-5	8		4	-3	-6	-2	0	10		-2				-5	0		-4	3			2	-5	8		4	-3	-6	-2
ABalaapaaal NA																																												
ABalaapaaar NA																																												
ABalaapaap 1	2	3		-4	5	0	0	-1	-5	1	-6	-2	2		4	0	6	4	1	-3	-1	-6	2	3		-4	5	0	0	-1	-5	1	-6	-2	2		4	0	6	4	1	-3	-1	-6
ABalaapaapa NA																																												
ABalaapaapp NA																																												
ABalaapap 1	-1	0	2	-2	0	-1	0	-1	0	2	-2	3	-1	-2	2	-2	-1	5	-1	0	1	-1	-1	0	2	-2	0	-1	0	-1	0	2	-2	3	-1	-2	2	-2	-1	5	-1	0	1	-1
ABalaapapa NA																																												
ABalaapapp 1	0	-3	5	-4	2	-4	4	5	-2	-1	-4	0	-3	5	3	-2	-3	11	-1	-4	-2	-4	0	-3	5	-4	2	-4	4	5	-2	-1	-4	0	-3	5	3	-2	-3	11	-1	-4	-2	-4
ABalaapappa NA																																												
ABalaapappp NA																																												
ABalaapp 1	-1	0	1	-2	0	-3	0	0	0	1	2	2	1	0	0	1	-1	0	-1	2	0	-1	-1	0	1	-2	0	-3	0	0	0	1	2	2	1	0	0	1	-1	0	-1	2	0	-1
ABalaappa 1	0	2	0	-3	1	2	4	-2	1	-1	0	2	-1	0	4	-2	0	-1	-3	0	-2	-1	0	2	0	-3	1	2	4	-2	1	-1	0	2	-1	0	4	-2	0	-1	-3	0	-2	-1
ABalaappaa NA																																												
ABalaappap 1	-6	2	-3	-2	6	0	1	2	3	-1	-5	-3	8	8	0	0	0	0	-1	2	-8	-2	-6	2	-3	-2	6	0	1	2	3	-1	-5	-3	8	8	0	0	0	0	-1	2	-8	-2
ABalaappapa NA																																												
ABalaappapp NA																																												
ABalaappp 1	0	-2	1	-2	-3	0	6	0	0	1	0	0	-2	-2	0	1	-1	0	-1	3	1	0	0	-2	1	-2	-3	0	6	0	0	1	0	0	-2	-2	0	1	-1	0	-1	3	1	0
ABalaapppa 1	-1	-3	2	-4	3	3	-2	1	0	-2	-6	-3	-2	23	-2	-2	0	-7	3	0	3	-6	-1	-3	2	-4	3	3	-2	1	0	-2	-6	-3	-2	23	-2	-2	0	-7	3	0	3	-6
ABalaapppaa NA																																												
ABalaapppap NA																																												
ABalaapppp 1	-1	2	-4	-2	1	0	1	3	0	-1	-2	0	-1	3	-2	0	5	1	2	2	1	-5	-1	2	-4	-2	1	0	1	3	0	-1	-2	0	-1	3	-2	0	5	1	2	2	1	-5
ABalaappppa 1																			1		-4	3																			1		-4	3
ABalaappppaa NA																																												
ABalaappppap NA																																												
ABalaappppp NA																																												
ABalap 1	1	0	0	0	2	-2	-2	2	0	1	0	-1	-1	-1	2	-1	1	1	0	-3	1	1	1	0	0	0	2	-2	-2	2	0	1	0	-1	-1	-1	2	-1	1	1	0	-3	1	1
ABalapa 1	1	0	-2	-2	1	-1	0	0	-1	-2	3	0	1	-2	-2	1	0	2	0	0	1	1	1	0	-2	-2	1	-1	0	0	-1	-2	3	0	1	-2	-2	1	0	2	0	0	1	1
ABalapaa 1	0	1	-1	1	-2	0	1	0	0	-1	4	2	-2	-1	-2	4	0	2	-3	0	-1	-2	0	1	-1	1	-2	0	1	0	0	-1	4	2	-2	-1	-2	4	0	2	-3	0	-1	-2
ABalapaaa 1	-1	-4	2	-2	-4	1	0	0	0	0	-2	2	0	1	-3	0	1	1	2	2	1	2	-1	-4	2	-2	-4	1	0	0	0	0	-2	2	0	1	-3	0	1	1	2	2	1	2
ABalapaaaa 1		3													6		6		-5	3	-4	-7		3													6		6		-5	3	-4	-7
ABalapaaaaa NA																																												
ABalapaaaap NA																																												
ABalapaaap 1	-1	5	0	3	4	3	3	-1	-4	-7	-3	-1	-2	2	0	-1	-1	-2	3	0	1	-3	-1	5	0	3	4	3	3	-1	-4	-7	-3	-1	-2	2	0	-1	-1	-2	3	0	1	-3
ABalapaaapa NA																																												
ABalapaaapp NA																																												
ABalapaap 1	-2	-1	1	-1	-2	2	2	1	-3	-1	-3	0	0	-2	-3	2	-1	0	0	6	2	1	-2	-1	1	-1	-2	2	2	1	-3	-1	-3	0	0	-2	-3	2	-1	0	0	6	2	1
ABalapaapa 1	-10	0	-5	-3	2	-2		-4	1	-1	-4	-4	10	24	0	-4	-7	-1	-2	20	-3	-7	-10	0	-5	-3	2	-2		-4	1	-1	-4	-4	10	24	0	-4	-7	-1	-2	20	-3	-7
ABalapaapaa NA																																												
ABalapaapap NA																																												
