Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
AB,34.9142857142857,0,0,0,0,0,NA,NA,11.9
ABa,41.9363636363636,0,0,0,0,0,1,12.05,12.05
ABal,55.0954545454545,0,0,0,0,0,1,12.2095238095238,12.2095238095238
ABala,74.2454545454545,0,1,0,0,1,1,17.4590909090909,17.4590909090909
ABalaa,101.718181818182,0,0,0,0,0,1,25.7272727272727,25.7272727272727
ABalaaa,135.586363636364,0,0,0,0,0,1,32.1590909090909,32.1590909090909
ABalaaaa,179.959090909091,1,0,0,0,1,1,42.7227272727273,42.7227272727273
ABalaaaal,230.536363636364,0,0,0,0,0,1,48.9409090909091,48.9409090909091
ABalaaaala,329.247058823529,0,0,0,0,0,1,97.3294117647059,97.3294117647059
ABalaaaalal,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalar,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalp,323.577272727273,1,0,0,0,1,1,91.4136363636364,91.4136363636364
ABalaaaalpa,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalpp,NA,0,0,0,0,0,NA,NA,NA
ABalaaaar,232,0,0,0,0,0,1,50.3954545454545,50.3954545454545
ABalaaaarl,312.536363636364,0,0,0,0,0,1,78.9045454545455,78.9045454545455
ABalaaaarla,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarlp,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarr,313.013636363636,0,0,0,0,0,1,79.3954545454545,79.3954545454545
ABalaaaarra,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarrp,NA,0,0,0,0,0,NA,NA,NA
ABalaaap,174.35,0,0,0,0,0,1,37.1,37.1
ABalaaapa,224.254545454545,0,0,0,0,0,1,48.2363636363636,48.2363636363636
ABalaaapal,297.836363636364,0,0,0,0,0,1,71.9636363636364,71.9636363636364
ABalaaapall,NA,0,0,0,0,0,NA,NA,NA
ABalaaapalr,NA,0,0,0,0,0,NA,NA,NA
ABalaaapar,311.804761904762,0,0,0,0,0,1,86.0714285714286,86.0714285714286
ABalaaaparl,NA,0,0,0,0,0,NA,NA,NA
ABalaaaparr,NA,0,0,0,0,0,NA,NA,NA
ABalaaapp,224.531818181818,0,0,0,0,0,1,48.5090909090909,48.5090909090909
ABalaaappl,311.059090909091,0,0,0,0,0,1,84.9227272727273,84.9227272727273
ABalaaappll,NA,0,0,0,0,0,NA,NA,NA
ABalaaapplr,NA,0,0,0,0,0,NA,NA,NA
ABalaaappr,298.890909090909,1,0,0,0,1,1,72.7636363636364,72.7636363636364
ABalaaapprl,NA,0,0,0,0,0,NA,NA,NA
ABalaaapprr,NA,0,0,0,0,0,NA,NA,NA
ABalaap,135.818181818182,0,0,0,0,0,1,32.3954545454545,32.3954545454545
ABalaapa,179.909090909091,1,0,0,0,1,1,42.4318181818182,42.4318181818182
ABalaapaa,235.045454545455,0,0,0,0,0,1,53.5181818181818,53.5181818181818
ABalaapaaa,333.371428571429,0,0,0,0,0,1,97.3214285714286,97.3214285714286
ABalaapaaal,NA,0,0,0,0,0,NA,NA,NA
ABalaapaaar,NA,0,0,0,0,0,NA,NA,NA
ABalaapaap,323.805,0,0,1,0,1,1,87.18,87.18
ABalaapaapa,NA,0,0,0,0,0,NA,NA,NA
ABalaapaapp,NA,0,0,0,0,0,NA,NA,NA
ABalaapap,233.668181818182,0,0,0,0,0,1,52.15,52.15
ABalaapapa,NA,0,0,0,0,0,NA,NA,NA
ABalaapapp,308.490909090909,0,0,0,0,0,1,73.1590909090909,73.1590909090909
ABalaapappa,NA,0,0,0,0,0,NA,NA,NA
ABalaapappp,NA,0,0,0,0,0,NA,NA,NA
ABalaapp,174,0,0,0,0,0,1,36.4954545454545,36.4954545454545
ABalaappa,228.772727272727,0,0,0,0,0,1,53.1545454545455,53.1545454545455
ABalaappaa,NA,0,0,0,0,0,NA,NA,NA
ABalaappap,306.718181818182,0,0,0,0,0,1,76.3,76.3
ABalaappapa,NA,0,0,0,0,0,NA,NA,NA
ABalaappapp,NA,0,0,0,0,0,NA,NA,NA
ABalaappp,221.618181818182,1,0,0,0,1,1,46,46
ABalaapppa,314.981818181818,1,0,0,0,1,1,91.7136363636364,91.7136363636364
ABalaapppaa,NA,0,0,0,0,0,NA,NA,NA
ABalaapppap,NA,0,0,0,0,0,NA,NA,NA
ABalaapppp,288.254545454545,0,0,0,0,0,1,64.9909090909091,64.9909090909091
ABalaappppa,405.233333333333,0,0,0,0,0,1,117.4,117.4
ABalaappppaa,NA,0,0,0,0,0,NA,NA,NA
ABalaappppap,NA,0,0,0,0,0,NA,NA,NA
ABalaappppp,NA,0,0,0,0,0,NA,NA,NA
ABalap,101.613636363636,0,0,0,0,0,1,25.6181818181818,25.6181818181818
ABalapa,133.718181818182,0,0,0,0,0,1,30.4,30.4
ABalapaa,173.904545454545,0,0,0,0,0,1,38.5727272727273,38.5727272727273
ABalapaaa,227.963636363636,0,0,0,0,0,1,52.3863636363636,52.3863636363636
ABalapaaaa,347.2,0,0,0,0,0,1,118.442857142857,118.442857142857
ABalapaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapaaaap,NA,0,0,0,0,0,NA,NA,NA
ABalapaaap,300.331818181818,0,0,0,0,0,1,70.7409090909091,70.7409090909091
ABalapaaapa,NA,0,0,0,0,0,NA,NA,NA
ABalapaaapp,NA,0,0,0,0,0,NA,NA,NA
ABalapaap,223.968181818182,0,0,0,0,0,1,48.4045454545455,48.4045454545455
ABalapaapa,320.066666666667,0,0,0,0,0,1,94.5142857142857,94.5142857142857
ABalapaapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapaapap,NA,0,0,0,0,0,NA,NA,NA
ABalapaapp,290.5,0,0,0,0,0,1,64.8727272727273,64.8727272727273
ABalapaappa,408.366666666667,0,0,0,0,0,1,117.9,117.9
ABalapaappaa,NA,0,0,0,0,0,NA,NA,NA
ABalapaappap,NA,0,0,0,0,0,NA,NA,NA
ABalapaappp,NA,0,0,0,0,0,NA,NA,NA
ABalapap,170.245454545455,0,0,0,0,0,1,34.9045454545455,34.9045454545455
ABalapapa,224.504545454545,0,0,0,0,0,1,52.6045454545455,52.6045454545455
ABalapapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapapap,289.563636363636,0,0,0,0,0,1,63.4318181818182,63.4318181818182
ABalapapapa,400.866666666667,0,0,0,0,0,1,110.366666666667,110.366666666667
ABalapapapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapapapap,NA,0,0,0,0,0,NA,NA,NA
ABalapapapp,NA,0,0,0,0,0,NA,NA,NA
ABalapapp,217.336363636364,0,0,0,0,0,1,45.45,45.45
ABalapappa,277.586363636364,0,0,0,0,0,1,58.6454545454545,58.6454545454545
ABalapappaa,399.066666666667,0,0,0,0,0,1,120.633333333333,120.633333333333
ABalapappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapappaap,NA,0,0,0,0,0,NA,NA,NA
ABalapappap,NA,0,0,0,0,0,NA,NA,NA
ABalapappp,293.05,0,0,0,0,0,1,74.1045454545455,74.1045454545455
ABalapapppa,NA,0,0,0,0,0,NA,NA,NA
ABalapapppp,NA,0,0,0,0,0,NA,NA,NA
ABalapp,133.759090909091,0,0,0,0,0,1,30.45,30.45
ABalappa,177.286363636364,0,0,0,0,0,1,41.8863636363636,41.8863636363636
ABalappaa,238.009090909091,0,0,0,0,0,1,59.1,59.1
ABalappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalappaap,337.869230769231,0,0,0,0,0,1,98.2307692307692,98.2307692307692
ABalappaapa,NA,0,0,0,0,0,NA,NA,NA
ABalappaapp,NA,0,0,0,0,0,NA,NA,NA
ABalappap,226.290909090909,0,0,0,0,0,1,47.3681818181818,47.3681818181818
ABalappapa,330.76875,0,0,0,0,0,1,102.86875,102.86875
ABalappapaa,NA,0,0,0,0,0,NA,NA,NA
ABalappapap,NA,0,0,0,0,0,NA,NA,NA
ABalappapp,293.595454545455,0,0,0,0,0,1,65.6863636363636,65.6863636363636
ABalappappa,NA,0,0,0,0,0,NA,NA,NA
ABalappappp,NA,0,0,0,0,0,NA,NA,NA
ABalappp,170.627272727273,0,0,0,0,0,1,35.2045454545455,35.2045454545455
ABalapppa,217.754545454545,0,0,0,0,0,1,45.4909090909091,45.4909090909091
ABalapppaa,294.031818181818,0,0,0,0,0,1,74.6545454545455,74.6545454545455
ABalapppaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapppaap,NA,0,0,0,0,0,NA,NA,NA
ABalapppap,283.104545454545,0,0,0,0,0,1,63.7363636363636,63.7363636363636
ABalapppapa,400.266666666667,0,0,0,0,0,1,115.2,115.2
ABalapppapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapppapap,NA,0,0,0,0,0,NA,NA,NA
ABalapppapp,NA,0,0,0,0,0,NA,NA,NA
ABalapppp,217.604545454545,1,0,0,0,1,1,45.35,45.35
ABalappppa,277.381818181818,0,0,0,0,0,1,58.1409090909091,58.1409090909091
ABalappppaa,398.5,0,0,0,0,0,1,120.033333333333,120.033333333333
ABalappppaaa,NA,0,0,0,0,0,NA,NA,NA
ABalappppaap,NA,0,0,0,0,0,NA,NA,NA
ABalappppap,NA,0,0,0,0,0,NA,NA,NA
ABalappppp,289.836363636364,0,0,0,0,0,1,70.6045454545455,70.6045454545455
ABalapppppa,NA,0,0,0,0,0,NA,NA,NA
ABalapppppp,NA,0,0,0,0,0,NA,NA,NA
ABalp,74.0136363636364,0,1,0,0,1,1,17.2363636363636,17.2363636363636
ABalpa,101.372727272727,0,0,0,0,0,1,25.6136363636364,25.6136363636364
ABalpaa,132.75,0,0,0,0,0,1,29.6727272727273,29.6727272727273
ABalpaaa,176.472727272727,0,0,0,0,0,1,42.0863636363636,42.0863636363636
ABalpaaaa,231.3,0,0,0,0,0,1,53.1818181818182,53.1818181818182
ABalpaaaaa,306.322727272727,0,0,0,0,0,1,73.3818181818182,73.3818181818182
ABalpaaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaaap,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaap,316.554545454545,0,0,0,0,0,1,83.6136363636364,83.6136363636364
ABalpaaaapa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaapp,NA,0,0,0,0,0,NA,NA,NA
