"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"AB","AB",4.35862353697987,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.07275349019382,-Inf,-Inf,2.78415640120549,2.19906295400889,2.44322983133025,-Inf,3.79103583722823,-Inf,-Inf
"ABa","ABa",6.2908206029876,5.44141546267099,-Inf,2.80319698369538,3.33093625211213,5.51437308593893,2.75525761542096,5.54612092421759,6.97864744219657,9.50270381838396,5.96710542024552,6.37635750572613,4.66294855950643,4.56214424239102,3.5563554939141,3.95397125580913,2.83227153949514,3.37246964235085,3.45495599859975,2.86714110036777,4.96420174649767,3.19935776741723
"ABal","ABal",6.54069953594,4.28840885172018,4.05657105465559,3.40099251324591,3.63186845049883,4.26522273975716,6.25502790958281,3.22578854215282,5.74575361646972,6.74098728106699,4.74352296352689,4.91337703848001,3.68522790033995,2.55130076490505,5.20572877812744,3.32961737455417,4.27751265615973,4.86068043251019,4.59631816047862,3.52550311463361,7.48863917341545,5.14526509790655
"ABala","ABala",3.9957854863459,5.85435098800003,4.68590972885709,2.73559714423326,2.32210284209676,4.15598066751291,2.03094435010632,3.91028378558128,4.10328178011105,3.78366803325407,4.19177543084208,2.94790270650792,5.16788177310944,4.04338323550737,3.21965490168596,3.98299938056035,2.9808112013323,5.80273161665056,5.48563210863046,3.36957000165181,3.66789351916322,3.61260705752316
"ABalaa","ABalaa",3.04686144580452,5.00502409480371,2.50187592882363,2.75884441360128,5.16940035252325,5.3473980481554,2.30388401260801,2.68378901709484,3.61731861770617,3.14146654916982,4.57589456921538,4.18638439717987,2.86835596685772,3.93046708490745,4.76085517475313,4.57805543784866,2.02056063736187,5.76840189395688,6.05420931362826,4.05082696729576,4.83279879792928,3.61057547347747
"ABalaaa","ABalaaa",3.11959090354834,4.81532719896144,4.70330275466868,4.64843276750955,5.65403335093177,5.53702105225105,3.30814796755021,3.50744616599699,5.13011422290931,3.33496427399683,5.11634271818428,4.80340411503731,4.84102275330529,4.11938326594711,3.4868408918969,4.78873937413474,2.73608474376545,5.17226544941611,3.99491752593711,3.45139811384539,5.43111421664587,3.12342601316381
"ABalaaaa","ABalaaaa",3.45737433257063,4.41285271929246,3.63828184427263,5.44700016851284,3.96870607455455,6.61324309244461,4.62861879793685,4.02734628326489,7.18539424446192,5.6335175651627,5.80186045703663,5.13369243416579,3.93588680213963,4.96627969710943,4.93653572701209,3.90517921048491,4.53667507754292,4.33148511972683,5.82469009172926,7.3103699129704,4.94604368014096,7.43287748270494
"ABalaaaal","ABalaaaal",3.87685605479472,3.4417415861291,3.21077735977535,4.12365334785225,4.07366934083907,2.68091279015744,4.46237599580818,3.86646540566037,3.18784441793689,2.75050897630193,2.60835830702978,2.6353174728809,2.84425257796714,3.34438234345552,4.23367794306792,3.65866333941319,2.4345342237906,4.28690428534374,2.71324736531199,2.78230833471445,3.68849091654065,3.70729875124794
"ABalaaaala","ABalaaaala",3.33519920229786,3.10046430637961,2.16543291386721,2.32178192579909,3.15495796728833,3.62176968364618,2.04069006117351,4.00285693900029,3.62252971367058,2.66832877181994,2.77242919411184,3.70309425473524,2.04213919081476,2.57981198727727,2.9919627662014,3.97431587539139,3.35345215145286,2.92650712814115,3.68743959188509,2.05537080812313,2.31065810458448,3.31268174095882
"ABalaaaalal","ABalaaaalal",0.343249281432827,-Inf,2.36689200805144,1.7512661681309,-Inf,2.58121469990054,0.774004476147419,3.12675338373773,-Inf,1.91179834863763,1.40208162234725,1.2258005655516,3.42207452170935,1.59807836846039,2.42285169500502,-Inf,-Inf,2.34201120637886,4.10895519908349,6.17538202966233,2.2139998591561,2.75337437304102
"ABalaaaalar","ABalaaaalar",0.504683943030627,-Inf,1.45309586858741,2.31171147057754,-Inf,2.79902586117747,0.593626072836552,4.28855447915837,-Inf,2.20041847313907,2.10351510873403,2.17863068068983,2.51683863455369,1.58628129857905,2.87085332189009,-Inf,-Inf,3.04579105276208,3.65687176574611,2.69480982631428,2.08110703669498,2.44849613355275
"ABalaaaalp","ABalaaaalp",2.91762870503591,3.49869404831493,1.94441754060702,4.526410799795,2.79885233268304,3.12367295424378,3.05453467941598,2.65764526397319,3.66859124053123,2.24497666179657,2.81725057927872,3.03067327244957,1.94138228342946,2.66301052002622,2.993202044581,3.83336997583956,4.00041538227855,2.66666671729803,3.96976694363496,2.70122077884407,2.46610049272687,2.37244950134113
"ABalaaaalpa","ABalaaaalpa",1.25797112426358,1.10841768761666,1.72865639466851,2.88082955497258,0.664261644821334,3.52399976160529,1.51263949664825,2.44822001276085,2.75312419469318,3.24001484622974,1.46251929064251,2.1740105743489,2.45064156067488,2.32386094486168,1.54126257778644,2.54510438277639,2.29365284348424,1.96788850186853,3.88113417435404,2.42620507824097,2.30979571607534,2.50082901993801
