"","Cells","20101213_RW10889_pal.1_L2","20101213_RW10889_pal.1_L3","20110125_RW10890_pal.1_L3","20110125_RW10890_pal.1_L4","20110203_RW10890_pal.1_L4","20110209_UP2051_mls.2_L1","20110209_UP2051_mls.2_L2","20110209_UP2051_mls.2_L3","20110225_NX68_L3","20110316_mir.1_L2","20110316_mir.1_L3","20110408_RW10425_pha.4_L2","20110726_RW10713_L1","20110731_RW10434_L1","20110916_ceh.36_L1","20110927_RW11144_L4","20110929_ceh.43_L1","20111116_RW10226_L4","20120331_RW10871_L4","20120426_JIM122_L2","20120612_JIM127_L4","20120807_mir.57_L4"
"AB","AB",3.16157038230068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40003446812736,NA,NA,2.10364315136033,2.02976713819261,1.70825019094731,NA,2.8429975740239,NA,NA
"ABa","ABa",4.06546897834265,4.17005178103956,NA,2.59000629458555,2.41175321156403,5.26049307271061,2.55186806518673,5.30432533429939,6.71167898827721,9.28431065972249,3.77783357047543,6.01137029746023,2.73127473648991,2.27242925261077,2.61473180437,2.56632483315125,1.51774497771134,1.90667904369054,2.58848132039223,1.91524819366055,3.5450021105611,2.86460272045696
"ABal","ABal",3.59511398752194,2.71183928577929,3.38429002512935,1.95529113109669,1.81392459324087,2.54477023484274,3.34200364599299,1.98615457752254,3.65392445935073,4.76786405231147,3.18947652418747,2.33203020987106,2.49812856835631,1.58927109151568,3.36512576948416,2.51093976368536,2.43624732946495,2.59968167713182,2.75785788316096,2.36774552039607,4.12958415507056,2.67755911150779
"ABala","ABala",2.9498510354516,4.56634698751263,2.26143757742687,1.56555255563895,1.44889127878482,2.14470289758023,1.43025638271926,1.84151311561823,3.30552801144224,2.50982882034104,2.39270095766283,2.13646521754903,3.01114298144802,2.59343236753395,2.38720413254375,3.12715581007476,1.15787737160199,3.98054782083479,3.28702192165286,2.7051163459888,2.48118713377299,2.26010072816702
"ABalaa","ABalaa",1.74744271423201,3.79346424202094,1.37636060427285,1.72091276210047,3.81620362471655,3.90392180537045,1.0856349100241,1.22331571933247,2.42085156275059,1.75816016407563,3.0764062405782,2.94486619027039,2.19516263748469,2.91384328800097,3.21232442790545,3.56869684913889,1.42512559868248,3.92460478863648,4.59067447598458,2.30073365314898,3.67127005985369,2.06609259224251
"ABalaaa","ABalaaa",1.72275431024212,2.82797350404893,3.19264598751986,3.72611038305843,4.94533526594417,3.98465776620256,2.32779133744858,1.49040769472766,3.56679050073655,1.7745159336569,3.67395667397416,3.24176004470596,3.24516859964751,2.61017206077092,2.0914771785484,3.26547838257189,1.772723743969,4.13116629730007,2.65721018941131,1.7301854184098,3.87880351101196,1.88280700560621
"ABalaaaa","ABalaaaa",2.19866578380438,2.46538249918538,2.13075237678133,3.6725973479379,2.66446470897257,3.06893630873502,3.02854374719105,2.46712156996619,4.31884548059634,2.34053779164066,2.96762982487275,3.31782288722977,2.44225325546725,3.16807608756497,2.52129566854461,3.05547945782113,2.43518799125782,2.68870296130292,2.50573961353255,4.1702263561871,3.08451164704293,4.59405061941197
"ABalaaaal","ABalaaaal",2.20252767183955,1.75052194971546,1.65562413964581,2.32487806290752,2.1652581698913,1.46114430310434,1.84762207697613,1.86647335241816,1.57695976690714,1.44877378896481,1.55857841242196,1.63403068657512,1.44756755909082,2.02052006646615,2.05278304827828,2.76033586539657,1.55165707185386,2.5421687814174,1.74421588646963,1.73036275647087,1.99497400785362,2.37862473900065
"ABalaaaala","ABalaaaala",1.94544753304355,1.74328967313678,1.1445275233929,1.13448999526071,1.70037236515024,1.52093787212431,1.09627399543343,1.73379638813947,2.02516080859229,1.44333415804141,1.8638727875685,1.68198261457177,1.23526870361701,1.17730509330946,1.3975869227101,1.87152866851502,1.8579116236878,1.76049744918431,2.32128756154412,1.01364856582276,1.43779258872104,1.61242026395962
"ABalaaaalal","ABalaaaalal",0.343249281432827,NA,1.92518793507537,1.30566906632149,NA,1.90533489425972,0.515672866504409,2.57702140265762,NA,1.41077774402103,1.19418220128029,1.2258005655516,1.98611051540775,0.734746251480459,1.73844551350887,NA,NA,1.17188774445485,2.51426325226224,2.87367080760493,1.10110201619066,1.30225056595477
