"CellsLineageOrder...1.","CellNames.as.vector.CellsLineageOrder...1...","CCTermDefects","PosTermDefects","AngTermDefects","ExpPeak.CellsLineageOrder...1..","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABalaaaalar","death",2,0,0,-74,NA,-294,NA,NA,-38
"ABalaaaalpa","death",3,0,0,-71,NA,-294,0,-107,-38
"ABalaaaalpp","ILshL",3,0,0,-71,-173,-294,0,-107,-38
"ABalaaaarla","death",2,0,0,-71,-151,-294,0,-106,-38
"ABalaaaarlp","RMEL",2,0,0,-71,-111,-294,0,-106,-38
"ABalaaaarra","death",2,0,0,-71,-28,-294,0,-83,-38
"ABalaaaarrp","RMER",2,0,0,26,-28,-294,0,-55,-38
"ABalaaapall","ILsoL",1,0,0,3182,-28,-232,0,-55,-38
"ABalaaapalr","AVDL",1,0,0,5628,-28,-117,0,-55,-14
"ABalaaaparl","death",1,0,0,5628,-28,-117,0,-55,-14
"ABalaaaparr","ILshDL",1,0,0,5628,-28,-117,0,-55,-14
"ABalaaappll","ILshDR",1,0,0,5659,-28,-103,0,14,-38
"ABalaaapplr","death",1,0,0,5659,-28,239,0,14,-38
"ABalaaapprl","AVDR",2,0,0,5659,-28,448,11,14,-38
"ABalaaapprr","ILsoR",2,0,0,3624,-24,-294,0,-44,-16
"ABalaapaaal","death",2,0,0,6666,8,-216,0,-44,-16
"ABalaapaaar","AINR",2,0,0,6666,8,-211,0,-44,-16
"ABalaapaapa","death",3,0,0,6666,8,-216,162,-44,-16
"ABalaapaapp","ILshR",3,0,0,7195,-24,-82,38,5,-16
"ABalaapapa","death",2,0,0,7195,-24,96,38,5,-16
"ABalaapappa","death",2,0,0,7195,-24,-82,38,5,-16
"ABalaapappp","CEPsoVR",2,0,0,-49,-28,-294,0,-52,-38
"ABalaappaa","death",1,0,0,11,-13,-213,0,-37,-36
"ABalaappapa","AVAR",1,0,0,11,-13,-12,0,-37,-5
"ABalaappapp","OLQsoVR",1,0,0,11,-13,254,0,-37,-5
"ABalaapppaa","RIAR",3,0,0,11,-13,218,68,-37,-5
"ABalaapppap","death",3,0,0,11,-4,-213,0,-37,9
"ABalaappppa",NA,2,0,0,11,-4,145,871,-37,9
"ABalaappppp","IL2R",2,0,0,11,-4,-122,412,-37,9
"ABalapaaaaa","AVHL",1,0,0,-30,-28,-294,0,-29,-38
"ABalapaaaap","death",1,0,0,8,-18,-267,0,9,-25
"ABalapaaapa","CANL",1,0,0,8,-18,143,1334,9,-25
"ABalapaaapp","OLLsoL",1,0,0,8,-18,-44,671,9,-25
"ABalapaapaa","RIAL",1,0,0,-30,-28,-185,0,-29,-5
"ABalapaapap","death",1,0,0,-30,-28,-15,81,-29,-5
"ABalapaappa",NA,1,0,0,-30,-28,842,0,-29,-5
"ABalapaappp","IL2L",1,0,0,-71,-111,-294,0,-71,-38
"ABalapapaa","death",1,0,0,3,-85,-294,0,-71,-38
"ABalapapapa",NA,1,0,0,5533,-57,-294,0,-38,-38
"ABalapapapp","URYDL",1,0,0,9198,-57,-240,0,-25,-16
"ABalapappaa",NA,1,0,0,9198,-57,-240,151,-25,-16
"ABalapappap","IL2DL",1,0,0,9198,-57,945,0,-25,-16
"ABalapapppa","AVJL",1,0,0,8855,-16,-171,0,-38,-38
"ABalapapppp","CEPsoDL",1,0,0,8855,-16,287,0,-38,-38
"ABalappaaa","death",1,0,0,8855,-16,-171,0,-38,-38
"ABalappaapa","RID",1,0,0,5173,-57,-294,0,-71,-38
"ABalappaapp","death",1,0,0,6780,17,-149,0,45,15
"ABalappapaa","AVHR",1,0,0,9379,-57,-294,1216,-38,15
"ABalappapap","death",1,0,0,9379,-57,-243,4610,-38,15
"ABalappappa","CANR",1,0,0,9379,-57,-24,6299,-38,15
"ABalappappp","OLLsoR",1,0,0,-71,-68,-294,0,-65,-38
"ABalapppaaa","ALA",1,0,0,621,-3,-294,0,-32,-38
"ABalapppaap","RMED",1,0,0,3674,-3,258,4,-32,-8
"ABalapppapa",NA,1,0,0,7736,-3,-293,0,-32,-24
"ABalapppapp","URYDR",1,0,0,7736,-3,399,0,-32,-24
"ABalappppaa",NA,2,0,0,7736,-3,-230,0,-32,-24
"ABalappppap","IL2DR",2,0,0,-39,-52,-294,0,-65,-38
"ABalapppppa","AVJR",2,0,0,-39,-8,-294,0,-27,-38
"ABalapppppp","CEPsoDR",2,0,0,-39,-8,-226,0,-27,-38
"ABalpaaaaaa","e3VL",1,0,0,-39,-8,-294,0,-27,-38
"ABalpaaaaap","m2VL",1,0,0,14,-49,-43,0,-21,-38
"ABalpaaaapa","m1VL",1,0,0,14,-49,-43,24,-21,-38
"ABalpaaaapp","death",1,0,0,14,-49,-43,24,-21,-38
"ABalpaaapaa","m2L",2,1,0,14,-49,-43,24,-21,-38
"ABalpaaapap","death",2,0,0,14,-49,-43,0,-21,-38
