"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","PosDefectCount.Cells.","AngDefectCount.Cells.","cellObservedCounts.Cells.","divObservedCounts.Cells.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","theseMaxMean.Cells.","theseMeanMean.Cells."
"AB",NA,3,0,0,0,6,0,-74,NA,-294,NA,NA,-38,3.10814367515776,2.2077104841587
"ABa",NA,19,0,0,0,21,0,-71,NA,-294,0,-107,-38,4.66346440285452,3.65055615460755
"ABal",NA,43,0,0,0,22,0,-71,-173,-294,0,-107,-38,4.6579097250058,2.8276737998464
"ABala",NA,56,1,0,0,22,0,-71,-151,-294,0,-106,-38,3.91139762451197,2.52472097506121
"ABalaa",NA,75,0,0,0,22,0,-71,-111,-294,0,-106,-38,3.94605673612283,2.66982131412834
"ABalaaa",NA,103,0,0,0,22,0,-71,-28,-294,0,-83,-38,4.31015090180016,2.89726780861423
"ABalaaaa",NA,137,1,0,0,22,0,26,-28,-294,0,-55,-38,5.0942686734199,2.9684919993203
"ABalaaaal",NA,181,0,0,0,22,0,3182,-28,-232,0,-55,-38,3.39146550618269,1.89616373471205
"ABalaaaala",NA,232,0,0,0,22,0,5628,-28,-117,0,-55,-14,2.98835792175546,1.57812423434212
"ABalaaaalal","AINL",330,0,0,0,17,0,5628,-28,-117,0,-55,-14,2.38351692979023,1.51913956611582
"ABalaaaalar","death",330,0,0,0,17,0,5628,-28,-117,0,-55,-14,2.31378300164847,1.64056708224685
"ABalaaaalp",NA,232,1,0,0,22,0,5659,-28,-103,0,14,-38,2.9950423962784,1.59662389808927
"ABalaaaalpa","death",325,0,0,0,22,0,5659,-28,239,0,14,-38,2.2270472446969,1.49120664821555
"ABalaaaalpp","ILshL",325,0,0,0,22,0,5659,-28,448,11,14,-38,2.2669008724507,1.50709377275205
"ABalaaaar",NA,181,0,0,0,22,0,3624,-24,-294,0,-44,-16,3.49691695077991,2.0893329187587
"ABalaaaarl",NA,233,0,0,0,22,0,6666,8,-216,0,-44,-16,2.91582609836814,1.67118525107024
"ABalaaaarla","death",314,0,0,0,22,0,6666,8,-211,0,-44,-16,2.77403886184442,1.79901652403103
"ABalaaaarlp","RMEL",314,0,0,0,22,0,6666,8,-216,162,-44,-16,2.39516524428242,1.58659898828655
"ABalaaaarr",NA,233,0,0,0,22,0,7195,-24,-82,38,5,-16,2.90691037527491,1.57736109428907
"ABalaaaarra","death",314,0,0,0,22,0,7195,-24,96,38,5,-16,2.64503767247015,1.73003755831301
"ABalaaaarrp","RMER",314,0,0,0,22,0,7195,-24,-82,38,5,-16,2.47855023357867,1.57921415423446
"ABalaaap",NA,137,0,0,0,22,0,-49,-28,-294,0,-52,-38,4.02121797525512,2.41476164385499
"ABalaaapa",NA,175,0,0,0,22,0,11,-13,-213,0,-37,-36,3.59633462843575,2.13664357833473
"ABalaaapal",NA,225,0,0,0,22,0,11,-13,-12,0,-37,-5,2.85769803993866,1.55268872827281
"ABalaaapall","ILsoL",299,0,0,0,22,0,11,-13,254,0,-37,-5,2.49722611965111,1.46150278168445
"ABalaaapalr","AVDL",299,0,0,0,22,0,11,-13,218,68,-37,-5,2.46128009933326,1.45390755264846
"ABalaaapar",NA,225,0,0,0,22,0,11,-4,-213,0,-37,9,3.17908698452033,1.62441304155841
"ABalaaaparl","death",313,0,0,0,21,0,11,-4,145,871,-37,9,2.45654811047376,1.45706737580071
"ABalaaaparr","ILshDL",313,0,0,0,21,0,11,-4,-122,412,-37,9,2.4798783103535,1.54032173071963
"ABalaaapp",NA,175,0,0,0,22,0,-30,-28,-294,0,-29,-38,3.78653650490607,2.20617305299492
"ABalaaappl",NA,226,0,0,0,22,0,8,-18,-267,0,9,-25,2.83603754383139,1.52863053985966
"ABalaaappll","ILshDR",312,0,0,0,22,0,8,-18,143,1334,9,-25,2.2525528488602,1.44397894769083
