"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","CCDefectCount.Parents.","CCDefectCount.Sisters.","CCDefectCount.Aunts.","PosDefectCount.Cells.","PosDefectCount.Parents.","PosDefectCount.Sisters.","PosDefectCount.Aunts.","AngDefectCount.Cells.","AngDefectCount.Parents.","AngDefectCount.Sisters.","AngDefectCount.Aunts.","cellObservedCounts.Cells.","cellObservedCounts.Parents.","cellObservedCounts.Sisters.","cellObservedCounts.Aunts.","divObservedCounts.Cells.","divObservedCounts.Parents.","divObservedCounts.Sisters.","divObservedCounts.Aunts.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells."
"AB",NA,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,6,1,6,NA,0,21,0,NA,-74,NA,-294,NA,NA,-38
"ABa",NA,19,0,0,0,0,0,0,0,0,0,0,0,0,21,6,21,6,0,0,0,0,-71,NA,-294,0,-107,-38
"ABal",NA,43,0,0,0,0,0,0,0,0,0,0,0,0,22,21,22,21,0,0,0,0,-71,-173,-294,0,-107,-38
"ABala",NA,56,1,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-151,-294,0,-106,-38
"ABalaa",NA,75,0,1,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-111,-294,0,-106,-38
"ABalaaa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-28,-294,0,-83,-38
"ABalaaaa",NA,137,1,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,26,-28,-294,0,-55,-38
"ABalaaaal",NA,181,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,3182,-28,-232,0,-55,-38
"ABalaaaala",NA,232,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,5628,-28,-117,0,-55,-14
"ABalaaaalal","AINL",330,0,0,0,1,0,0,0,0,0,0,0,0,17,22,17,22,0,0,0,0,5628,-28,-117,0,-55,-14
"ABalaaaalar","death",330,0,0,0,1,0,0,0,0,0,0,0,0,17,22,17,22,0,0,0,0,5628,-28,-117,0,-55,-14
"ABalaaaalp",NA,232,1,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,5659,-28,-103,0,14,-38
"ABalaaaalpa","death",325,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,5659,-28,239,0,14,-38
"ABalaaaalpp","ILshL",325,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,5659,-28,448,11,14,-38
"ABalaaaar",NA,181,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,3624,-24,-294,0,-44,-16
"ABalaaaarl",NA,233,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,6666,8,-216,0,-44,-16
"ABalaaaarla","death",314,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,6666,8,-211,0,-44,-16
"ABalaaaarlp","RMEL",314,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,6666,8,-216,162,-44,-16
"ABalaaaarr",NA,233,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7195,-24,-82,38,5,-16
"ABalaaaarra","death",314,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7195,-24,96,38,5,-16
"ABalaaaarrp","RMER",314,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7195,-24,-82,38,5,-16
"ABalaaap",NA,137,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-49,-28,-294,0,-52,-38
"ABalaaapa",NA,175,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,11,-13,-213,0,-37,-36
"ABalaaapal",NA,225,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,11,-13,-12,0,-37,-5
"ABalaaapall","ILsoL",299,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,11,-13,254,0,-37,-5
"ABalaaapalr","AVDL",299,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,11,-13,218,68,-37,-5
"ABalaaapar",NA,225,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,11,-4,-213,0,-37,9
"ABalaaaparl","death",313,0,0,0,0,0,0,0,0,0,0,0,0,21,22,21,22,0,0,0,0,11,-4,145,871,-37,9
"ABalaaaparr","ILshDL",313,0,0,0,0,0,0,0,0,0,0,0,0,21,22,21,22,0,0,0,0,11,-4,-122,412,-37,9
"ABalaaapp",NA,175,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-30,-28,-294,0,-29,-38
"ABalaaappl",NA,226,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,8,-18,-267,0,9,-25
"ABalaaappll","ILshDR",312,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,8,-18,143,1334,9,-25
"ABalaaapplr","death",312,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,8,-18,-44,671,9,-25
"ABalaaappr",NA,226,1,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-30,-28,-185,0,-29,-5
"ABalaaapprl","AVDR",300,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-30,-28,-15,81,-29,-5
"ABalaaapprr","ILsoR",300,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-30,-28,842,0,-29,-5
"ABalaap",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-111,-294,0,-71,-38
"ABalaapa",NA,137,1,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,3,-85,-294,0,-71,-38
"ABalaapaa",NA,181,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,5533,-57,-294,0,-38,-38
"ABalaapaaa",NA,236,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,9198,-57,-240,0,-25,-16
"ABalaapaaal","death",334,0,0,0,1,0,0,0,0,0,0,0,0,14,22,14,22,0,0,0,0,9198,-57,-240,151,-25,-16
"ABalaapaaar","AINR",334,0,0,0,1,0,0,0,0,0,0,0,0,14,22,14,22,0,0,0,0,9198,-57,945,0,-25,-16
"ABalaapaap",NA,236,1,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,8855,-16,-171,0,-38,-38
"ABalaapaapa","death",325,0,1,0,0,0,0,0,0,0,0,0,0,20,22,20,22,0,0,0,0,8855,-16,287,0,-38,-38
"ABalaapaapp","ILshR",325,0,1,0,0,0,0,0,0,0,0,0,0,20,22,20,22,0,0,0,0,8855,-16,-171,0,-38,-38
"ABalaapap",NA,181,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,5173,-57,-294,0,-71,-38
"ABalaapapa","death",235,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,6780,17,-149,0,45,15
"ABalaapapp",NA,235,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,9379,-57,-294,1216,-38,15
"ABalaapappa","death",309,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,9379,-57,-243,4610,-38,15
"ABalaapappp","CEPsoVR",309,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,9379,-57,-24,6299,-38,15
"ABalaapp",NA,137,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-68,-294,0,-65,-38
"ABalaappa",NA,175,0,0,1,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,621,-3,-294,0,-32,-38
"ABalaappaa","death",230,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,3674,-3,258,4,-32,-8
"ABalaappap",NA,230,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7736,-3,-293,0,-32,-24
"ABalaappapa","AVAR",308,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7736,-3,399,0,-32,-24
"ABalaappapp","OLQsoVR",308,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,7736,-3,-230,0,-32,-24
"ABalaappp",NA,175,1,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-52,-294,0,-65,-38
"ABalaapppa",NA,223,1,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-8,-294,0,-27,-38
"ABalaapppaa","RIAR",316,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-8,-226,0,-27,-38
"ABalaapppap","death",316,0,1,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-39,-8,-294,0,-27,-38
"ABalaapppp",NA,223,0,1,1,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,14,-49,-43,0,-21,-38
"ABalaappppa",NA,289,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,14,-49,-43,24,-21,-38
"ABalaappppaa","IL1R",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,14,-49,-43,24,-21,-38
"ABalaappppap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,22,NA,22,0,0,0,0,14,-49,-43,24,-21,-38
"ABalaappppp","IL2R",289,0,0,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,14,-49,-43,0,-21,-38
"ABalap",NA,75,0,1,0,1,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-103,-294,0,-106,-38
"ABalapa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-71,-89,-294,0,-106,217
"ABalapaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,0,0,0,-54,-37,-294,0,-73,217
