Cell	Mean division time (minutes at 22 degrees C).  Start times aligned to ABala division = 74' 	Mean division time (minutes) - normalized to Sulston rate (20 degrees C)	Parent	Birth	Mean cell cycle length (minutes) - normalized to Sulston rate (20 degrees C)	Division Time Stdev (minutes at 20C)	Cell Cycle Stdev (minutes at 20C)	Division Time CV	Cell Cycle CV	# of embryos in which division was observed	# of embryos in which birth was observed	Mean Movement rate (microns per minute)	Mean movement distance (microns)
P0	2	2	P	1	2	6.602	0.666	0.157	0.055	10	0	1.02	1.14
AB	18	18	P0	3	16	6.602	0.666	0.157	0.055	10	10	1.02	1.14
P1	22	22	P0	3	20	6.602	0.666	0.157	0.055	10	10	1.02	1.14
ABa	42	42	AB	19	12	6.602	0.666	0.157	0.055	6	10	1.02	1.14
ABp	42	42	AB	19	12	6.679	0.485	0.159	0.04	6	10	1.91	1.96
EMS	48	45	P1	23	14	5.717	0.308	0.127	0.022	6	10	0.79	1.66
P2	50	48	P1	23	18	4.664	1.065	0.099	0.059	6	10	0.3	1.55
ABal	57	55	ABa	43	12	3.247	3.951	0.059	0.329	21	6	0.38	2.41
ABar	57	55	ABa	43	12	3.164	3.838	0.058	0.32	21	6	0.64	4
ABpl	57	55	ABp	43	12	3.214	3.866	0.058	0.322	21	6	0.73	5.13
ABpr	57	55	ABp	43	12	3.106	3.925	0.056	0.327	21	6	0.29	1.98
MS	62	61	EMS	46	15	2.133	2.711	0.035	0.181	21	6	0.15	2.5
E	63	62	EMS	46	17	1.996	2.877	0.032	0.18	21	6	0.21	1.69
C	67	66	P2	49	18	2.157	1.6	0.033	0.089	21	6	0.32	3.38
P3	73	74	P2	49	25	1.828	1.929	0.025	0.077	21	6	0.09	3.34
ABpla	73	73	ABpl	56	16	1.578	2.105	0.022	0.132	22	21	0.34	2.37
ABarp	73	74	ABar	56	17	1.789	1.755	0.025	0.103	22	21	0.04	0.85
ABala	74	74	ABal	56	17	1.581	2.055	0.021	0.121	22	21	0.18	1.67
ABalp	73	74	ABal	56	17	1.666	2.073	0.023	0.122	22	21	0.26	3.11
ABara	73	74	ABar	56	17	1.783	1.959	0.024	0.115	22	21	0.29	2.38
ABplp	73	74	ABpl	56	17	1.756	1.935	0.024	0.114	22	21	0.12	2
ABpra	73	74	ABpr	56	17	1.811	1.872	0.024	0.11	22	21	0.13	1.89
ABprp	73	74	ABpr	56	17	1.661	1.949	0.022	0.115	22	21	0.18	1.42
MSa	82	84	MS	62	21	1.744	1.342	0.021	0.064	22	21	0.2	1.73
MSp	82	84	MS	62	22	1.782	1.376	0.021	0.063	22	21	0.14	1.95
Ea	101	107	E	63	42	2.144	2.695	0.02	0.063	22	21	0.22	3.48
Ep	103	109	E	63	44	1.8	2.491	0.017	0.055	22	21	0.15	2.82
Ca	89	93	C	67	25	1.918	1.511	0.021	0.06	22	21	0.1	1.31
Cp	89	93	C	67	25	2.293	1.729	0.025	0.069	22	21	0.12	1.24
ABplaa	96	101	ABpla	74	26	1.292	1.447	0.013	0.056	22	22	0.07	1.02
ABplap	96	101	ABpla	74	26	1.408	1.525	0.014	0.059	22	22	0.15	1.23
ABalpa	97	101	ABalp	75	26	1.27	1.462	0.013	0.056	22	22	0.11	1.54
ABaraa	96	101	ABara	75	25	1.28	1.459	0.013	0.058	22	22	0.1	1.17
ABarap	96	101	ABara	75	25	1.247	1.475	0.012	0.059	22	22	0.07	0.85
ABpraa	96	101	ABpra	75	25	1.382	1.618	0.014	0.065	22	22	0.09	0.98
ABprap	96	101	ABpra	75	25	1.453	1.289	0.014	0.052	22	22	0.15	1.3
ABalaa	97	102	ABala	75	26	1.051	1.549	0.01	0.06	22	22	0.03	0.69
ABalap	97	102	ABala	75	26	1.342	1.287	0.013	0.049	22	22	0.07	0.88
ABalpp	97	102	ABalp	75	26	1.102	1.413	0.011	0.054	22	22	0.11	1.58
ABplpa	97	102	ABplp	75	26	1.214	1.289	0.012	0.05	22	22	0.05	0.89
ABprpa	97	102	ABprp	75	26	1.308	1.222	0.013	0.047	22	22	0.21	1.93
ABarpa	98	102	ABarp	75	27	1.459	1.124	0.014	0.042	22	22	0.11	1.11
ABplpp	98	103	ABplp	75	27	1.439	1.336	0.014	0.049	22	22	0.15	1.38
ABprpp	98	103	ABprp	75	27	1.393	1.064	0.014	0.039	22	22	0.18	1.61
ABarpp	99	104	ABarp	75	28	1.324	1.64	0.013	0.057	22	22	0.03	1.34
D	107	113	P3	75	37	4.343	3.789	0.038	0.1	22	21	0.26	4.01
P4	131	141	P3	75	65	6.122	5.475	0.043	0.082	22	21	0.21	4.32
MSaa	105	112	MSa	85	26	1.609	1.567	0.014	0.06	22	22	0.07	1.29
MSpa	106	112	MSp	85	26	1.514	1.299	0.014	0.05	22	22	0.05	1.44
MSap	108	115	MSa	85	29	1.594	1.364	0.014	0.047	22	22	0.16	1.63
MSpp	108	115	MSp	85	29	2.026	1.23	0.018	0.042	22	22	0.2	1.79
Cpa	118	126	Cp	94	32	3.399	2.314	0.027	0.072	22	22	0.1	1.66
Caa	119	127	Ca	94	33	3.439	3.071	0.027	0.093	22	22	0.08	1.19
Cpp	121	130	Cp	94	36	3.706	2.611	0.029	0.073	22	22	0.18	2.29
Cap	123	132	Ca	94	38	3.078	2.594	0.023	0.068	22	22	0.19	2.65
ABplaap	122	131	ABplaa	102	29	1.249	1.42	0.01	0.049	22	22	0.04	0.86
ABplapa	122	131	ABplap	102	29	1.695	1.192	0.013	0.041	22	22	0.11	0.99
ABpraap	122	132	ABpraa	102	29	1.951	1.744	0.015	0.06	22	22	0.17	2.44
ABalpap	123	132	ABalpa	102	29	1.221	1.054	0.009	0.036	22	22	0.05	1.22
ABplaaa	123	132	ABplaa	102	30	1.758	1.18	0.013	0.041	22	22	0.11	0.91
ABplapp	123	132	ABplap	102	29	1.343	1.066	0.01	0.037	22	22	0.08	1.08
ABprapa	123	132	ABprap	102	29	1.989	1.41	0.015	0.049	22	22	0.09	1.69
ABprapp	123	132	ABprap	102	30	1.895	1.429	0.014	0.048	22	22	0.17	1.52
ABalpaa	123	133	ABalpa	102	30	1.162	1.238	0.009	0.041	22	22	0.1	1.26
ABaraap	124	133	ABaraa	102	30	1.302	1.099	0.01	0.037	22	22	0.11	1.18
ABarapa	124	133	ABarap	102	30	1.699	1.166	0.013	0.039	22	22	0.06	1.59
ABarapp	124	133	ABarap	102	30	1.492	0.974	0.011	0.032	22	22	0.19	1.78
ABpraaa	124	133	ABpraa	102	31	1.942	1.35	0.015	0.044	22	22	0.13	1.87
ABaraaa	124	134	ABaraa	102	31	1.791	1.547	0.013	0.05	22	22	0.05	1.28
ABarpaa	122	131	ABarpa	103	27	1.362	0.783	0.01	0.029	22	22	0.07	0.98
ABplpap	123	132	ABplpa	103	29	1.075	0.848	0.008	0.029	22	22	0.14	1.82
ABalppp	123	133	ABalpp	103	29	0.955	1.009	0.007	0.035	22	22	0.15	1.81
ABarpap	123	133	ABarpa	103	28	1.192	0.96	0.009	0.034	22	22	0.13	1.01
ABprpap	124	133	ABprpa	103	29	1.427	1.179	0.011	0.041	22	22	0.14	1.53
ABalapa	124	134	ABalap	103	30	1.175	1.454	0.009	0.048	22	22	0.1	1.2
ABalapp	124	134	ABalap	103	30	1.503	1.561	0.011	0.052	22	22	0.15	1.77
ABalppa	124	134	ABalpp	103	30	1.116	1.206	0.008	0.04	22	22	0.19	1.88
ABplpaa	124	134	ABplpa	103	30	1.396	1.291	0.01	0.043	22	22	0.21	1.96
ABprpaa	125	134	ABprpa	103	30	1.657	1.228	0.012	0.041	22	22	0.13	1.87
ABalaaa	126	136	ABalaa	103	32	1.524	1.635	0.011	0.051	22	22	0.08	1.62
ABalaap	126	136	ABalaa	103	32	1.557	1.897	0.011	0.057	22	22	0.22	2.81
ABplppp	124	134	ABplpp	104	30	1.166	1.236	0.009	0.041	22	22	0.16	2.11
ABprppp	125	134	ABprpp	104	30	1.127	1.16	0.008	0.039	22	22	0.11	1.11
ABplppa	126	135	ABplpp	104	31	1.11	1.612	0.008	0.052	22	22	0.23	1.99
ABprppa	126	136	ABprpp	104	31	1.186	1.456	0.009	0.047	22	22	0.08	1.46
ABarppa	124	134	ABarpp	105	28	1.527	0.942	0.011	0.034	22	22	0.06	1.22
ABarppp	125	134	ABarpp	105	29	1.429	0.991	0.011	0.034	22	22	0.13	1.54
Eal	142	154	Ea	108	46	2.838	1.915	0.018	0.042	22	22	0.05	1.99
Ear	143	156	Ea	108	47	2.886	2.013	0.019	0.043	22	22	0.06	1.63
Epl	146	159	Ep	110	49	3.648	2.274	0.023	0.046	22	22	0.04	1.06
Epr	147	160	Ep	110	49	4.394	3.286	0.027	0.066	22	22	0.04	1.66
MSaaa	133	144	MSaa	113	30	1.932	1.218	0.013	0.041	22	22	0.06	1.23
MSaap	133	144	MSaa	113	31	1.838	1.025	0.013	0.033	22	22	0.07	0.97
MSpaa	134	145	MSpa	113	31	1.633	1.233	0.011	0.04	22	22	0.07	1.2
MSpap	134	145	MSpa	113	31	1.631	1.133	0.011	0.037	22	22	0.06	1.07
Dp	147	160	D	114	46	4.129	3.384	0.026	0.074	22	22	0.11	1.58
Da	147	160	D	114	46	5.801	3.369	0.036	0.073	22	22	0.13	2.31
MSapa	137	148	MSap	116	32	2.169	1.215	0.015	0.038	22	22	0.04	1.32
MSapp	137	149	MSap	116	33	2.539	1.592	0.017	0.048	22	22	0.08	1.68
MSppa	137	149	MSpp	116	32	2.102	0.99	0.014	0.031	22	22	0.07	1.56
MSppp	138	149	MSpp	116	33	2.687	1.185	0.018	0.036	22	22	0.08	1.43
Cpaa	151	164	Cpa	127	37	6.52	3.838	0.04	0.104	22	22	0.11	1.61
Cpap	153	166	Cpa	127	38	6.665	3.733	0.04	0.096	22	22	0.14	1.88
Caaa	153	167	Caa	128	38	5.111	3.752	0.031	0.099	22	22	0.36	3.35
Caap	160	175	Caa	128	46	5.107	3.318	0.029	0.072	22	22	0.31	4.11
Cppp	161	177	Cpp	131	45	3.877	1.733	0.022	0.039	22	22	0.12	2.87
Cppa	168	185	Cpp	131	53	3.879	1.266	0.021	0.024	22	22	0.24	4.01
ABplaapp	152	166	ABplaap	132	34	2.256	1.766	0.014	0.052	22	22	0.17	2.62
ABplapap	153	167	ABplapa	132	35	1.836	1.676	0.011	0.048	22	22	0.32	4.29
ABarpaap	154	168	ABarpaa	132	35	1.759	1.608	0.01	0.046	22	22	0.2	2.87
ABplaapa	155	170	ABplaap	132	37	2.626	1.835	0.015	0.05	22	22	0.15	2.76
ABplapaa	156	171	ABplapa	132	39	1.811	1.768	0.011	0.045	22	22	0.32	4.82
ABarpaaa	163	179	ABarpaa	132	45	3.099	3.449	0.017	0.075	22	22	0.35	5.61
ABalpapp	153	167	ABalpap	133	33	1.656	1.232	0.01	0.037	22	22	0.13	2.55
ABplpapp	153	167	ABplpap	133	34	1.515	1.311	0.009	0.04	22	22	0.19	3.15
ABpraapp	153	168	ABpraap	133	35	2.628	1.176	0.016	0.034	22	22	0.15	1.67
ABprapap	155	169	ABprapa	133	36	1.55	1.372	0.009	0.038	22	22	0.09	0.9
ABplaaaa	155	170	ABplaaa	133	36	2.7	1.474	0.016	0.041	22	22	0.18	3.12
ABplpapa	155	170	ABplpap	133	36	1.562	1.217	0.009	0.034	22	22	0.21	3.6
ABplappa	156	171	ABplapp	133	37	1.665	1.717	0.01	0.046	22	22	0.3	4.36
ABalpapa	156	171	ABalpap	133	37	1.699	1.569	0.01	0.042	22	22	0.13	1.76
ABplaaap	156	171	ABplaaa	133	38	2.826	2.048	0.017	0.054	22	22	0.22	3.18
ABpraapa	156	172	ABpraap	133	38	3.37	1.976	0.02	0.052	22	22	0.26	3.55
ABplappp	158	173	ABplapp	133	40	1.917	1.425	0.011	0.036	22	22	0.33	3.8
ABprapaa	158	173	ABprapa	133	40	1.714	2.084	0.01	0.052	22	22	0.19	3.02
ABprappa	158	173	ABprapp	133	39	2.073	1.831	0.012	0.047	22	22	0.08	1.09
ABprappp	160	175	ABprapp	133	41	2.096	1.294	0.012	0.032	22	22	0.1	1.68
Capp	164	180	Cap	133	47	3.538	2.092	0.02	0.045	22	22	0.18	3.69
Capa	170	188	Cap	133	54	3.994	2.574	0.021	0.048	22	22	0.33	7.46
ABalpppp	153	168	ABalppp	134	34	1.585	1.205	0.009	0.037	22	22	0.13	1.93
ABarapap	154	169	ABarapa	134	34	2.474	1.268	0.015	0.037	22	22	0.13	1.85
ABalpaap	154	169	ABalpaa	134	34	1.692	1.518	0.01	0.045	22	22	0.07	1.11
ABprpapp	155	169	ABprpap	134	35	1.693	1.133	0.01	0.032	22	22	0.24	3.47
ABaraapp	155	170	ABaraap	134	35	1.851	1.524	0.011	0.044	22	22	0.07	1.63
ABarappp	155	170	ABarapp	134	35	1.999	1.354	0.012	0.039	22	22	0.18	2.6
ABarpapa	155	170	ABarpap	134	35	1.535	1.305	0.009	0.036	22	22	0.26	3.7
ABarpapp	156	170	ABarpap	134	36	2.446	2.055	0.014	0.057	22	22	0.23	3.1
ABpraaap	156	171	ABpraaa	134	36	2.237	0.986	0.013	0.027	22	22	0.17	2.19
ABprpapa	156	171	ABprpap	134	37	2.043	1.291	0.012	0.035	22	22	0.32	3.59
ABalpppa	157	172	ABalppp	134	38	1.411	1.131	0.008	0.03	22	22	0.14	2.11
ABaraapa	157	172	ABaraap	134	38	2.43	1.925	0.014	0.051	22	22	0.13	1.57
ABarappa	157	173	ABarapp	134	38	2.218	1.749	0.013	0.046	22	22	0.07	1.27
ABarapaa	158	173	ABarapa	134	38	2.752	1.56	0.016	0.041	22	22	0.14	1.64
ABpraaaa	160	176	ABpraaa	134	41	2.638	1.826	0.015	0.045	22	22	0.22	2.11
ABalpaaa	161	176	ABalpaa	134	42	2.485	2.23	0.014	0.053	22	22	0.09	1.27
