Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
AB	15	NA	NA	NA	NA
ABa	NA	NA	NA	NA	NA
ABal	NA	NA	NA	NA	NA
ABala	NA	NA	NA	NA	NA
ABalaa	NA	NA	NA	NA	NA
ABalaaa	NA	NA	NA	NA	NA
ABalaaaa	NA	NA	NA	NA	NA
ABalaaaal	NA	NA	NA	NA	NA
ABalaaaala	NA	NA	NA	NA	NA
ABalaaaalal	225	3.7	18.9	11	58.2
ABalaaaalar	45	3.7	18.9	11	58.2
ABalaaaalp	NA	NA	NA	NA	NA
ABalaaaalpa	35	9.1	41.3	24.8	43.4
ABalaaaalpp	180	9.1	41.3	24.8	43.4
ABalaaaar	NA	NA	NA	NA	NA
ABalaaaarl	NA	NA	NA	NA	NA
ABalaaaarla	90	9.1	48.7	35.9	15.1
ABalaaaarlp	235	9.1	48.7	35.9	15.1
ABalaaaarr	NA	NA	NA	NA	NA
ABalaaaarra	90	20.1	52.4	27.5	30.2
ABalaaaarrp	235	20.1	52.4	27.5	30.2
ABalaaap	NA	NA	NA	NA	NA
ABalaaapa	NA	NA	NA	NA	NA
ABalaaapal	NA	NA	NA	NA	NA
ABalaaapall	265	25.7	54.4	46.8	66.3
ABalaaapalr	265	25.7	54.4	46.8	66.3
ABalaaapar	NA	NA	NA	NA	NA
ABalaaaparl	95	21.8	35.7	33.1	63
ABalaaaparr	255	29.3	35.7	33.1	59.6
ABalaaapp	NA	NA	NA	NA	NA
ABalaaappl	NA	NA	NA	NA	NA
ABalaaappll	255	14.7	45	33.1	59.8
ABalaaapplr	95	14.7	45	33.1	59.8
ABalaaappr	NA	NA	NA	NA	NA
ABalaaapprl	265	22	56.1	46.8	58.2
ABalaaapprr	265	22	56.1	46.8	58.2
ABalaap	NA	NA	NA	NA	NA
ABalaapa	NA	NA	NA	NA	NA
ABalaapaa	NA	NA	NA	NA	NA
ABalaapaaa	NA	88.4	NA	NA	127
ABalaapaaal	50	NA	20.7	5.5	NA
ABalaapaaar	225	NA	20.7	5.5	NA
ABalaapaap	NA	NA	NA	NA	NA
ABalaapaapa	80	18.4	32	16.6	49.9
ABalaapaapp	230	18.4	32	16.6	49.9
ABalaapap	NA	NA	NA	NA	NA
ABalaapapa	20	NA	NA	109.3	NA
ABalaapapaa	NA	32.8	11.3	NA	61.4
ABalaapapap	NA	32.8	11.3	NA	59.6
ABalaapapp	NA	NA	NA	NA	NA
ABalaapappa	95	25.7	43.2	5.4	46.7
ABalaapappp	255	25.7	43.2	41.3	46.7
ABalaapp	NA	NA	NA	NA	NA
ABalaappa	NA	NA	NA	NA	NA
ABalaappaa	20	100.6	126.9	114.7	NA
ABalaappaaa	NA	NA	NA	NA	48.4
ABalaappaap	NA	NA	NA	NA	48.4
ABalaappap	NA	NA	NA	NA	NA
ABalaappapa	255	31.1	48.7	33.1	72.8
ABalaappapp	255	31.1	48.7	33.1	72.8
ABalaappp	NA	NA	NA	NA	NA
ABalaapppa	NA	NA	NA	NA	NA
ABalaapppaa	235	23.8	22.6	11	85.7
ABalaapppap	20	23.8	22.6	11	85.7
ABalaapppp	NA	NA	NA	NA	NA
ABalaappppa	NA	41.9	61.8	46.8	31.8
ABalaappppaa	140	NA	NA	NA	NA
ABalaappppap	30	NA	NA	NA	NA
ABalaappppp	260	41.9	61.8	46.8	31.8
ABalap	NA	NA	NA	NA	NA
ABalapa	NA	NA	NA	NA	NA
ABalapaa	NA	NA	NA	NA	NA
ABalapaaa	NA	NA	NA	NA	NA
ABalapaaaa	NA	95.4	NA	120.1	130.1
ABalapaaaaa	210	NA	7.6	NA	NA
ABalapaaaap	50	NA	7.6	NA	NA
ABalapaaap	NA	NA	NA	NA	NA
ABalapaaapa	260	22	54.4	41.3	46.7
ABalapaaapp	260	22	54.4	41.3	46.7
ABalapaap	NA	NA	NA	NA	NA
ABalapaapa	NA	104.1	NA	NA	NA
ABalapaapaa	230	NA	3.8	5.5	33.5
ABalapaapap	20	NA	3.8	5.5	33.5
