paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20221004_JIM712_ceh.32_L4	X20221004_JIM712_ceh.32_L2	X20220915_JIM712_ceh.32_L4	X20220923_JIM712_ceh.32_L4
AB NA																										
ABa NA						-1							0	-1	0		0		2				3			
ABal 0.1428	3	-6	3		-5	2	1	3	-3	-7	-6	-5	3	3	3	2	2	2	1	3	3	-2	2	-9	-7	-6
ABala 0.2495	2	2	-1	-7	1	0	1	0	0	-1	2	1	0	-1	-2	0	1	1	0	0	1	-1	-1	1	-2	-3
ABalaa 0.205	1	1	0	-2	2	-2	-2	1	-1	1	2	-2	1	-1	0	-1	0	2	0	-2	1	1	0	0	-2	-2
ABalaaa 0.6067	2	1	-2	0	0	-1	2	-1	-1	-2	4	0	-1	-1	-1	-1	1	1	1	0	1	-3	-1	0	2	-3
ABalaaaa 0.0299	2	3	-1	-1	-1	-1	0	0	0	-2	6	-1	-2	-1	-1	0	1	2	-2	-1	0	0	-3	-2	-1	-1
ABalaaaal 0.7251	-4	-2	1	0	3	-3	2	1	2	0	2	3	0	-2	-2	-2	0	1	-1	1	0	0	1	0	2	-5
ABalaaaala 0.8358	12	2		-7	5	3		-13	-2	-14		5			-6	6	6	-5	10	10	-9	-4	-4	16	1	-19
ABalaaaalal NA																										
ABalaaaalar NA																										
ABalaaaalp 0.2973	8	-1	-2	2	6	-1	-3	-2	-2	-1	-8	1	7	17	-2	-5	-1	-1	-2	1	-4	-6	-4	-1	-7	1
ABalaaaalpa NA																										
ABalaaaalpp NA																										
ABalaaaar 0.8434	-4	-2	3	2	-2	-1	1	2	0	4	0	3	0	-2	-1	-1	-3	0	0	-1	3	0	-1	2	3	-3
ABalaaaarl 0.3953	4	2	1	2	-2	-4	-2	-1	5	3	-4	6	4	-1	-3	-1	-4	7	-7	2	-4	-6	9	1	-8	39
ABalaaaarla NA																										
ABalaaaarlp NA																										
ABalaaaarr 0.5574	1	0	10	6	7	-9	-2	3	0	1	-1	-1	2	-2	0	1	-5	1	2	-1	-4	-5	-3	-3	0	24
ABalaaaarra NA																										
ABalaaaarrp NA																										
ABalaaap 0.155	4	1	0	-3	0	-2	-1	-1	-1	-1	4	0	0	-2	-2	0	0	2	0	0	1	0	-1	0	-3	-2
ABalaaapa 0.4309	-2	-1	5	-1	-1	1	-1	0	-1	-1	1	2	-1	-2	-1	2	-2	0	0	1	3	-1	-4	2	0	-3
ABalaaapal 0.0646	1	-4	3	0	-1	2	0	1	3	-2	0	2	-1	4	-3	1	-2	-1	0	3	-4	-4	8	8	1	3
ABalaaapall NA																										
ABalaaapalr NA																										
ABalaaapar 0.8148	-3	3		-1	7	-2	3	-5	3	-8	1	1	5	1	0	-4	4	7	2	2	-11	-4	-10	12	1	-8
ABalaaaparl NA																										
ABalaaaparr NA																										
ABalaaapp 0.0475	-2	-1	1	0	-2	-1	1	-1	-1	-1	-1	3	2	0	2	0	-1	2	-4	0	1	1	1	2	2	0
ABalaaappl 0.7819	-2	2	9	-6	1	-2	-1	-2	4	-3	0	4	6	4	1	-3	3	1	-8	2	-5	-4	1	4	-1	-7
ABalaaappll NA																										
ABalaaapplr NA																										
ABalaaappr 0.1656	0	0	18	-2	-2	10	-1	0	-1	-4	-3	6	-1	-1	-2	-1	0	-4	-2	-3	-3	-5	6	5	-2	7
ABalaaapprl NA																										
ABalaaapprr NA																										
ABalaap 0.6126	4	-1	-2	0	1	0	1	-2	-1	0	4	-2	-1	-1	-1	3	0	1	-1	0	0	-1	-1	0	2	-1
