Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
AB,34.9142857142857,0,0,0,0,0,NA,NA,NA
ABa,41.9363636363636,0,0,0,0,0,NA,12.05,14.7
ABal,55.0954545454545,0,0,0,0,0,0.142797702734851,12.2095238095238,7.225
ABala,74.2454545454545,0,0,0,0,0,0.249497459196475,17.4590909090909,16.225
ABalaa,101.718181818182,0,0,0,0,0,0.205047875848633,25.7272727272727,24.575
ABalaaa,135.586363636364,0,0,0,0,0,0.606665075816081,32.1590909090909,31.6
ABalaaaa,179.959090909091,0,0,0,0,0,0.0298879188263725,42.7227272727273,41.025
ABalaaaal,230.536363636364,0,0,0,0,0,0.725127567377059,48.9409090909091,48.375
ABalaaaala,329.247058823529,0,0,0,0,0,0.835799159854135,97.3294117647059,95.65
ABalaaaalal,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalar,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalp,323.577272727273,0,0,0,0,0,0.297313136588872,91.4136363636364,88.95
ABalaaaalpa,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalpp,NA,0,0,0,0,0,NA,NA,NA
ABalaaaar,232,0,0,0,0,0,0.843445750643958,50.3954545454545,50.7
ABalaaaarl,312.536363636364,1,0,0,0,1,0.395279742052077,78.9045454545455,89.05
ABalaaaarla,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarlp,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarr,313.013636363636,1,0,0,0,1,0.55741635563351,79.3954545454545,83.675
ABalaaaarra,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarrp,NA,0,0,0,0,0,NA,NA,NA
ABalaaap,174.35,0,0,0,0,0,0.155002881766373,37.1,35.85
ABalaaapa,224.254545454545,0,0,0,0,0,0.430852858460753,48.2363636363636,47.05
ABalaaapal,297.836363636364,2,0,0,0,2,0.0646138101207611,71.9636363636364,76.85
ABalaaapall,NA,0,0,0,0,0,NA,NA,NA
ABalaaapalr,NA,0,0,0,0,0,NA,NA,NA
ABalaaapar,311.804761904762,0,0,0,0,0,0.814754261956452,86.0714285714286,84.775
ABalaaaparl,NA,0,0,0,0,0,NA,NA,NA
ABalaaaparr,NA,0,0,0,0,0,NA,NA,NA
