Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
AB	16	0	0	0	0
ABa	33	15	0	0	0
ABal	51	30	4.5	7	7.5
ABala	73	46.6	22.5	23.4	24
ABalaa	103	72.2	46.6	47.1	49.6
ABalaaa	132	102.3	76.7	80.4	81.2
ABalaaaa	171	140.5	114.4	121.4	125.1
ABalaaaal	239	187.9	159.3	170.2	171.9
ABalaaaala	324	275.2	261.9	262.3	253.3
ABalaaaalal	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA
ABalaaaalp	369	270.2	241.8	249.8	268.4
ABalaaaalpa	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA
ABalaaaar	239	187.9	162.5	172.7	175
ABalaaaarl	314	270.2	235.2	239.7	297.2
ABalaaaarla	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA
ABalaaaarr	314	260.1	231.9	247.2	281.9
ABalaaaarra	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA
ABalaaap	171	137.4	111.4	114.1	119
ABalaaapa	229	179.9	157.7	160.4	167.1
ABalaaapal	284	255.1	230.3	229.7	245
ABalaaapall	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA
ABalaaapar	294	251.7	246.8	242.2	248.3
ABalaaaparl	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA
ABalaaapp	229	184.7	157.7	162.9	170.3
ABalaaappl	294	265.1	238.5	242.2	251.7
ABalaaappll	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA
ABalaaappr	284	258.4	228.6	229.7	253.3
ABalaaapprl	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA
ABalaap	132	102.3	76.7	80.4	82.7
ABalaapa	171	143.6	119	121.4	126.6
ABalaapaa	239	197.5	168.8	175.1	183
ABalaapaaa	324	NA	260.2	267.4	NA
ABalaapaaal	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA
ABalaapaap	319	261.8	250.2	257.3	261.7
ABalaapaapa	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA
ABalaapap	239	187.9	168.8	172.7	173.5
ABalaapapa	NA	248.4	268.6	NA	250
ABalaapapaa	NA	NA	NA	NA	NA
ABalaapapap	NA	NA	NA	NA	NA
ABalaapapp	294	255.1	240.2	234.7	265
ABalaapappa	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA
ABalaapp	171	137.4	112.9	116.5	122
ABalaappa	239	186.3	165.6	167.8	168.7
ABalaappaa	NA	NA	NA	NA	263.4
ABalaappaaa	NA	NA	NA	NA	NA
ABalaappaap	NA	NA	NA	NA	NA
ABalaappap	294	250.1	235.2	242.2	238.4
ABalaappapa	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA
ABalaappp	224	178.3	159.3	167.8	167.1
ABalaapppa	314	256.7	258.5	262.3	225.2
ABalaapppaa	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA
ABalaapppp	289	240.1	223.7	229.7	280.2
ABalaappppa	409	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA
ABalap	103	70.7	46.6	47.1	49.6
ABalapa	132	100.7	76.7	78	79.7
ABalapaa	171	137.4	111.4	114.1	120.5
ABalapaaa	219	191.1	157.7	162.9	179.8
ABalapaaaa	339	NA	271.9	NA	NA
ABalapaaaaa	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA
ABalapaaap	289	258.4	230.3	234.7	265
ABalapaaapa	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA
ABalapaap	220	183.1	154.6	162.9	171.9
ABalapaapa	319	NA	275.3	267.4	278.5
ABalapaapaa	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA
ABalapaapp	284	246.7	220.4	234.7	253.3
ABalapaappa	394	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA
ABalapap	171	132.8	109.9	111.7	117.4
ABalapapa	220	181.5	160.9	158	168.7
ABalapapaa	NA	258.4	NA	NA	275.1
ABalapapaaa	NA	NA	NA	NA	NA
ABalapapaap	NA	NA	NA	NA	NA
ABalapapap	284	245.1	233.6	219.7	240
ABalapapapa	404	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA
ABalapapp	214	183.1	154.6	158	165.6
ABalapappa	279	241.8	217.1	212.3	225.2
ABalapappaa	394	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA
ABalapappp	289	270.2	231.9	229.7	258.3
ABalapapppa	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA
ABalapp	132	100.7	76.7	78	81.2
ABalappa	171	140.5	115.9	116.5	126.6
ABalappaa	239	195.9	170.4	172.7	184.6
ABalappaaa	NA	NA	NA	NA	NA
ABalappaap	339	270.2	260.2	242.2	268.4
ABalappaapa	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA
ABalappap	224	184.7	160.9	162.9	178.2
ABalappapa	329	NA	245.2	NA	NA
ABalappapaa	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA
ABalappapp	289	246.7	223.7	227.2	250
ABalappappa	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA
ABalappp	171	135.9	111.4	111.7	120.5
ABalapppa	220	181.5	156.2	160.4	170.3
ABalapppaa	304	251.7	231.9	234.7	258.3
ABalapppaaa	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA
ABalapppap	284	243.4	217.1	224.7	265
ABalapppapa	404	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA
ABalapppp	214	183.1	157.7	160.4	165.6
ABalappppa	279	236.8	210.5	217.2	226.8
ABalappppaa	394	NA	NA	NA	NA
