Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
AB	16	21.4	45.7	47.4	55.2
ABa	33	37.8	45.7	47.4	55.2
ABal	51	54.1	50.7	55.1	62.5
ABala	73	72.2	70.9	73	78.6
ABalaa	103	100.1	97.9	99	103.7
ABalaaa	132	132.8	131.7	135.4	134.6
ABalaaaa	171	174.5	174	180.3	177.5
ABalaaaal	239	226.1	224.4	233.8	223.3
ABalaaaala	324	321.2	339.5	334.6	302.9
ABalaaaalal	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA
ABalaaaalp	369	315.7	316.9	320.9	317.7
ABalaaaalpa	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA
ABalaaaar	239	226.1	228	236.5	226.3
ABalaaaarl	314	315.7	309.5	309.9	345.9
ABalaaaarla	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA
ABalaaaarr	314	304.7	305.8	318.1	330.9
ABalaaaarra	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA
ABalaaap	171	171.1	170.6	172.3	171.6
ABalaaapa	229	217.4	222.6	223	218.6
ABalaaapal	284	299.3	304	298.9	294.8
ABalaaapall	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA
ABalaaapar	294	295.6	322.5	312.6	298
ABalaaaparl	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA
ABalaaapp	229	222.6	222.6	225.8	221.8
ABalaaappl	294	310.2	313.2	312.6	301.4
ABalaaappll	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA
ABalaaappr	284	302.9	302.1	298.9	302.9
ABalaaapprl	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA
ABalaap	132	132.8	131.7	135.4	136.1
ABalaapa	171	177.8	179.2	180.3	179
ABalaapaa	239	236.5	235	239.1	234.2
ABalaapaaa	324	NA	337.5	340.2	NA
ABalaapaaal	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA
ABalaapaap	319	306.6	326.3	329.1	311.2
ABalaapaapa	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA
ABalaapap	239	226.1	235	236.5	224.9
ABalaapapa	NA	292	347	NA	299.7
ABalaapapaa	NA	NA	NA	NA	NA
ABalaapapap	NA	NA	NA	NA	NA
ABalaapapp	294	299.3	315.1	304.4	314.4
ABalaapappa	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA
ABalaapp	171	171.1	172.3	175	174.5
ABalaappa	239	224.3	231.4	231.1	220.2
ABalaappaa	NA	NA	NA	NA	312.8
ABalaappaaa	NA	NA	NA	NA	NA
ABalaappaap	NA	NA	NA	NA	NA
ABalaappap	294	293.8	309.5	312.6	288.4
ABalaappapa	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA
ABalaappp	224	215.6	224.4	231.1	218.6
ABalaapppa	314	301	335.6	334.6	275.5
ABalaapppaa	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA
ABalaapppp	289	282.9	296.6	298.9	329.3
ABalaappppa	409	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA
