"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"AB","AB",-Inf,-Inf,-Inf,5.75775596274143
"ABa","ABa",7.30075385324376,7.08881048933167,10.9622889009301,8.74661223492496
"ABal","ABal",6.17851775368923,5.56404217353113,9.36760422568814,4.28075983748444
"ABala","ABala",2.03262494464365,3.4924156581837,5.81754124083512,3.73942862564336
"ABalaa","ABalaa",4.49403240650072,4.8255384395874,7.45411410338022,5.02864798744342
"ABalaaa","ABalaaa",4.98456534985602,4.97173900790842,4.96964006702949,4.02572663504762
"ABalaaaa","ABalaaaa",8.24755645433783,7.05613120649735,9.23498893671005,6.2373562488622
"ABalaaaal","ABalaaaal",3.85792340111231,8.63161289852874,5.86230331887673,8.79498446503534
"ABalaaaala","ABalaaaala",6.7370567671868,7.29066507966822,4.11433272082002,6.51795676041031
"ABalaaaalal","ABalaaaalal",5.39988425801887,5.28910620496181,4.45301886371631,4.36330245393306
"ABalaaaalar","ABalaaaalar",6.20945070892014,5.68734176846401,4.68803656002821,7.02951759703743
"ABalaaaalp","ABalaaaalp",6.98879739970443,15.5911871421386,5.6929273214756,10.620342440511
"ABalaaaalpa","ABalaaaalpa",7.1059614057494,11.2467418073581,4.9232822116214,4.55978643676617
"ABalaaaalpp","ABalaaaalpp",5.44394732707803,11.2536330914708,4.97602540157232,5.62200586979416
"ABalaaaar","ABalaaaar",6.49945324241468,7.81526581046631,3.92296152517461,8.05210678061247
"ABalaaaarl","ABalaaaarl",5.51028155502256,6.51503279596214,4.75177870133346,7.91540300056556
"ABalaaaarla","ABalaaaarla",5.30331906500941,5.95773601032223,4.06857238475611,7.69871949099484
"ABalaaaarlp","ABalaaaarlp",4.37534886448503,8.33780624809713,2.79804011374653,11.864231127686
"ABalaaaarr","ABalaaaarr",7.75561481132629,10.452399793315,6.62687054522272,8.28298452758846
"ABalaaaarra","ABalaaaarra",4.66889645465697,8.37671243693318,3.78374896079895,4.60798055994459
"ABalaaaarrp","ABalaaaarrp",3.58110395765825,9.13975559437713,3.99282414189495,8.16950468979327
"ABalaaap","ABalaaap",4.42739639551003,2.95128241718222,5.29741073225377,4.93513569262001
"ABalaaapa","ABalaaapa",5.53136012958219,4.32065145675323,8.13043952252122,5.27882633001429
"ABalaaapal","ABalaaapal",7.36411698463977,6.82070865981685,5.28899004311977,4.42975010022159
"ABalaaapall","ABalaaapall",10.2350386235226,7.62111437373306,3.44070492969437,6.61108370189217
"ABalaaapalr","ABalaaapalr",5.36606852858679,7.98959371177031,3.51648126624724,1.49317899883829
"ABalaaapar","ABalaaapar",4.98159746056682,7.97371636601462,3.97254264185072,3.55430534410638
"ABalaaaparl","ABalaaaparl",5.95844461332042,8.71137649368037,4.33583949567225,2.22454833615255
"ABalaaaparr","ABalaaaparr",6.31868956451077,9.09178039891445,4.271527878081,3.93899566163724
"ABalaaapp","ABalaaapp",4.52102853022504,6.84852038380517,3.90889060548368,5.99579704923801
"ABalaaappl","ABalaaappl",4.15696752179229,5.11398291182646,5.61524084541938,5.91107532275782
"ABalaaappll","ABalaaappll",6.27684235902098,3.51938136812285,5.34602656184946,5.09945543235125
"ABalaaapplr","ABalaaapplr",5.33721444090133,4.64791129393143,4.77707108626879,5.54598159573645
"ABalaaappr","ABalaaappr",3.51111433980125,8.43805924392434,5.90948774891238,10.3111209320827
"ABalaaapprl","ABalaaapprl",5.57296923651218,6.71427607073963,2.94194245259719,8.56612285906356
"ABalaaapprr","ABalaaapprr",4.86694835433472,10.4245951398862,6.80415631874199,9.71775968091874
"ABalaap","ABalaap",4.09596774850117,3.53028068850623,5.44665793283253,5.61754762294039
"ABalaapa","ABalaapa",5.28357695088217,4.13090932841214,6.91750232570986,6.77514763150299
"ABalaapaa","ABalaapaa",4.91291891683154,7.78828851365407,4.91266104968777,8.84778006032172
"ABalaapaaa","ABalaapaaa",4.21486448710135,8.10245790758595,4.52669238802447,10.0483476793919
"ABalaapaaal","ABalaapaaal",5.66870061536739,-Inf,5.43737068811756,-Inf
"ABalaapaaar","ABalaapaaar",3.7396791306207,-Inf,5.75128005075585,-Inf
"ABalaapaap","ABalaapaap",3.48534758797953,10.7878431603638,3.88159995128532,12.1835293913444
"ABalaapaapa","ABalaapaapa",5.5064049858114,7.19239067234425,5.64230449373303,8.20569193516457
"ABalaapaapp","ABalaapaapp",6.10053527260067,9.78481165700558,5.96365659641801,9.35406592785811
"ABalaapap","ABalaapap",3.64526960227273,6.22044707814364,7.16083039107319,8.03496808398859
"ABalaapapa","ABalaapapa",5.64345753443512,9.97780740568789,8.63303310097587,11.9346554016574
"ABalaapapp","ABalaapapp",4.447889851985,11.4453786231896,8.55405756506503,10.0561851956907
"ABalaapappa","ABalaapappa",9.38987496591261,8.71769845620345,7.38504612375576,9.37622090815476
"ABalaapappp","ABalaapappp",6.60368079180089,12.6716436910851,14.8393385579511,11.7515477696313
"ABalaapp","ABalaapp",5.8127833619724,6.29119317540385,10.0709501233786,7.12520178503675
"ABalaappa","ABalaappa",8.45066774184494,6.34090282564603,4.78328412565953,9.57535542338198
"ABalaappaa","ABalaappaa",5.72351557537713,11.856224490604,7.57495874576225,12.8738585267842
"ABalaappap","ABalaappap",4.20612308463451,10.7218370280563,5.02294237019135,11.1769611534026
"ABalaappapa","ABalaappapa",5.75225708209061,9.23644192880203,5.11103248485318,10.8832497285388
