"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"AB","AB",NA,NA,NA,5.34555872457379
"ABa","ABa",7.05030311049003,6.7704743950822,10.6676499068023,5.1949068400434
"ABal","ABal",3.34490276588574,3.70738781545356,6.23411680438487,3.463744657231
"ABala","ABala",1.19987114018875,2.32876230165085,4.49111737698119,2.59327782735808
"ABalaa","ABalaa",3.03420304260609,3.88250314264482,5.71690470595745,3.89315038036034
"ABalaaa","ABalaaa",3.20730372777795,3.55246369172767,4.00932603629808,2.29176869930216
"ABalaaaa","ABalaaaa",5.42279308789555,3.43363942613454,5.42161521983882,4.34955935873639
"ABalaaaal","ABalaaaal",1.9248304658369,6.37836391017648,4.32730584125305,6.98088856669522
"ABalaaaala","ABalaaaala",5.27790933935834,4.70323299620061,2.16902856935996,4.87126152782832
"ABalaaaalal","ABalaaaalal",4.77896049214071,4.15952078692988,3.81345216790851,4.19988636355591
"ABalaaaalar","ABalaaaalar",5.68275604073462,3.71909268274333,3.65809213618575,6.90707123206308
"ABalaaaalp","ABalaaaalp",4.82252232000169,11.226356468119,2.48301894483961,7.57815999136159
"ABalaaaalpa","ABalaaaalpa",6.26355445681111,9.86836947184396,4.21048269769478,4.34335338332344
"ABalaaaalpp","ABalaaaalpp",3.92462884740323,9.51538644451124,3.82573639345213,4.69997905865562
"ABalaaaar","ABalaaaar",4.78905477167216,4.95760385202686,2.22772876791516,5.82402214701732
"ABalaaaarl","ABalaaaarl",3.85937985311875,4.70542823574584,2.72096585086741,6.5913430349967
"ABalaaaarla","ABalaaaarla",4.1021313785703,4.79784302853481,3.24583515676303,7.1251881273152
"ABalaaaarlp","ABalaaaarlp",2.81550580730378,7.35381261452133,1.93600651169546,10.0077832004948
"ABalaaaarr","ABalaaaarr",4.24600804770901,7.72672159610441,4.10116016369914,6.26138950383297
"ABalaaaarra","ABalaaaarra",3.20570144565481,7.02265578357762,2.45580120263257,3.72915257699573
"ABalaaaarrp","ABalaaaarrp",1.9972163004654,8.06876592022312,2.30571150741651,7.40815434442236
"ABalaaap","ABalaaap",2.98006246397565,1.88429708692787,3.94218093365631,3.10907522667072
"ABalaaapa","ABalaaapa",4.55241431538867,2.54366155664271,4.93088848836893,2.91168152681653
"ABalaaapal","ABalaaapal",4.40204389620716,3.95543069455952,2.27039998922499,2.5879351774854
"ABalaaapall","ABalaaapall",9.27537925767612,5.7205321935229,2.28794663436354,5.59930494728346
"ABalaaapalr","ABalaaapalr",3.41343012086143,5.29709923403567,2.22736854515648,0.972898527298669
"ABalaaapar","ABalaaapar",2.4881905074964,6.0371170965992,1.94198139055662,2.38448377675972
"ABalaaaparl","ABalaaaparl",4.18705366567974,7.12947722228678,2.61619532605336,1.40871950774594
"ABalaaaparr","ABalaaaparr",5.46143336934372,7.92597882817666,2.59363230173127,2.96248459040385
"ABalaaapp","ABalaaapp",3.61970967927761,4.98710805634153,2.24745627222201,3.17426604427668
"ABalaaappl","ABalaaappl",2.18780611428703,3.36556206805604,2.45468332532627,3.44248999755163
"ABalaaappll","ABalaaappll",5.02809946980012,2.36624355682076,3.03777711096668,4.64968048929702
"ABalaaapplr","ABalaaapplr",4.09377959603256,3.01188767388968,2.53688767979741,5.3689367459508
"ABalaaappr","ABalaaappr",2.02690645277358,5.85812779842103,3.3136893689817,9.08651654872529
"ABalaaapprl","ABalaaapprl",4.19177947884574,4.03238476712222,1.76629298426939,7.77149225804544
"ABalaaapprr","ABalaaapprr",3.17015161819962,6.27486150656831,4.23142596346517,9.00131583889464
"ABalaap","ABalaap",2.43093728732462,2.10555168623883,4.36754436156323,3.00637207214971
"ABalaapa","ABalaapa",3.31859555997442,2.45037234412145,5.27742265275896,4.33952694734923
"ABalaapaa","ABalaapaa",2.39974653076978,6.00832824895649,2.48455777801749,4.3023555968743
"ABalaapaaa","ABalaapaaa",1.72487646782712,4.00530049485052,3.16971172994595,8.18894766693895
"ABalaapaaal","ABalaapaaal",5.38173629332841,NA,4.270334023729,NA
"ABalaapaaar","ABalaapaaar",2.69042000772717,NA,4.47110596097001,NA
"ABalaapaap","ABalaapaap",2.00093970916099,8.95577459567014,2.30252188759,10.5652074357414
"ABalaapaapa","ABalaapaapa",4.75792947409047,4.49889897671175,4.15981014240942,7.3402573714407
"ABalaapaapp","ABalaapaapp",5.10231404646571,8.50194796117833,3.66996057512126,8.95678905217653
"ABalaapap","ABalaapap",1.94287213302461,4.89951183449823,4.4581713661131,6.27380340245614
"ABalaapapa","ABalaapapa",3.01553559478452,6.36300374067433,7.10185422327148,10.6835713460726
"ABalaapapp","ABalaapapp",1.42327202779859,7.1047430709508,6.63460197614168,8.5107756156335
"ABalaapappa","ABalaapappa",8.129636606406,7.70734438285303,6.16899706335657,8.23599283523008
"ABalaapappp","ABalaapappp",4.59410344203428,10.9140726743163,12.842113313014,10.848226597623
"ABalaapp","ABalaapp",3.35892160230835,4.29941702878003,5.51068321829538,4.49039404105036
"ABalaappa","ABalaappa",4.33168777627973,5.16399790448399,2.65511394555592,6.72379059756069
"ABalaappaa","ABalaappaa",1.83998436127231,7.94217820113502,3.90328324564882,8.63115888112504
"ABalaappap","ABalaappap",2.10280377362758,6.86739622183983,3.38482437030485,6.80941632753469
"ABalaappapa","ABalaappapa",4.7614002089904,7.91806976378917,3.97851881815173,9.46853784358643
