"Cell","Time","Defect_Count","ExpLevel","Expressing","Mean_Dev","Max_Dev","Mean_NN_score","Max_NN_score"
"AB",3,0,0,FALSE,5.34555872457379,5.75775596274143,NA,-Inf
"ABa",19,0,51,FALSE,7.42083356310448,8.52461636960762,0.170602480750371,0.170602480750371
"ABal",43,0,51,FALSE,4.18753801073879,6.34773099759824,0.170791821606256,0.224217927315001
"ABala",56,0,51,FALSE,2.65325716154472,3.77050261732646,0.0774720910874951,0.0904228899562772
"ABalaa",75,0,51,FALSE,4.13169031789218,5.45058323422794,0.165761489623343,0.199663419738232
"ABalaaa",103,0,1252,FALSE,3.26521553877646,4.73791776496039,0.194825465439385,0.237664788169862
"ABalaaaa",137,0,4784,TRUE,4.65690177315132,7.69400821160186,0.472292277960152,0.545962818297014
"ABalaaaal",181,2,11551,TRUE,4.90284719599041,6.78670602088828,0.9271372850203,1.14274437716836
"ABalaaaala",232,1,11551,TRUE,4.25535810818681,6.16500283202134,1.08616600155155,1.33580054149744
"ABalaaaalal",330,0,11551,TRUE,4.23795495263375,4.87632794515751,1.11548100813754,1.39097568281271
"ABalaaaalar",330,1,11551,TRUE,4.99175302293169,5.90358665861245,1.17398499762393,1.71334724610139
"ABalaaaalp",232,2,11551,TRUE,6.52751443108047,9.72331357595741,1.32996920669843,1.76997467227127
"ABalaaaalpa",325,2,11551,TRUE,6.17144000241832,6.95894296537377,1.4631868082243,1.8703936317113
"ABalaaaalpp",325,1,11551,TRUE,5.49143268600556,6.82390292247883,1.40631992514999,2.06230676266756
"ABalaaaar",181,1,13502,TRUE,4.44960238465787,6.57244683966702,0.709597923242925,1.09681769458136
"ABalaaaarl",233,1,13502,TRUE,4.46927924368218,6.17312401322093,0.990153793429553,1.21948231588705
"ABalaaaarla",314,1,13502,TRUE,4.81774942279583,5.75708673777065,1.19943962003676,1.4564287490221
"ABalaaaarlp",314,2,13502,TRUE,5.52827703350384,6.84385658850367,1.38078246463592,1.75216739169102
"ABalaaaarr",233,2,13502,TRUE,5.58381982783638,8.27946741936312,1.27199651775468,1.52034029390276
"ABalaaaarra",314,1,13502,TRUE,4.10332775221518,5.35933460308342,1.32050502401868,1.67572647482921
"ABalaaaarrp",314,2,13502,TRUE,4.94496201813185,6.2207970959309,1.39287784380452,1.81005042775526
"ABalaaap",137,0,4467,TRUE,2.97890392780764,4.40280630939151,0.37854487187563,0.397289563925362
"ABalaaapa",175,0,9394,TRUE,3.73466147180421,5.81531935971773,0.624992136274544,0.745456527446554
"ABalaaapal",225,0,9394,TRUE,3.30395243936927,5.9758914469495,1.02228285676807,1.22299173772437
"ABalaaapall",299,3,9394,TRUE,5.72079075821151,6.97698540721055,1.35179331644343,1.69820659401294
"ABalaaapalr",299,1,9394,TRUE,2.97769910683806,4.59133062636066,1.03558825744983,1.30597382499081
"ABalaaapar",225,1,9965,TRUE,3.21294319285298,5.12054045313463,0.96198616468649,1.26368380587546
"ABalaaaparl",313,1,17439,TRUE,3.83536143044146,5.3075522347064,1.15201867878267,1.46620290077843
"ABalaaaparr",313,2,20246,TRUE,4.73588227241387,5.90524837578586,1.21450533636072,1.40194285652822
"ABalaaapp",175,0,8213,TRUE,3.50713501302946,5.31855914218797,0.709495626048243,0.905134309510619
"ABalaaappl",226,0,8213,TRUE,2.86263537630524,5.19931665044899,0.919801341924096,1.15179478710054
"ABalaaappll",312,1,11478,TRUE,3.77045015672114,5.06042643033614,1.23562648003474,1.65701750453887
"ABalaaapplr",312,1,13319,TRUE,3.75287292391761,5.0770446042095,1.2528037811249,1.51264650160985
"ABalaaappr",226,2,8213,TRUE,5.0713100422254,7.04244556618017,1.0506781593441,1.53595471673943
"ABalaaapprl",300,1,8213,TRUE,4.4404873720707,5.94882765472814,1.25734388770287,1.59564774875176
"ABalaaapprr",300,2,13018,TRUE,5.66943873178194,7.95336487347041,1.37807495626562,1.79668309871257
"ABalaap",103,0,533,FALSE,2.9776013518191,4.67261349819508,0.287533961987231,0.349334046969479
"ABalaapa",137,0,2937,TRUE,3.84647937605102,5.77678405912679,0.488669069815527,0.610467711795659
"ABalaapaa",181,0,11270,TRUE,3.79874703865451,6.61541213512377,0.66940250388435,0.857216849003833
"ABalaapaaa",236,1,11901,TRUE,4.27220908989063,6.72309061552592,1.11645494606951,1.52607721115498
"ABalaapaaal",334,1,11901,TRUE,4.8260351585287,5.55303565174247,1.22728763142266,1.23769923302028
"ABalaapaaar",334,0,11901,TRUE,3.58076298434859,4.74547959068827,0.930481620243435,1.04060997023852
"ABalaapaap",236,2,11270,TRUE,5.95611090704063,7.58458002274326,1.15589790093869,1.65402274390675
"ABalaapaapa",325,0,11270,TRUE,5.18922399116309,6.63669802176331,1.03352315521619,1.43782587280991
"ABalaapaapp",325,3,11270,TRUE,6.55775290873546,7.80076736347059,1.1540293363129,1.88639367211054
"ABalaapap",181,1,9456,TRUE,4.39358968402302,6.26537878886954,0.890663079707182,1.11274889702826
"ABalaapapa",235,3,9456,TRUE,6.79099122620073,9.04723836068907,1.27329445116134,1.5588351018982
"ABalaapapaa",NA,0,NA,NA,NA,NA,NA,NA
"ABalaapapap",NA,0,NA,NA,NA,NA,NA,NA
"ABalaapapp",235,3,9456,TRUE,5.91834817263114,8.62587780898258,1.20819886634199,1.53279573284505
"ABalaapappa",309,4,9456,TRUE,7.56049272196142,8.71721011350665,1.55912117911206,1.77473510029853
"ABalaapappp",309,3,9456,TRUE,9.79962900674689,11.4665527026171,1.79222429527768,2.05439433291301
"ABalaapp",137,1,3259,TRUE,4.41485397260853,7.3250321114479,0.67443538881095,0.800432523145941
"ABalaappa",175,1,9698,TRUE,4.71864755597008,7.28755252913312,0.71570021025109,1.01147000485811
"ABalaappaa",230,2,9698,TRUE,5.5791511722953,9.50713933463189,1.26191577759402,1.53782987203276
"ABalaappaaa",NA,0,NA,NA,NA,NA,NA,NA
"ABalaappaap",NA,0,NA,NA,NA,NA,NA,NA
"ABalaappap",230,2,17246,TRUE,4.79111017332674,7.78196590907119,1.07368982654518,1.50841936698375
"ABalaappapa",308,2,17246,TRUE,6.53163165862943,7.74574530607116,1.31110372083633,1.72479151591105
