"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABalaaaalar","death",0,1,1,11551,0,0,0,0,0
"ABalaaaalpa","death",0,2,1,11551,0,239,0,14,0
"ABalaaaalpp","ILshL",0,3,1,11551,0,448,11,14,0
"ABalaaaarla","death",1,3,1,13502,8,0,0,0,0
"ABalaaaarlp","RMEL",1,2,1,13502,8,0,162,0,0
"ABalaaaarra","death",1,1,1,13502,0,96,38,5,0
"ABalaaaarrp","RMER",1,2,1,13502,0,0,38,5,0
"ABalaaapall","ILsoL",0,3,1,9394,0,254,0,0,0
"ABalaaapalr","AVDL",0,2,1,9394,0,218,68,0,0
"ABalaaaparl","death",0,2,2,17439,0,145,871,0,9
"ABalaaaparr","ILshDL",0,2,2,20246,0,0,412,0,9
"ABalaaappll","ILshDR",0,3,1,11478,0,143,1334,9,0
"ABalaaapplr","death",0,2,1,13319,0,0,671,9,0
"ABalaaapprl","AVDR",0,3,1,8213,0,0,81,0,0
"ABalaaapprr","ILsoR",0,3,1,13018,0,842,0,0,0
"ABalaapaaal","death",1,3,1,11901,0,0,151,0,0
"ABalaapaaar","AINR",1,2,1,11901,0,945,0,0,0
"ABalaapaapa","death",1,2,2,11270,0,287,0,0,0
"ABalaapaapp","ILshR",1,3,2,11270,0,0,0,0,0
"ABalaapapa","death",3,1,1,9456,17,0,0,45,15
"ABalaapappa","death",0,4,1,9456,0,0,4610,0,15
"ABalaapappp","CEPsoVR",0,4,1,9456,0,0,6299,0,15
"ABalaappaa","death",1,1,1,9698,0,258,4,0,0
"ABalaappapa","AVAR",0,3,1,17246,0,399,0,0,0
"ABalaappapp","OLQsoVR",0,2,1,17246,0,0,0,0,0
"ABalaapppaa","RIAR",1,2,1,28164,0,0,0,0,0
"ABalaapppap","death",1,2,1,28164,0,0,0,0,0
"ABalaappppa",NA,1,1,1,31475,0,0,24,0,0
"ABalaappppp","IL2R",1,2,1,39406,0,0,0,0,0
"ABalapaaaaa","AVHL",0,1,2,21314,0,0,171,0,217
"ABalapaaaap","death",0,1,2,13962,0,0,171,0,217
"ABalapaaapa","CANL",0,3,2,11199,0,132,4,0,217
"ABalapaaapp","OLLsoL",0,3,2,11199,0,119,0,0,217
"ABalapaapaa","RIAL",0,0,1,17036,0,0,0,0,217
"ABalapaapap","death",0,0,1,17036,0,0,0,0,217
"ABalapaappa",NA,0,0,1,23347,0,54,0,0,217
"ABalapaappp","IL2L",0,0,1,30160,0,0,0,0,217
"ABalapapaa","death",2,0,1,3301,4,0,1349,0,217
"ABalapapapa",NA,1,0,1,16680,4,0,2411,37,217
"ABalapapapp","URYDL",1,1,1,10234,4,0,2411,37,217
"ABalapappaa",NA,1,2,2,15639,0,0,9532,0,217
"ABalapappap","IL2DL",1,2,2,11060,0,0,8299,0,217
"ABalapapppa","AVJL",3,2,2,2952,0,0,10446,0,217
"ABalapapppp","CEPsoDL",3,2,2,2952,0,0,10112,0,217
"ABalappaaa","death",0,2,1,5141,2,0,1761,0,92
"ABalappaapa","RID",0,0,1,15960,0,0,1761,0,92
"ABalappaapp","death",0,0,1,15871,0,0,1761,0,92
"ABalappapaa","AVHR",0,1,1,7459,3,0,2409,0,92
"ABalappapap","death",0,1,1,7459,3,0,2756,0,92
"ABalappappa","CANR",0,3,1,9314,3,100,2003,0,92
"ABalappappp","OLLsoR",0,1,1,8599,3,1,2541,0,92
"ABalapppaaa","ALA",0,1,1,3359,0,0,7177,0,88
"ABalapppaap","RMED",0,2,1,1152,0,0,7177,0,88
"ABalapppapa",NA,1,0,1,14993,0,0,6513,0,88
"ABalapppapp","URYDR",1,1,1,8104,0,0,6513,0,88
"ABalappppaa",NA,0,3,1,15441,0,0,7483,0,88
"ABalappppap","IL2DR",0,1,1,8908,0,0,7483,0,88
"ABalapppppa","AVJR",0,1,1,1157,0,0,12621,0,88
"ABalapppppp","CEPsoDR",0,1,1,772,0,0,10742,0,88
"ABalpaaaaaa","e3VL",0,2,3,6949,0,0,0,29,0
"ABalpaaaaap","m2VL",0,2,3,6949,0,0,0,29,0
"ABalpaaaapa","m1VL",1,1,3,4948,1,28,0,11,0
"ABalpaaaapp","death",1,2,3,5424,0,0,0,11,0
"ABalpaaapaa","m2L",2,1,3,3126,303,0,3,0,0
"ABalpaaapap","death",2,3,3,3126,193,0,0,0,0
"ABalpaaappa","death",1,3,3,6050,1191,216,19,0,0
"ABalpaaappp","MCL",1,3,3,3126,341,0,108,0,0
"ABalpaapaaa","arcpost",0,2,3,2603,212,0,0,0,0
"ABalpaapaap","e2DL",0,4,3,2603,251,0,0,0,0
"ABalpaapapa","mc1DL",0,1,4,2603,364,0,0,0,0
"ABalpaapapp","m3L",0,1,4,2603,353,0,0,0,0
"ABalpaappaa","arc_ant",0,0,3,1941,0,0,36,0,0
"ABalpaappap","arcpost",0,2,3,1941,0,0,0,0,0
"ABalpaapppa","hyp1",0,2,3,1941,0,0,0,0,0
"ABalpaapppp","hyp2",0,0,3,1941,0,193,39,0,0
"ABalpapaaaa","RIPL",1,1,3,4101,0,0,0,0,0
"ABalpapaaap","hyp2",1,1,3,4101,0,0,0,0,0
"ABalpapaapa","arc_ant",0,2,3,3505,0,54,0,0,0
"ABalpapaapp","death",0,2,3,3505,251,334,0,0,0
"ABalpapapaa","RMDDL",0,2,3,3149,1784,0,0,0,0
"ABalpapapap",NA,0,2,3,3149,2235,0,0,0,0
"ABalpapappa","death",0,3,3,2121,3056,9,174,43,0
"ABalpapappp","SMBVL",0,3,3,2121,3638,0,0,43,0
"ABalpappaaa","death",0,1,3,9142,864,30,0,0,0
"ABalpappaap",NA,0,2,3,19422,864,2,0,0,0
"ABalpappapa","e2V",0,2,3,2849,2621,0,0,23,0
"ABalpappapp","mc3V",0,3,3,2887,2395,84,0,23,0
"ABalpapppaa","I1L",0,0,3,9844,2480,167,6,0,0
"ABalpapppap","death",0,1,3,3130,2480,0,0,0,0
"ABalpappppa","mc1V",0,2,3,885,4326,0,0,0,0
"ABalpappppp","m3VL",0,2,3,710,3923,0,0,0,0
"ABalppaaaa","death",0,1,2,4872,17,0,29,18,708
"ABalppaaapa","AVAL",0,1,2,7966,0,0,0,0,708
"ABalppaaapp","OLQsoVL",0,2,2,7966,0,0,0,0,708
"ABalppaapa","death",0,0,2,9559,23,0,479,31,708
"ABalppaappa","death",0,2,2,19743,1,0,4446,0,708
"ABalppaappp","CEPsoVL",0,3,2,8965,1,0,5475,0,708
"ABalppapaaa","RMDVL",0,2,2,19177,0,0,0,0,708
"ABalppapaap","ILshVL",0,1,2,9394,0,0,0,0,708
"ABalppapapa","SAADL",0,2,2,5689,0,258,683,0,708
"ABalppapapp","ILsoVL",0,2,2,5689,0,0,0,0,708
"ABalppappaa","SMDVL",0,0,2,17660,0,0,0,0,708
"ABalppappap","BAGL",0,1,2,16059,0,0,0,0,708
"ABalppapppa",NA,0,2,2,29374,0,0,0,0,708
"ABalppapppp","IL2VL",0,2,2,35932,0,0,0,0,708
"ABalpppaaaa","AVEL",0,1,2,14925,0,244,0,0,437
"ABalpppaaap","OLQshVL",0,1,2,14925,0,0,0,0,437
"ABalpppaapd","OLLshL",0,0,2,38168,0,100,0,0,437
"ABalpppaapv","death",0,1,2,42828,0,100,15,0,437
"ABalpppapad","RMDL",0,0,4,6211,0,0,2914,0,437
"ABalpppapav","AFDL",0,1,4,18075,0,0,4242,0,437
"ABalpppappa","death",1,0,4,4483,0,118,0,0,437
"ABalpppappp",NA,1,0,4,4483,0,0,0,0,437
"ABalppppaad","ADLL",0,1,2,4754,0,0,26,0,437
"ABalppppaav","death",0,0,2,4701,0,0,0,0,437
"ABalppppapa",NA,0,2,2,36619,0,22,0,0,437
"ABalppppapp","death",0,3,2,7474,0,0,0,0,437
"ABalpppppaa","ADFL",0,0,2,466,0,0,0,0,437
"ABalpppppap","AWBL",0,0,2,532,0,0,0,0,437
"ABalppppppaa","ASEL",0,0,2,190,0,0,0,0,437
"ABalppppppap","death",0,1,2,142,0,0,0,0,437
"ABalpppppppa","ASJL",0,2,2,321,0,0,0,0,437
"ABalpppppppp","AUAL",0,2,2,1100,0,0,0,0,437
"ABaraaaaaaa","e1VL",0,2,3,896,16,0,2829,0,0
"ABaraaaaaap","m1L",0,3,3,430,0,119,2829,0,0
"ABaraaaaapa","e1VR",0,2,2,1156,0,0,2479,0,0
"ABaraaaaapp","m1R",0,2,2,1952,67,0,2479,0,0
"ABaraaaapaa","death",0,2,3,399,0,0,2625,0,0
"ABaraaaapap","e1D",0,2,3,721,0,0,2625,0,0
"ABaraaaapp","death",0,3,2,598,132,0,2144,0,0
"ABaraaapaaa","arcpost",0,2,2,618,384,50,2055,0,0
"ABaraaapaap","e2DR",0,2,2,497,377,0,2055,0,0
"ABaraaapapa","mc1DR",0,3,2,497,384,0,2225,0,0
"ABaraaapapp","m4R",0,1,2,584,343,0,2225,0,0
"ABaraaappaa","arcpost",0,4,2,566,0,796,1687,12,22
"ABaraaappap","arcpost",0,2,2,2000,0,0,1687,12,22
"ABaraaapppa","arc_ant",0,4,2,613,0,0,1687,12,22
"ABaraaapppp","hyp1",0,2,2,858,0,0,1687,12,22
"ABaraapaaaa","e3D",0,1,2,322,0,0,2419,0,0
"ABaraapaaap","m1DL",0,1,2,395,0,0,2419,0,0
"ABaraapaapa","m2DL",0,1,2,677,1654,0,2419,0,0
"ABaraapaapp","mc2DL",0,0,2,342,2027,0,2419,0,0
"ABaraapapaa",NA,0,0,3,551,1422,73,2383,0,0
"ABaraapapap","m5L",0,0,3,402,1119,73,2383,0,0
"ABaraapappa","M2L",0,0,3,629,1252,73,2383,12,0
"ABaraapappp","M3L",0,1,3,629,1027,73,2383,12,0
"ABaraappaaa","MI",0,1,2,606,831,0,2098,0,0
"ABaraappaap","m1DR",0,1,2,1210,831,0,2098,0,0
"ABaraappapa","m2DR",0,0,2,392,1482,0,2249,0,0
"ABaraappapp","mc2DR",0,1,2,392,1933,0,2249,0,0
"ABaraapppaa",NA,1,2,2,386,3051,0,2135,0,0
"ABaraapppap","m5R",1,0,2,369,3051,0,2135,0,0
"ABaraappppa","M2R",0,0,2,916,2695,6,2135,0,0
"ABaraappppp","M3R",0,0,2,508,2695,0,2135,0,0
"ABarapaaaaa","e3VR",0,1,2,11582,0,0,0,0,0
"ABarapaaaap","m2VR",0,3,2,6974,0,0,0,0,0
"ABarapaaapa","m1VR",0,2,2,2403,0,0,0,31,0
"ABarapaaapp","death",0,2,2,3610,43,0,0,31,0
"ABarapaapaa","m2R",0,2,2,2763,1400,3,0,0,0
"ABarapaapap","death",0,2,2,2763,1400,297,93,0,0
"ABarapaappa","m3R",1,1,2,3987,2221,141,0,0,0
"ABarapaappp","MCR",1,1,2,3987,1310,72,0,0,0
"ABarapapaaa","death",0,1,2,7387,410,0,0,0,0
"ABarapapaap",NA,0,2,2,13148,410,14,0,0,0
"ABarapapapa","arcpost",0,2,2,2613,3330,60,0,0,0
"ABarapapapp","I5",0,2,2,2004,3295,33,0,0,0
"ABarapappaa","I1R",1,0,2,4165,1412,0,8,0,0
"ABarapappap","death",1,0,2,3222,1412,0,0,0,0
"ABarapapppa","mc2V",0,2,2,1105,2003,29,0,0,0
"ABarapapppp","m3VR",0,2,2,626,2127,0,0,0,0
"ABarappaaaa","RIPR",0,2,2,2494,0,0,12,0,26
"ABarappaaap","death",0,1,2,3068,0,0,0,0,26
"ABarappaapa","hyp1",0,2,2,5873,0,0,0,0,22
"ABarappaapp","death",0,2,2,1650,0,0,0,0,22
"ABarappapaa","RMDDR",0,1,2,3561,1263,0,0,0,0
"ABarappapap",NA,0,1,2,3561,1546,0,0,0,0
"ABarappappa","DB2",0,2,2,2948,3843,34,0,0,0
"ABarappappp","SMBVR",0,3,2,2948,3430,0,0,0,0
"ABarapppaaa","RMDVR",0,3,2,10167,0,0,0,0,0
"ABarapppaap","ILshVR",0,3,2,6743,0,0,0,0,0
"ABarapppapa","SAADR",0,2,2,3242,0,0,0,0,0
"ABarapppapp","ILsoVR",0,1,2,3242,0,0,0,0,0
"ABarappppaa","SMDVR",0,0,2,14682,0,0,0,0,0
"ABarappppap","BAGR",0,2,2,10528,0,0,0,0,0
"ABarapppppa",NA,0,2,2,35347,0,0,0,0,0
"ABarapppppp","IL2VR",0,3,2,23388,0,0,0,0,0
"ABarpaaaaal","OLQsoDL",0,1,1,3006,0,0,0,0,4
"ABarpaaaaar","OLQsoDR",0,0,1,3006,0,0,0,0,4
"ABarpaaaapa","OLQshDL",0,1,1,3207,0,3500,13865,0,0
"ABarpaaaapp","CEPshDL",0,0,1,3207,0,3500,12992,0,0
"ABarpaaapaa","OLQshSR",0,1,1,2336,0,758,14477,0,0
"ABarpaaapap","CEPshDR",0,1,1,2336,0,758,14160,0,0
"ABarpaaapp","death",0,0,1,2301,7,3605,1458,0,0
"ABarpaapaa","hyp6",0,1,1,664,1,3116,0,0,0
"ABarpaapap","hyp7",0,0,1,664,1,2901,0,0,0
"ABarpaappa","hyp7",0,0,1,664,0,3244,0,0,0
"ABarpaappp","hyp7",0,1,1,664,0,1008,0,0,0
"ABarpapaaaa","URADR",1,1,1,959,0,1306,0,0,0
"ABarpapaaap","CEMDR",1,1,1,646,0,1306,0,0,0
"ABarpapaapa","death",0,1,1,708,0,909,1108,0,0
"ABarpapaapp",NA,0,0,1,646,0,909,0,0,0
"ABarpapapa","hyp4",0,1,1,4443,0,0,0,0,0
"ABarpapapp","hyp6",0,2,1,370,0,1082,0,0,0
"ABarpappaa","XXXR",0,1,1,8739,0,264,401,0,4
"ABarpappap","hyp5",0,0,1,761,0,0,0,0,0
"ABarpapppa","HOR",0,1,1,459,0,0,0,0,0
"ABarpapppp","H1R",0,1,1,459,0,0,0,0,0
"ABarppaaaa","ADEshL",0,0,1,259,0,2549,4,0,8323
"ABarppaaap","H2L",0,1,1,136,0,2452,4,0,8323
"ABarppaapa","hyp7",0,0,1,98,0,2848,0,0,8964
"ABarppaapp",NA,0,0,1,51,0,1526,0,0,9064
"ABarppapaa","V1L",0,0,1,51,0,0,0,12,7197
"ABarppapap","V2L",0,0,1,77,0,0,0,0,7897
"ABarppappa","V4L",0,0,1,109,0,0,0,0,7751
"ABarppappp","V6L",0,0,1,315,0,0,0,0,7751
"ABarpppaaa","ADEshR",0,1,1,250,4,2059,258,0,8571
"ABarpppaap","H2R",0,1,1,198,4,2059,258,0,8571
"ABarpppapa","hyp7",0,1,2,92,0,2215,313,0,9706
"ABarpppapp",NA,0,1,2,164,0,0,313,0,9706
"ABarppppaa","V1R",1,1,1,275,0,0,1292,0,10028
"ABarppppap","V2R",1,1,1,194,0,0,1381,0,10028
"ABarpppppa","V4R",1,1,1,144,0,0,1633,0,10247
"ABarpppppp","V6R",1,2,1,443,0,0,1787,0,10247
"ABplaaaaaaa","URADL",1,0,2,554,0,892,8,0,0
"ABplaaaaaap","CEMDL",1,0,2,385,0,892,14,0,0
"ABplaaaaapa","death",1,1,2,827,0,0,8,0,0
"ABplaaaaapp",NA,1,1,2,173,0,228,8,0,0
"ABplaaaapa","hyp6",1,3,1,181,0,3990,8,0,0
"ABplaaaapp","hyp6",1,1,1,125,0,3291,8,0,0
"ABplaaapaa","XXXL",0,2,1,4882,0,1492,8,0,0
"ABplaaapap","hyp5",0,0,1,412,0,1492,8,0,0
"ABplaaappa","HOL",0,1,1,213,0,313,8,0,0
"ABplaaappp","H1L",0,0,1,109,0,1190,8,0,0
"ABplaapaaaa","hyp3",0,2,1,4529,0,183,8,0,0
"ABplaapaaap","ILsoDL",0,2,1,5328,0,0,8,0,0
"ABplaapaapa","URBL",0,0,1,346,0,0,8,0,0
"ABplaapaapp","AMshL",0,2,1,518,0,0,8,0,0
"ABplaapapaa","AWAL",0,0,1,2361,0,1085,8,0,0
"ABplaapapap","ASGL",0,1,1,757,0,743,8,0,0
"ABplaapappa","AIBL",0,2,1,229,0,709,8,0,0
"ABplaapappp",NA,0,0,1,1391,0,374,8,0,0
"ABplaappaa","hyp4",0,2,1,10155,0,0,8,0,0
"ABplaappap","hyp6",0,2,1,378,0,0,8,0,0
"ABplaapppa","hyp7",0,1,1,370,0,0,8,0,0
"ABplaapppp","hyp7",0,0,1,196,0,0,8,0,0
"ABplapaaaaa","death",0,0,2,1059,0,0,14,0,6747
"ABplapaaaap",NA,0,0,2,299,0,0,8,0,6747
"ABplapaaapa",NA,0,0,1,109,0,0,8,0,6747
"ABplapaaapp","RMGL",0,0,1,972,0,0,8,0,6747
"ABplapaapa","G2",0,1,1,336,3,0,8,0,7651
"ABplapaapp","P1/2L",0,0,1,221,3,0,8,0,7651
"ABplapapaa",NA,0,0,1,186,0,0,8,1630,3742
"ABplapapap","P9/10L",0,0,1,345,0,0,8,1415,3742
"ABplapappa","P11",0,0,1,531,0,0,8,2902,3742
"ABplapapppa","death",0,0,1,1141,0,0,8,1284,3742
"ABplapapppp",NA,0,0,1,532,0,0,8,1284,3742
"ABplappaaa","P3/4L",0,0,1,384,0,0,8,832,3591
"ABplappaap","P5/6L",0,0,1,239,0,0,8,832,2883
"ABplappapa","V3L",0,0,1,144,0,0,8,667,2095
"ABplappapp","P7/8L",0,0,1,538,0,0,8,667,2095
"ABplapppaaa","PVQL",0,0,1,455,0,0,8,1290,1037
"ABplapppaap","death",0,0,1,1592,0,0,8,1290,1037
"ABplapppapa","death",0,0,1,1083,0,0,8,1290,1037
"ABplapppapp",NA,0,0,1,649,0,0,8,1290,1037
"ABplappppa","hyp7",0,1,1,740,0,0,8,1108,1037
"ABplappppp","TL",0,0,1,767,0,0,8,1108,1037
"ABplpaaaaaa","SAAVL",0,0,5,839,1323,1841,2780,0,0
"ABplpaaaaap","AWCL",0,0,5,1088,1323,1841,2780,0,0
"ABplpaaaapa","exc_duct",0,2,2,1280,1323,1841,3348,0,0
"ABplpaaaapp","DB1/3",0,2,2,1280,1323,1841,3348,0,0
"ABplpaaapaa","URAVL",0,1,2,4642,1298,1841,1265,0,0
"ABplpaaapap","CEPshVL",0,2,2,4642,1298,1841,1265,0,0
"ABplpaaappa",NA,0,2,2,47797,1298,1841,1654,0,0
"ABplpaaappp","URYVL",0,2,2,19202,1298,1841,1654,0,0
"ABplpaapaaa","RIVL",0,1,2,1546,1000,1585,79,0,0
"ABplpaapaap","AVBL",0,0,2,325,1000,1585,79,0,0
"ABplpaapapa","AMsoL",0,0,2,997,1000,1585,90,0,0
"ABplpaapapp","CEMVL",0,0,2,1710,1000,1585,40,0,0
"ABplpaappaa","ASHL",0,1,2,392,936,1339,8,0,0
"ABplpaappap","RIBL",0,0,2,7328,936,1339,8,0,0
"ABplpaapppa","AIML",0,2,2,700,936,1339,8,0,0
"ABplpaapppp",NA,0,2,2,746,936,1339,8,0,0
"ABplpapaaaa","SMDDL",1,0,1,3182,1521,1587,8,0,0
"ABplpapaaap","AIYL",1,1,1,920,1521,1587,8,0,0
"ABplpapaapa","SIADL",1,2,1,1785,1521,1587,8,0,0
"ABplpapaapp","SIBVL",1,2,1,514,1521,1587,8,0,0
"ABplpapapaa","exc_gl_L",1,1,1,1094,4000,1587,8,0,0
"ABplpapapap","AVKL",1,1,1,880,4000,1587,8,0,0
"ABplpapappa","SIAVL",1,2,1,781,4684,1587,8,0,0
"ABplpapappp","DB5",1,2,1,973,4461,1587,8,0,0
"ABplpappaaa","RMEV",0,2,1,1030,5010,1356,8,0,0
"ABplpappaap","exc_cell",0,2,1,904,5010,1356,8,0,0
"ABplpappap","death",0,0,1,1265,2909,1356,8,0,0
"ABplpapppaa","K",0,2,1,646,6638,1356,8,0,0
"ABplpapppap","K'",0,1,1,954,6638,1356,8,0,0
"ABplpappppa","PVT",0,1,1,920,7163,1356,8,0,0
"ABplpappppp","rect_D",0,1,1,1012,7163,1356,8,0,0
"ABplppaaaaa","SIBDL",0,3,1,1372,1982,2253,8,100,1979
"ABplppaaaap",NA,0,3,1,1327,1982,2253,8,100,1979
"ABplppaaap","death",0,3,1,884,1982,2253,11,68,1979
"ABplppaapaa","death",1,3,1,1779,3952,2253,8,44,1979
"ABplppaapap","RIML",1,3,1,495,3952,2253,17,44,1979
"ABplppaappa","AIAL",0,3,1,1041,5645,2253,213,0,1979
"ABplppaappp","DB6",0,3,1,778,5652,2253,298,0,1979
"ABplppapaaa",NA,0,3,1,386,1820,1656,8,18,1979
"ABplppapaap","SABD",0,3,1,427,1820,1656,8,18,1979
"ABplppapapa","DA2",0,3,1,538,1820,1656,8,0,1979
"ABplppapapp","DA4",0,3,1,538,1820,1656,8,0,1979
"ABplppappaa","RIGL",0,3,1,703,1894,1656,8,22,6694
"ABplppappap","DD1",0,3,1,703,1894,1656,8,22,6694
"ABplppapppa","DD3",0,3,1,742,1894,1656,62,22,8184
"ABplppapppp","DD5",0,3,1,541,1894,1656,8,22,8184
"ABplpppaaaa","DA9",0,2,2,813,4050,2982,8,1701,1872
"ABplpppaaap","DA6",0,1,2,925,4050,2982,8,1701,1872
"ABplpppaapa",NA,0,1,2,758,3775,2982,8,1701,1872
"ABplpppaapp","PHAL",0,0,2,904,3775,2982,24,1701,1872
"ABplpppapaa","PHshL",0,1,1,768,4261,2982,8,1289,1872
"ABplpppapap","hyp8/9",0,1,1,587,4261,2982,8,1289,1872
"ABplpppapp","death",0,0,1,1571,3278,2982,8,1289,1872
"ABplppppaaa","PVPL",0,2,1,699,3732,2084,8,980,1872
"ABplppppaap","rect_VL",0,1,1,845,3732,2084,8,980,1872
"ABplppppapa","U",0,1,1,799,4093,2084,8,1058,1872
"ABplppppapp","F",0,1,1,799,4093,2084,8,1058,1872
"ABplpppppaa","mu_int_L",0,2,1,823,2896,2084,8,490,1872
"ABplpppppap","mu_anal",0,1,1,823,2896,2084,8,490,1872
"ABplppppppa","spike",0,1,1,1061,2896,2084,8,554,1872
"ABplppppppp","hyp10",0,0,1,1388,2896,2084,8,554,1872
"ABpraaaaaaa","AVER",0,1,1,11598,5,110,30,0,0
"ABpraaaaaap","OLQshVR",0,0,1,11598,5,110,8,0,0
"ABpraaaaapd","OLLshR",0,2,1,20371,0,540,8,0,0
"ABpraaaaapv","death",0,2,1,25443,0,59,8,0,0
"ABpraaaapad","RMDR",1,1,1,10634,0,0,2352,0,15
"ABpraaaapav","AFDR",1,1,1,4472,0,0,2217,0,15
"ABpraaaappa","death",0,1,1,4524,0,177,137,0,0
"ABpraaaappp",NA,0,0,1,4524,0,0,8,0,0
