"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"AB",NA,3,0,0,1,1,4,0,0,0,0,0,0,5.75775596274143,5.34555872457379
"ABa",NA,19,0,0,0,4,4,51,0,0,0,0,0,8.52461636960762,7.42083356310448
"ABal",NA,43,0,0,0,4,4,51,0,0,0,0,0,6.34773099759824,4.18753801073879
"ABala",NA,56,0,0,0,4,4,51,0,0,0,0,0,3.77050261732646,2.65325716154472
"ABalaa",NA,75,0,0,0,4,4,51,0,0,0,0,0,5.45058323422794,4.13169031789218
"ABalaaa",NA,103,0,0,0,4,4,1252,0,0,0,0,0,4.73791776496039,3.26521553877646
"ABalaaaa",NA,137,0,0,0,4,4,4784,0,0,0,0,0,7.69400821160186,4.65690177315132
"ABalaaaal",NA,181,0,0,0,4,4,11551,0,0,0,0,0,6.78670602088828,4.90284719599041
"ABalaaaala",NA,232,0,0,0,4,4,11551,0,0,0,0,0,6.16500283202134,4.25535810818681
"ABalaaaalal","AINL",330,0,2,0,4,0,11551,0,0,0,0,0,4.87632794515751,4.23795495263375
"ABalaaaalar","death",330,0,1,0,4,0,11551,0,0,0,0,0,5.90358665861245,4.99175302293169
"ABalaaaalp",NA,232,0,0,0,4,4,11551,0,0,0,14,0,9.72331357595741,6.52751443108047
"ABalaaaalpa","death",325,0,2,0,4,0,11551,0,239,0,14,0,6.95894296537377,6.17144000241832
"ABalaaaalpp","ILshL",325,0,3,0,4,0,11551,0,448,11,14,0,6.82390292247883,5.49143268600556
"ABalaaaar",NA,181,0,0,0,4,4,13502,0,0,0,0,0,6.57244683966702,4.44960238465787
"ABalaaaarl",NA,233,1,0,0,4,4,13502,8,0,0,0,0,6.17312401322093,4.46927924368218
"ABalaaaarla","death",314,0,3,0,4,0,13502,8,0,0,0,0,5.75708673777065,4.81774942279583
"ABalaaaarlp","RMEL",314,0,2,0,4,0,13502,8,0,162,0,0,6.84385658850367,5.52827703350384
"ABalaaaarr",NA,233,1,0,0,4,4,13502,0,0,38,5,0,8.27946741936312,5.58381982783638
"ABalaaaarra","death",314,0,1,0,4,0,13502,0,96,38,5,0,5.35933460308342,4.10332775221518
"ABalaaaarrp","RMER",314,0,2,0,4,0,13502,0,0,38,5,0,6.2207970959309,4.94496201813185
"ABalaaap",NA,137,0,0,0,4,4,4467,0,0,0,0,0,4.40280630939151,2.97890392780764
"ABalaaapa",NA,175,0,0,0,4,4,9394,0,0,0,0,0,5.81531935971773,3.73466147180421
"ABalaaapal",NA,225,0,0,0,4,4,9394,0,0,0,0,0,5.9758914469495,3.30395243936927
"ABalaaapall","ILsoL",299,0,3,0,4,0,9394,0,254,0,0,0,6.97698540721055,5.72079075821151
