"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"AB_X20221004_JIM712_ceh.32_L4","AB","X20221004_JIM712_ceh.32_L4",21.4,34.9142857142857,8.30664106087928,NA,NA,NA,NA,NA,NA,NA,NA
"ABa_X20221004_JIM712_ceh.32_L4","ABa","X20221004_JIM712_ceh.32_L4",37.8,41.9363636363636,6.06799138764381,14.7,12.05,0.964883412646315,2.65,2.7464458039879,NA,NA,NA
"ABal_X20221004_JIM712_ceh.32_L4","ABal","X20221004_JIM712_ceh.32_L4",54.1,55.0954545454545,3.1075142834177,14.7,12.2095238095238,3.6869912885583,2.49047619047619,0.675476559493046,NA,NA,NA
"ABala_X20221004_JIM712_ceh.32_L4","ABala","X20221004_JIM712_ceh.32_L4",72.2,74.2454545454545,1.7740798480788,16.4,17.4590909090909,1.87175982660299,-1.05909090909091,-0.565826284995672,NA,NA,NA
"ABalaa_X20221004_JIM712_ceh.32_L4","ABalaa","X20221004_JIM712_ceh.32_L4",100.1,101.718181818182,1.03447081647085,26.2,25.7272727272727,1.50528649960313,0.472727272727273,0.314044716970429,NA,NA,NA
"ABalaaa_X20221004_JIM712_ceh.32_L4","ABalaaa","X20221004_JIM712_ceh.32_L4",132.8,135.586363636364,1.69629721523801,31.1,32.1590909090909,1.62792859645364,-1.05909090909091,-0.650575775496592,NA,NA,NA
"ABalaaaa_X20221004_JIM712_ceh.32_L4","ABalaaaa","X20221004_JIM712_ceh.32_L4",174.5,179.959090909091,3.05811318905241,39.9,42.7227272727273,1.88121840411545,-2.82272727272728,-1.50047823610067,NA,NA,NA
"ABalaaaal_X20221004_JIM712_ceh.32_L4","ABalaaaal","X20221004_JIM712_ceh.32_L4",226.1,230.536363636364,3.64254561098945,49.8,48.9409090909091,1.84511171191265,0.859090909090902,0.46560373745629,NA,NA,NA
"ABalaaaala_X20221004_JIM712_ceh.32_L4","ABalaaaala","X20221004_JIM712_ceh.32_L4",321.2,329.247058823529,8.84675912743325,93.3,97.3294117647059,8.19281428340426,-4.02941176470588,-0.491822666219597,NA,NA,NA
"ABalaaaalal_X20221004_JIM712_ceh.32_L4","ABalaaaalal","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA
"ABalaaaalar_X20221004_JIM712_ceh.32_L4","ABalaaaalar","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA
"ABalaaaalp_X20221004_JIM712_ceh.32_L4","ABalaaaalp","X20221004_JIM712_ceh.32_L4",315.7,323.577272727273,5.28095696758708,87.9,91.4136363636364,5.37040350124958,-3.51363636363637,-0.654259286628801,NA,NA,NA
"ABalaaaalpa_X20221004_JIM712_ceh.32_L4","ABalaaaalpa","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA
"ABalaaaalpp_X20221004_JIM712_ceh.32_L4","ABalaaaalpp","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA
