"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","CCDefectCount.Parents.","CCDefectCount.Sisters.","CCDefectCount.Aunts.","PosDefectCount.Cells.","PosDefectCount.Parents.","PosDefectCount.Sisters.","PosDefectCount.Aunts.","AngDefectCount.Cells.","AngDefectCount.Parents.","AngDefectCount.Sisters.","AngDefectCount.Aunts.","cellObservedCounts.Cells.","cellObservedCounts.Parents.","cellObservedCounts.Sisters.","cellObservedCounts.Aunts.","divObservedCounts.Cells.","divObservedCounts.Parents.","divObservedCounts.Sisters.","divObservedCounts.Aunts.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells."
"AB",NA,3,0,0,0,NA,0,0,0,NA,1,0,0,NA,1,0,1,NA,4,0,4,NA,0,0,0,0,0,0
"ABa",NA,19,0,0,0,0,0,0,0,0,0,1,0,0,4,1,4,1,4,4,4,4,51,0,0,0,0,0
"ABal",NA,43,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,51,0,0,0,0,0
"ABala",NA,56,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,51,0,0,0,0,0
"ABalaa",NA,75,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,3,3,51,0,0,0,0,0
"ABalaaa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,1252,0,0,0,0,0
"ABalaaaa",NA,137,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4784,0,0,0,0,0
"ABalaaaal",NA,181,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11551,0,0,0,0,0
"ABalaaaala",NA,232,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11551,0,0,0,0,0
"ABalaaaalal","AINL",330,0,0,0,0,2,0,1,0,0,0,0,0,4,4,4,4,0,4,0,4,11551,0,0,0,0,0
"ABalaaaalar","death",330,0,0,0,0,1,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,11551,0,0,0,0,0
"ABalaaaalp",NA,232,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11551,0,0,0,14,0
"ABalaaaalpa","death",325,0,0,0,0,2,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,11551,0,239,0,14,0
"ABalaaaalpp","ILshL",325,0,0,0,0,3,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,11551,0,448,11,14,0
"ABalaaaar",NA,181,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,13502,0,0,0,0,0
"ABalaaaarl",NA,233,1,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,13502,8,0,0,0,0
"ABalaaaarla","death",314,0,1,0,1,3,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,13502,8,0,0,0,0
"ABalaaaarlp","RMEL",314,0,1,0,1,2,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,13502,8,0,162,0,0
"ABalaaaarr",NA,233,1,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,13502,0,0,38,5,0
"ABalaaaarra","death",314,0,1,0,1,1,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,13502,0,96,38,5,0
"ABalaaaarrp","RMER",314,0,1,0,1,2,0,1,0,0,0,0,0,4,4,4,4,0,4,0,4,13502,0,0,38,5,0
"ABalaaap",NA,137,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4467,0,0,0,0,0
"ABalaaapa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,9394,0,0,0,0,0
"ABalaaapal",NA,225,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,9394,0,0,0,0,0
"ABalaaapall","ILsoL",299,0,0,0,0,3,0,2,0,0,0,0,1,4,4,4,4,0,4,0,3,9394,0,254,0,0,0
"ABalaaapalr","AVDL",299,0,0,0,0,2,0,3,0,0,0,0,1,4,4,4,4,0,4,0,3,9394,0,218,68,0,0
"ABalaaapar",NA,225,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,4,3,4,4,4,9965,0,0,0,0,9
"ABalaaaparl","death",313,0,0,0,0,2,0,2,0,0,1,0,0,4,4,4,4,0,3,0,4,17439,0,145,871,0,9
"ABalaaaparr","ILshDL",313,0,0,0,0,2,0,2,0,0,1,0,0,4,4,4,4,0,3,0,4,20246,0,0,412,0,9
"ABalaaapp",NA,175,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,8213,0,0,0,0,0
"ABalaaappl",NA,226,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,8213,0,0,0,9,0
"ABalaaappll","ILshDR",312,0,0,0,0,3,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,11478,0,143,1334,9,0
"ABalaaapplr","death",312,0,0,0,0,2,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,13319,0,0,671,9,0
"ABalaaappr",NA,226,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,8213,0,0,0,0,0
"ABalaaapprl","AVDR",300,0,0,0,0,3,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,8213,0,0,81,0,0
"ABalaaapprr","ILsoR",300,0,0,0,0,3,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,13018,0,842,0,0,0
"ABalaap",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,533,0,0,0,0,0
"ABalaapa",NA,137,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,4,4,4,2937,0,0,0,0,0
"ABalaapaa",NA,181,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,4,11270,0,0,0,0,0
"ABalaapaaa",NA,236,1,0,1,0,1,0,0,0,0,0,1,0,4,4,4,4,4,4,4,4,11901,0,0,0,0,0
"ABalaapaaal","death",334,0,1,0,1,2,1,1,0,0,0,0,1,2,4,2,4,0,4,0,4,11901,0,0,151,0,0
"ABalaapaaar","AINR",334,0,1,0,1,1,1,2,0,0,0,0,1,2,4,2,4,0,4,0,4,11901,0,945,0,0,0
"ABalaapaap",NA,236,1,0,1,0,0,0,1,0,1,0,0,0,4,4,4,4,4,4,4,4,11270,0,0,0,0,0
"ABalaapaapa","death",325,0,1,0,1,2,0,3,1,0,1,0,0,4,4,4,4,0,4,0,4,11270,0,287,0,0,0
"ABalaapaapp","ILshR",325,0,1,0,1,3,0,2,1,0,1,0,0,4,4,4,4,0,4,0,4,11270,0,0,0,0,0
"ABalaapap",NA,181,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,4,9456,0,0,0,0,0
"ABalaapapa","death",235,3,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,9456,17,0,0,45,15
"ABalaapapaa",NA,NA,0,3,0,0,0,1,0,0,0,0,0,0,NA,4,NA,4,0,0,0,4,NA,NA,NA,NA,NA,NA
"ABalaapapap",NA,NA,0,3,0,0,0,1,0,0,0,0,0,0,NA,4,NA,4,0,0,0,4,NA,NA,NA,NA,NA,NA
"ABalaapapp",NA,235,0,0,3,0,0,0,1,0,0,0,0,0,4,4,4,4,4,4,0,4,9456,0,0,1216,0,15
"ABalaapappa","death",309,0,0,0,3,4,0,4,1,0,0,0,0,4,4,4,4,0,4,0,0,9456,0,0,4610,0,15
"ABalaapappp","CEPsoVR",309,0,0,0,3,4,0,4,1,0,0,0,0,4,4,4,4,0,4,0,0,9456,0,0,6299,0,15
"ABalaapp",NA,137,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,3259,0,0,0,0,0
"ABalaappa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,2,9698,0,0,0,0,0
"ABalaappaa","death",230,1,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,0,3,3,4,9698,0,258,4,0,0
