"Cells","CellNames.Cells.","CellTimes.Cells.","X1","X2","X3","X4","X20221004_JIM712_ceh.32_L4","X20221004_JIM712_ceh.32_L2","X20220915_JIM712_ceh.32_L4","X20220923_JIM712_ceh.32_L4","X20220915_JIM712_ceh.32_L4.1","X20220923_JIM712_ceh.32_L4.1","X20221004_JIM712_ceh.32_L2.1","X20221004_JIM712_ceh.32_L4.1"
"AB",NA,3,0,0,0,0,0,0,0,0,0,0,0,0
"ABa",NA,19,0,0,0,0,0,0,0,0,0,0,0,0
"ABal",NA,43,0,0,0,0,0,0,0,0,0,0,0,0
"ABala",NA,56,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaa",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaa",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaal",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaala",NA,232,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaalal","AINL",330,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaaalar","death",330,NA,NA,NA,NA,0,0,0,0,1,0,0,NA
"ABalaaaalp",NA,232,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaalpa","death",325,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaaalpp","ILshL",325,NA,NA,NA,NA,0,0,0,0,1,1,0,1
"ABalaaaar",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaarl",NA,233,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaaaarla","death",314,NA,NA,NA,NA,0,0,0,1,1,1,0,1
"ABalaaaarlp","RMEL",314,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaaaarr",NA,233,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaaaarra","death",314,NA,NA,NA,NA,0,0,0,1,0,1,0,0
