"","WT_Mean","WT_SD","Mutant_Mean","Mutant_SD","pVals","peak.names.WT_Mean..","X20220915_JIM712_ceh.32_L4","X20220923_JIM712_ceh.32_L4","X20221004_JIM712_ceh.32_L2","X20221004_JIM712_ceh.32_L4"
"P4",0.936128048574269,0.0671758770113193,0.6274772758292,NA,NA,74,NA,NA,NA,0.6274772758292
"MSppppp",0.922677444664259,0.0761981345367053,0.908588462511339,0.058951846512599,0.694012532150038,408,0.86695290948085,0.95309615271137,0.84924133162981,0.965063456223327
"MSppppa",0.953553844356978,0.0993267336784422,0.977757798586256,0.00958664024435037,0.276571965388713,408,0.984954339316093,0.974356046189718,0.965732505169689,0.985988303669524
"MSpppp",0.978660284364265,0.0192779843372251,0.974966770046657,0.0133060009593194,0.654516874294515,408,0.971339937272225,0.981331569723985,0.958207267398291,0.988988305792125
"MSpppap",0.95021682450714,0.0509813717180909,0.957681756223494,0.0368357148099843,0.740342143534581,493,0.95809451471619,0.995687685732807,0.907747903964834,0.969196920480146
"MSpppaa",0.96418236529928,0.0310494767527368,0.964820643106109,0.0170160580157471,0.954363678603293,408,0.949785816330811,0.986587103355785,0.95290624641067,0.97000340632717
"MSpppa",0.958841588338311,0.0397987103154152,0.686903739497922,0.364251380216788,0.232250167238235,408,0.207905574677439,0.955220577958937,0.985131319844307,0.599357485511007
"MSppp",0.93230872845198,0.0776210273306656,0.507168026321203,0.50781463594294,0.192576137011462,408,0.781045410034552,-0.162146385602988,0.998528574606318,0.411244506246931
"MSppapp",0.90147746895057,0.0976092565775176,0.661179899810484,0.313719349509827,0.223164942033712,418,0.824751716132312,0.281493090677786,0.993947023944233,0.544527768487605
"MSppapa",0.968779492827923,0.0366645709960149,0.794979182725754,0.0784024976853032,0.0191217203707635,418,0.694738613782296,0.874751101943531,0.775050273666403,0.835376741510788
"MSppap",0.933841885782231,0.0655455286386368,0.325620594437273,0.28216748866085,0.0223809691808633,418,0.184076224959761,0.102641870024899,0.734446273484618,0.281318009279813
"MSppaap",0.900882734924934,0.105861498087373,0.527634482759131,0.392820232040482,0.153087903600886,418,0.144432587518314,0.234551361587577,0.893173012184281,0.838380969746353
"MSppaaa",0.923339196467731,0.0668533843823583,0.55641814641464,0.466010231836323,0.21337313436047,418,0.400858856134982,0.877574470049741,0.97881530608285,-0.0315760466090121
"MSppaa",0.942247715344571,0.0414182206088719,0.576033226069022,0.251843670543457,0.0617073475899705,418,0.229539286678132,0.640617204878319,0.602293067213932,0.831683345505705
"MSppa",0.928608859983972,0.0828103498900657,0.671066397303152,0.408587963589377,0.296856278494877,418,0.917969103484864,0.0613604298186556,0.818431608795681,0.886504447113406
"MSpp",0.979029326540754,0.0187989894139141,0.343501596019471,0.409794311057115,0.0531956096636279,141,0.174337281656811,0.143215753787532,0.95648853297809,0.0999648156554524
"MSpapppa",0.946850422904991,0.0544090459691316,0.507201026828844,0.398914901944525,0.114505617464422,503,0.139953047842897,0.192123000738924,0.920716181321127,0.77601187741243
"MSpappp",0.957815695749841,0.0416421186776758,0.617163327492493,0.401235493239724,0.188030425055847,503,0.877305280124145,0.575987465692218,0.949057332638443,0.0663032315151656
"MSpappa",0.965070476435187,0.0264666453915621,0.720019107762447,0.189406186594155,0.0809845055762438,653,0.960355626620507,0.502492143640854,0.74241041189795,0.674818248890476
"MSpapp",0.951105304394266,0.052834192079449,0.632550967611151,0.379954574575814,0.192114269050788,445,0.882237166016298,0.128902598420036,0.96549705812056,0.553567047887709
"MSpapapp",0.937214655753809,0.0653574923016613,0.871676717087538,0.101060710203757,0.288841266279137,568,0.988489176114782,0.862368314376242,0.743327626542883,0.892521751316246
"MSpapapa",0.9666455321264,0.027287303356421,0.757194085976208,0.121213141390303,0.040085622100736,568,0.581766825145584,0.851805228581557,0.774296970695695,0.820907319481994
"MSpapap",0.950892720050633,0.0698523357692655,0.777313392550377,0.178180121299072,0.145449252368072,568,0.936335419822201,0.583415198080023,0.920751036432053,0.668751915867231
"MSpapaap",0.838919718254031,0.188609210973604,0.586116836162196,0.550769892168212,0.633005913607131,522,0.196663710536669,NA,0.975569961787722,NA
"MSpapaaa",0.930954790115786,0.0873074557593149,0.763686697434857,0.159443376101191,0.124265493909989,522,0.869162742341093,0.930778052391895,0.621264599378139,0.633541395628302
"MSpapaa",0.926402756163792,0.0672043081809366,0.790349916081379,0.233540574339302,0.328997166943435,522,0.943602410481984,0.456954978176571,0.960294280853528,0.800547994813432
"MSpapa",0.951435733810175,0.0481621791006678,0.344526792496069,0.294301191256024,0.0255270693826089,445,0.442556909454872,0.626556314197117,0.376382477552006,-0.0673885312197189
"MSpap",0.920231375760186,0.0884976352759298,0.906232956786792,0.0663758307509881,0.7283751833142,445,0.965592621351878,0.954034741336725,0.82378283448705,0.881521629971516
"MSpaapap",0.916330583434413,0.0608197501079467,0.685113507826244,0.324518063355024,0.249480053632007,3843,0.949396985631892,0.407973586802341,0.982403366471602,0.400680092399143
"MSpaapaa",0.947859640021178,0.0379653369267,0.725972924945047,0.196720006908612,0.10892484135753,3785,0.850867551402156,0.621709909321644,0.927097427330217,0.504216811726169
"MSpaapa",0.928235207834363,0.0683785747598515,0.807369316694187,0.254652027335195,0.41358010753614,219,0.901450993150505,0.426974535594528,0.951907317500633,0.949144420531082
"MSpaap",0.859389928049027,0.0984859815995181,0.683677928263412,0.280075981259249,0.299380972029573,219,0.668537168980249,0.293282769482741,0.871274321390661,0.901617453199997
"MSpaaapp",0.892798256771291,0.133011152610126,0.62048590357536,0.429761828718615,0.295185589104485,206,0.85194344085445,-0.00565031050904531,0.941479819647131,0.694170664308906
"MSpaaapa",0.962961050095269,0.0315706011976738,0.96453405188975,0.0316368410804091,0.931326595628912,206,0.966932042691342,0.92221819482752,0.970182691549205,0.998803278490932
"MSpaaap",0.942142231346552,0.0504685755001624,0.927639804681432,0.0730101178225572,0.724902305570773,206,0.818452981369843,0.969224318216043,0.95617970406323,0.966702215076613
"MSpaaaap",0.905880104038824,0.102969705949808,0.604475551577024,0.17697849216343,0.0382440018115773,264,0.350956427780829,0.736556082098049,0.714557189244443,0.615832507184775
"MSpaaaaa",0.93895587450185,0.0652118665580624,0.861318865541768,0.179460838494612,0.452728462749672,264,0.976176693582149,0.599536794832635,0.980074683516844,0.889487290235443
"MSpaaaa",0.910419247241825,0.048352866086074,0.943877494623493,NA,NA,264,NA,NA,0.943877494623493,NA
"MSpaaa",0.975998174249683,0.0207963200804994,0.665993154971229,0.370385225703039,0.19272200159421,206,0.95499650949057,0.6429319774873,0.915211985645361,0.150832147261684
"MSpaa",0.899870987671752,0.10259626401222,0.976142145815368,0.0103607287919131,0.00250926001356344,206,0.972198786636931,0.966193962586325,0.975637071533509,0.990538762504707
"MSpa",0.8837679958269,0.190879375109708,0.560144544738918,0.30674706654946,0.204254185912233,44,0.71094143250599,0.207187121867992,0.762305079842773,NA
"MSp",0.948596749025639,0.037445864342248,0.923117048215992,0.0427977380818768,0.328842558825998,44,0.90759429741286,0.882765961194758,0.983185184517745,0.918922749738605
"MSapppp",0.942771784567226,0.0430144188640436,0.951312606116946,0.0414093422221106,0.724057138175318,169,0.960586156814563,0.981995443596627,0.972068360605438,0.890600463451156
"MSapppa",0.945079658846008,0.0569297014146012,0.861223859809457,0.215687076288684,0.494717837587732,123,0.972718564611954,0.538580711158234,0.986049593277611,0.94754657019003
"MSappp",0.893561233313458,0.153804832749955,0.633320724599095,0.544407000080173,0.4107441871837,112,0.778404689674019,0.958195660220651,-0.17267237721467,0.969354925716381
"MSappap",0.949987353717832,0.0460954360552597,0.949044795680396,0.0263465960688813,0.955878129594265,417,0.962245878423788,0.909529343005412,0.961718888990665,0.962685072301719
"MSappaa",0.967042417709881,0.0320214550410529,0.940562590053446,0.0403263599295997,0.286151435977461,276,0.884352898969115,0.97039420407482,0.969264363254045,0.938238893915804
"MSappa",0.96295144418891,0.0258980084247747,0.904712156674571,0.0753582185458634,0.219959231044915,188,0.791868234182621,0.940560969466227,0.948385212775698,0.938034210273738
"MSapp",0.93136038715371,0.0638053899015893,0.968885511746163,0.017967373947665,0.033103184106212,100,0.953123970966222,0.993947640819042,0.96916941596442,0.959301019234968
"MSapapp",0.906520740710384,0.145870920097819,0.840891214944898,0.184327879183318,0.53950007395541,233,0.888283702021404,0.921313944560369,0.983197176779864,0.570770036417954
"MSapapa",0.927066570699218,0.0545773226806862,0.898791920316763,0.0761632592739137,0.521135764065661,413,0.814104961190107,0.967760567302464,0.958373596667279,0.854928556107204
"MSapap",0.865513472281685,0.181616530945686,0.805374715655942,0.22072499967286,0.69388273144274,233,0.973657570672283,0.55546180081884,0.887004775476702,NA
"MSapaap",0.923746865474953,0.0794539840825834,0.794475989366994,0.368814791690659,0.534608263982249,181,0.984667945675253,0.970881325393267,0.981031666895601,0.241323019503855
"MSapaaa",0.960702130102963,0.0340507750610856,0.945007511882264,NA,NA,181,NA,NA,0.945007511882264,NA
"MSapaa",0.951946534742437,0.0558562095222282,0.804343841210333,0.169768646667609,0.180042729080434,181,0.932793274314235,0.662463062827318,0.968769005505856,0.653350022193924
"MSapa",0.922189931464983,0.0625466737608374,0.912343948799632,0.0569000022337817,0.768203628032955,100,0.932283458681314,0.843984989898394,0.978207472203098,0.894899874415723
