"","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"AB:17",NA,NA,NA,-0.5
"AB:18",NA,NA,NA,-0.5
"ABa:19",NA,NA,NA,-1.4
"ABa:20",NA,NA,NA,-1.4
"ABa:21",NA,NA,NA,-1.4
"ABa:22",NA,NA,NA,-4.6
"ABa:23",NA,NA,NA,-4.6
"ABa:24",NA,NA,NA,-4.6
"ABa:25",NA,NA,NA,-5.1
"ABa:26",NA,NA,NA,-5.1
"ABa:27",NA,NA,NA,-5.5
"ABa:28",NA,NA,NA,-5.5
"ABa:29",NA,NA,NA,-5.5
"ABa:30",NA,NA,NA,-6.7
"ABa:31",NA,NA,NA,-6.7
"ABa:32",NA,NA,NA,-10.8
"ABa:33",NA,NA,NA,-10.8
"ABa:34",NA,NA,NA,-10.8
"ABa:35",NA,NA,NA,-12.1
"ABa:36",NA,NA,NA,-12.1
"ABa:37",NA,NA,NA,-12.8
"ABa:38",NA,NA,NA,-12.8
"ABa:39",NA,NA,NA,-12.8
"ABa:40",NA,NA,NA,-10.5
"ABa:41",-17.7,-8.9,-21.3,-10.5
"ABa:42",-17.7,-8.9,-21.3,-9.4
"ABal:43",-18.8,-15.8,-21,-11
"ABal:44",-18.8,-15.8,-21,-11
"ABal:45",-18.8,-15.8,-21,-11.5
"ABal:46",-18.8,-16.9,-21,-11.7
"ABal:47",-18.8,-16.9,-21,-12.3
"ABal:48",-18.8,-16.9,-21,-12.3
"ABal:49",-18.3,-17.4,-20.5,-13.2
"ABal:50",-18.3,-17.4,-20.5,-14.5
"ABal:51",-18.3,-17.4,-20.5,-15.5
"ABal:52",-18.3,-17,-20.5,-15.5
"ABal:53",-18.3,-17,-20.5,-16.5
"ABal:54",-18.3,-17,-20.5,-15.9
"ABal:55",-16.4,-15.3,-18.5,-14.6
"ABala:56",-18.1,-16.3,-19.7,-15.1
"ABala:57",-18.1,-16.3,-19.7,-15.1
"ABala:58",-18.1,-17.1,-19.5,-16.1
"ABala:59",-18.4,-17.1,-19.5,-16.1
"ABala:60",-18.4,-17.3,-19.7,-16.5
"ABala:61",-18.4,-17.3,-19.7,-16.5
"ABala:62",-18.3,-17,-19.7,-15.8
"ABala:63",-18.3,-17,-19.7,-15.8
"ABala:64",-18.3,-16.5,-19.7,-15.7
"ABala:65",-18.1,-17,-19.5,-16
"ABala:66",-18.1,-17,-19.8,-16
"ABala:67",-18.1,-16.7,-19.8,-16.4
"ABala:68",-18.2,-16.7,-20.2,-16.4
"ABala:69",-18.2,-17,-20.2,-16.7
"ABala:70",-18.2,-17,-18.9,-16.7
"ABala:71",-16.7,-16.2,-18.1,-15.4
"ABala:72",-16.7,-16.2,-18.1,-15.4
"ABala:73",-16.7,-15.6,-17.4,-14.9
"ABala:74",-16.5,-13.9,-17.7,-14.5
"ABalaa:75",-17.2,-15.8,-18.7,-16.1
"ABalaa:76",-17.2,-15.8,-18.7,-16.1
"ABalaa:77",-17.2,-16.7,-19,-17.1
"ABalaa:78",-17.4,-16.7,-19,-17.1
"ABalaa:79",-17.4,-16.4,-19.4,-17.3
"ABalaa:80",-17.4,-16.4,-19.4,-17.3
"ABalaa:81",-16.9,-17.2,-19,-17.4
"ABalaa:82",-16.9,-16.6,-19,-17.1
"ABalaa:83",-16.9,-16.6,-17.7,-17.1
"ABalaa:84",-16.4,-16.4,-17.6,-16.8
"ABalaa:85",-16.4,-16.4,-17.6,-16.8
"ABalaa:86",-16.4,-15.6,-17.8,-16.5
"ABalaa:87",-17.2,-15.7,-17.8,-17.9
"ABalaa:88",-17.2,-15.7,-18.7,-17.9
"ABalaa:89",-17.2,-16.2,-18.7,-17.7
"ABalaa:90",-17.7,-16.2,-19,-17.7
"ABalaa:91",-17.7,-16.2,-19,-17.4
"ABalaa:92",-17.7,-16,-18.5,-17.9
"ABalaa:93",-17.5,-16,-17.9,-17.9
"ABalaa:94",-17.5,-15.7,-17.9,-18.3
"ABalaa:95",-17.5,-15.7,-18.1,-18.3
"ABalaa:96",-17.2,-16.1,-18.1,-18.6
"ABalaa:97",-17.2,-16.1,-18.3,-17.8
"ABalaa:98",-17.2,-16.1,-18.3,-17.8
"ABalaa:99",-17.4,-15.9,-18,-18
"ABalaa:100",-17.4,-15.9,-18,-18
"ABalaa:101",-17.4,-15.7,-17.9,-18.1
"ABalaa:102",-16.2,-15.3,-19.2,-17.3
"ABalaaa:103",-17.9,-16.6,-20,-18.5
"ABalaaa:104",-17.9,-16.6,-20,-18.5
"ABalaaa:105",-17.9,-16.5,-19.2,-19.4
"ABalaaa:106",-18.3,-16.5,-19.2,-19.4
"ABalaaa:107",-18.3,-17.1,-19.7,-20.7
"ABalaaa:108",-18.3,-17.3,-19.7,-20.7
"ABalaaa:109",-19.4,-17.3,-20.2,-20.3
"ABalaaa:110",-19.4,-17.7,-20.3,-20.4
"ABalaaa:111",-19.4,-17.7,-20.3,-20.4
"ABalaaa:112",-19.4,-17.5,-20.1,-20.2
"ABalaaa:113",-19.4,-17.6,-20.1,-20.2
"ABalaaa:114",-19.9,-17.6,-20.3,-19.9
"ABalaaa:115",-19.9,-17.5,-20.3,-19.9
"ABalaaa:116",-19.7,-17.5,-20.5,-20
"ABalaaa:117",-19.7,-17,-20.8,-19.3
"ABalaaa:118",-19.7,-17.2,-20.8,-19.3
"ABalaaa:119",-18.6,-17.2,-20.6,-19.6
"ABalaaa:120",-18.6,-17.3,-20.6,-19.6
"ABalaaa:121",-18.6,-17.3,-20.1,-19.8
"ABalaaa:122",-18.6,-17.5,-20.1,-19.8
"ABalaaa:123",-18.6,-17.3,-19.5,-19.9
"ABalaaa:124",-18.1,-17.3,-19.6,-20.1
"ABalaaa:125",-18.1,-17.5,-19.6,-20.1
"ABalaaa:126",-17.8,-17.5,-19.7,-19.7
"ABalaaa:127",-17.8,-17.4,-19.7,-19.7
"ABalaaa:128",-17.8,-17.6,-19.5,-19.8
"ABalaaa:129",-17.9,-17.6,-19.5,-19.8
"ABalaaa:130",-17.9,-17.3,-19.3,-19.3
"ABalaaa:131",-17.4,-17.3,-18.8,-19.2
"ABalaaa:132",-17.4,-17.2,-18.8,-19.2
"ABalaaa:133",-17.4,-17,-19.1,-19.2
"ABalaaa:134",-16.8,-17,-19.1,-19.2
"ABalaaa:135",-16.8,-16.9,-18.6,-18.8
"ABalaaa:136",-16.9,-16.8,-18.3,-18.3
"ABalaaaa:137",-16.8,-16.7,-18.3,-20.5
"ABalaaaa:138",-16.8,-16.7,-18.3,-20.5
"ABalaaaa:139",-16.8,-16.7,-19.4,-21.2
"ABalaaaa:140",-15.9,-16.7,-19.4,-21.2
"ABalaaaa:141",-15.9,-17.2,-19.3,-21.5
"ABalaaaa:142",-15.9,-17,-19.3,-21.5
"ABalaaaa:143",-16.2,-17,-19.8,-21.2
"ABalaaaa:144",-16.2,-16.7,-19.8,-21.2
"ABalaaaa:145",-16.2,-17.5,-19.9,-21.3
"ABalaaaa:146",-16,-17.5,-19.7,-20.8
"ABalaaaa:147",-16,-18.2,-19.7,-20.8
"ABalaaaa:148",-16.1,-18.6,-19.2,-20.4
"ABalaaaa:149",-16.1,-18.6,-19.2,-20.4
"ABalaaaa:150",-16.1,-18.3,-19.7,-20.5
"ABalaaaa:151",-16,-17.9,-19.7,-20.5
"ABalaaaa:152",-16,-17.9,-19.7,-20.5
"ABalaaaa:153",-16,-18.3,-19.7,-20.5
"ABalaaaa:154",-13.7,-18.5,-18.7,-19.7
"ABalaaaa:155",-13.7,-18.5,-18,-19.7
"ABalaaaa:156",-13.1,-18.4,-18,-19.7
"ABalaaaa:157",-13.1,-18.2,-17.4,-19.8
"ABalaaaa:158",-13.1,-18.2,-17.4,-19.8
"ABalaaaa:159",-13.8,-17.4,-16.3,-20.1
