"","x"
"AB",NA
"ABa",NA
"ABal",-173
"ABala",-151
"ABalaa",-111
"ABalaaa",-28
"ABalaaaa",-28
"ABalaaaal",-28
"ABalaaaala",-28
"ABalaaaalal",-28
"ABalaaaalar",-28
"ABalaaaalp",-28
"ABalaaaalpa",-28
"ABalaaaalpp",-28
"ABalaaaar",-24
"ABalaaaarl",8
"ABalaaaarla",8
"ABalaaaarlp",8
"ABalaaaarr",-24
"ABalaaaarra",-24
"ABalaaaarrp",-24
"ABalaaap",-28
"ABalaaapa",-13
"ABalaaapal",-13
"ABalaaapall",-13
"ABalaaapalr",-13
"ABalaaapar",-4
"ABalaaaparl",-4
"ABalaaaparr",-4
"ABalaaapp",-28
"ABalaaappl",-18
"ABalaaappll",-18
"ABalaaapplr",-18
"ABalaaappr",-28
"ABalaaapprl",-28
"ABalaaapprr",-28
"ABalaap",-111
"ABalaapa",-85
"ABalaapaa",-57
"ABalaapaaa",-57
"ABalaapaaal",-57
"ABalaapaaar",-57
"ABalaapaap",-16
"ABalaapaapa",-16
"ABalaapaapp",-16
"ABalaapap",-57
"ABalaapapa",17
"ABalaapapp",-57
"ABalaapappa",-57
"ABalaapappp",-57
"ABalaapp",-68
"ABalaappa",-3
"ABalaappaa",-3
"ABalaappap",-3
"ABalaappapa",-3
"ABalaappapp",-3
"ABalaappp",-52
"ABalaapppa",-8
"ABalaapppaa",-8
"ABalaapppap",-8
"ABalaapppp",-49
"ABalaappppa",-49
"ABalaappppaa",-49
"ABalaappppap",-49
"ABalaappppp",-49
"ABalap",-103
"ABalapa",-89
"ABalapaa",-37
"ABalapaaa",-37
"ABalapaaaa",-22
"ABalapaaaaa",-22
"ABalapaaaap",-22
"ABalapaaap",-37
"ABalapaaapa",-37
"ABalapaaapp",-37
"ABalapaap",-37
"ABalapaapa",-23
"ABalapaapaa",-23
"ABalapaapap",-23
"ABalapaapp",-37
"ABalapaappa",-37
"ABalapaappaa",-37
"ABalapaappap",-37
"ABalapaappp",-37
"ABalapap",-18
"ABalapapa",4
"ABalapapaa",4
"ABalapapap",4
"ABalapapapa",4
"ABalapapapaa",4
"ABalapapapap",4
"ABalapapapp",4
"ABalapapp",-18
"ABalapappa",-18
"ABalapappaa",-18
"ABalapappaaa",-18
"ABalapappaap",-18
"ABalapappap",-18
"ABalapappp",-18
"ABalapapppa",-18
"ABalapapppp",-18
"ABalapp",-89
"ABalappa",-52
"ABalappaa",-52
"ABalappaaa",2
"ABalappaap",-51
"ABalappaapa",-51
"ABalappaapp",-51
"ABalappap",3
"ABalappapa",3
"ABalappapaa",3
"ABalappapap",3
"ABalappapp",3
"ABalappappa",3
"ABalappappp",3
"ABalappp",-89
"ABalapppa",-60
"ABalapppaa",-47
"ABalapppaaa",-47
"ABalapppaap",-47
"ABalapppap",-60
"ABalapppapa",-60
"ABalapppapaa",-60
"ABalapppapap",-60
"ABalapppapp",-60
"ABalapppp",-29
"ABalappppa",-19
"ABalappppaa",-19
"ABalappppaaa",-19
"ABalappppaap",-19
"ABalappppap",-19
"ABalappppp",-12
"ABalapppppa",-12
"ABalapppppp",-12
"ABalp",-173
"ABalpa",-173
"ABalpaa",-146
"ABalpaaa",-69
"ABalpaaaa",-69
"ABalpaaaaa",-69
"ABalpaaaaaa",-63
"ABalpaaaaap",-39
"ABalpaaaap",-69
"ABalpaaaapa",1
"ABalpaaaapp",-69
"ABalpaaap",-69
"ABalpaaapa",136
"ABalpaaapaa",303
"ABalpaaapap",193
"ABalpaaapp",268
"ABalpaaappa",1191
"ABalpaaappp",341
"ABalpaap",-146
"ABalpaapa",-132
"ABalpaapaa",212
"ABalpaapaaa",212
"ABalpaapaap",251
"ABalpaapap",25
"ABalpaapapa",364
"ABalpaapapp",353
"ABalpaapp",-108
"ABalpaappa",-85
"ABalpaappaa",-16
"ABalpaappap",-85
"ABalpaappp",-108
"ABalpaapppa",-44
"ABalpaapppp",-88
"ABalpap",-173
"ABalpapa",-136
"ABalpapaa",-136
"ABalpapaaa",-118
"ABalpapaaaa",-91
"ABalpapaaap",-118
"ABalpapaap",-136
"ABalpapaapa",-63
"ABalpapaapp",251
"ABalpapap",-136
"ABalpapapa",1732
"ABalpapapaa",1784
"ABalpapapap",2235
"ABalpapapapa",2235
"ABalpapapapp",2235
"ABalpapapp",2007
"ABalpapappa",3056
"ABalpapappp",3638
"ABalpapp",-148
"ABalpappa",234
"ABalpappaa",864
"ABalpappaaa",864
"ABalpappaap",864
"ABalpappaapa",864
"ABalpappaapp",864
"ABalpappap",918
"ABalpappapa",2621
"ABalpappapp",2395
"ABalpappp",162
"ABalpapppa",2480
"ABalpapppaa",2480
"ABalpapppap",2480
"ABalpapppp",2750
"ABalpappppa",4326
"ABalpappppp",3923
"ABalpp",-166
"ABalppa",-127
"ABalppaa",-87
"ABalppaaa",-54
