cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:2,ABa,2,32271,7271,2256,2256,7271,12.8,170,267,62,86592
ABal:8,ABal,8,31986,6986,2958,2957,6981,11.7,122,285,71,513660
ABala:22,ABala,22,31996,6996,2416,2373,6945,15.6,99,218,49,188115
ABalaa:39,ABalaa,39,31208,6208,1788,1786,6203,19.5,85,232,42,236183
ABalaaa:63,ABalaaa,63,33160,8160,2916,2845,8010,16.8,76,217,34,138454
ABalaaaa:94,ABalaaaa,94,40753,15753,8906,9319,14681,18.5,88,238,40,239958
ABalaaaal:133,ABalaaaal,133,59521,34521,23504,24069,29849,15.0,81,296,33,216137
ABalaaaala:177,ABalaaaala,177,61241,36241,22190,24413,22695,15.2,78,301,31,207539
ABalaaaalp:177,ABalaaaalp,177,57359,32359,19635,21880,23498,17.1,102,340,32,212257
ABalaaaar:133,ABalaaaar,133,61628,36628,23957,24408,31389,16.8,62,234,33,222572
ABalaaaarl:179,ABalaaaarl,179,60809,35809,21649,24524,18499,15.6,57,257,31,208315
ABalaaaarr:179,ABalaaaarr,179,57477,32477,18687,20582,23243,17.3,77,198,32,207426
ABalaaap:94,ABalaaap,94,39856,14856,8537,9114,13801,14.3,98,202,43,270063
ABalaaapa:129,ABalaaapa,129,56885,31885,22433,22652,29451,12.5,65,247,33,199785
ABalaaapal:173,ABalaaapal,173,58652,33652,21378,23806,23804,12.6,67,300,31,184650
ABalaaapar:173,ABalaaapar,173,56203,31203,19085,22328,22483,12.7,56,258,31,188106
ABalaaapp:129,ABalaaapp,129,55424,30424,20441,21001,26920,10.7,91,201,33,191402
ABalaaappl:175,ABalaaappl,175,57674,32674,21461,23291,26395,13.0,58,228,30,186500
ABalaaappr:175,ABalaaappr,175,59378,34378,20810,23432,21808,13.6,88,184,32,211521
ABalaap:63,ABalaap,63,30721,5721,1812,1827,5716,19.3,122,276,45,244630
ABalaapa:92,ABalaapa,92,36526,11526,5662,6146,10965,15.7,137,231,40,220694
ABalaapaa:129,ABalaapaa,129,52891,27891,16790,17745,21099,14.9,98,178,33,227900
ABalaapaaa:178,ABalaapaaa,178,51864,26864,13013,15386,14673,18.7,90,176,31,224733
ABalaapaap:178,ABalaapaap,178,46374,21374,10675,11594,15630,19.7,141,154,32,200239
ABalaapap:129,ABalaapap,129,49702,24702,15414,15922,21733,14.7,134,150,33,210221
ABalaapapa:177,ABalaapapa,177,40744,15744,6398,7444,8842,20.9,157,137,31,201428
ABalaapapp:177,ABalaapapp,177,50441,25441,15798,16431,21500,16.7,161,126,33,205883
ABalaapp:92,ABalaapp,92,35171,10171,5326,5333,9973,14.5,202,267,39,176583
ABalaappa:125,ABalaappa,125,46617,21617,11435,13031,14996,12.0,122,187,33,204044
ABalaappaa:174,ABalaappaa,174,44582,19582,7453,10395,8679,15.6,89,159,30,210688
ABalaappap:174,ABalaappap,174,50392,25392,13092,15050,15914,13.6,123,160,32,201202
ABalaappp:125,ABalaappp,125,45095,20095,11930,12351,17371,9.7,158,199,33,162317
ABalaapppa:167,ABalaapppa,167,48748,23748,14552,16580,17547,10.7,94,170,31,175379
ABalaapppp:167,ABalaapppp,167,48597,23597,14122,15382,18618,10.0,136,153,31,158599
ABalap:39,ABalap,39,32610,7610,2606,2606,7610,12.8,124,171,43,258798
ABalapa:64,ABalapa,64,32862,7862,3816,3846,7841,13.5,130,153,47,322979
ABalapaa:92,ABalapaa,92,36386,11386,6488,6699,11172,11.4,101,184,42,242865
ABalapaaa:126,ABalapaaa,126,44317,19317,11119,12066,15152,10.6,86,287,33,202003
ABalapaaaa:175,ABalapaaaa,175,42234,17234,9233,11014,9118,9.7,68,282,29,175490
ABalapaaap:175,ABalapaaap,175,42703,17703,9374,10591,13316,8.3,97,307,30,161628
ABalapaap:126,ABalapaap,126,44121,19121,10437,11135,16216,9.1,111,301,33,178252
ABalapaapa:169,ABalapaapa,169,45199,20199,10111,12274,12731,11.7,80,325,30,184944
ABalapaapp:169,ABalapaapp,169,44867,19867,10624,11464,15495,10.5,116,343,32,167147
ABalapap:92,ABalapap,92,35873,10873,5435,5598,10580,8.9,156,174,40,199388
ABalapapa:123,ABalapapa,123,41988,16988,8925,9604,14211,7.8,132,294,33,176338
ABalapapaa:173,ABalapapaa,173,36465,11465,4240,5040,7288,7.1,105,264,29,162612
ABalapapap:173,ABalapapap,173,43280,18280,8134,9884,12085,7.8,129,309,32,167166
ABalapapp:123,ABalapapp,123,43560,18560,10312,10692,15141,8.7,185,305,34,169967
ABalapappa:167,ABalapappa,167,44762,19762,9789,10775,12526,9.8,152,323,32,180456
ABalapappp:167,ABalapappp,167,42656,17656,8085,8866,11127,8.8,200,323,30,145867
ABalapp:64,ABalapp,64,31232,6232,2148,2173,6160,14.2,172,219,46,258086
ABalappa:92,ABalappa,92,35853,10853,5159,5646,9793,11.3,144,199,40,219776
ABalappaa:131,ABalappaa,131,41463,16463,9608,10122,14116,8.6,92,246,32,194904
ABalappaaa:186,ABalappaaa,186,37015,12015,1010,4998,-1761,11.3,66,235,29,150632
ABalappaap:186,ABalappaap,186,38783,13783,6022,6328,11164,8.1,92,234,29,126527
ABalappap:131,ABalappap,131,43647,18647,10264,11080,14850,8.5,129,229,32,167778
ABalappapa:172,ABalappapa,172,43785,18785,9388,11132,11264,10.4,80,207,30,175227
ABalappapp:172,ABalappapp,172,42077,17077,8759,10031,12930,7.9,102,202,32,162981
ABalappp:92,ABalappp,92,35763,10763,5248,5514,9992,11.3,224,195,41,212574
ABalapppa:124,ABalapppa,124,41842,16842,8966,9326,14365,8.5,173,214,34,160905
ABalapppaa:166,ABalapppaa,166,40433,15433,6590,7802,11600,7.5,130,196,31,156684
ABalapppap:166,ABalapppap,166,41386,16386,7160,8224,12140,7.0,165,218,32,150164
ABalapppp:124,ABalapppp,124,41102,16102,8406,8719,14421,8.1,242,197,34,158673
ABalappppa:167,ABalappppa,167,42832,17832,8775,9911,11597,9.3,165,174,32,171500
ABalappppp:167,ABalappppp,167,40800,15800,6077,6982,9195,7.2,234,163,30,128403
ABalp:22,ABalp,22,31897,6897,2612,2604,6873,15.6,128,336,55,358192
ABalpa:39,ABalpa,39,31994,6994,1771,1771,6993,14.7,103,331,40,192642
ABalpaa:62,ABalpaa,62,33207,8207,3848,3849,8207,10.6,86,276,47,295207
ABalpaaa:88,ABalpaaa,88,37108,12108,6477,6846,11297,18.3,75,279,42,237661
ABalpaaaa:125,ABalpaaaa,125,41935,16935,7541,7608,14993,22.1,101,241,34,187570
