cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,5912,-19088,0,0,5912,37.0,166,300,72,683913
ABal:2,ABal,2,6026,-18973,-131,-131,6026,34.5,141,306,78,2018054
ABala:9,ABala,9,6226,-18773,-128,-129,6226,40.7,128,243,65,1293905
ABalaa:21,ABalaa,21,6454,-18545,-99,-99,6454,44.7,112,239,57,975076
ABalaaa:37,ABalaaa,37,6666,-18333,-64,-65,6666,39.3,113,232,48,606715
ABalaaaa:57,ABalaaaa,57,6478,-18521,-101,-100,6478,41.3,107,254,42,397231
ABalaaaal:85,ABalaaaal,85,6301,-18698,-102,-97,6301,40.2,112,307,35,401540
ABalaaaala:118,ABalaaaala,118,6358,-18641,-54,-52,6358,47.8,120,321,32,543538
ABalaaaalal:179,ABalaaaalal,179,6531,-18468,-34,-22,6531,48.5,140,328,27,384946
ABalaaaalar:179,ABalaaaalar,179,6647,-18352,-121,-133,6647,46.1,126,303,27,214086
ABalaaaalp:118,ABalaaaalp,118,6369,-18630,-32,-28,6369,50.6,146,349,33,569532
ABalaaaalpa:175,ABalaaaalpa,175,6451,-18548,-45,-19,6451,52.3,123,321,30,484221
ABalaaaalpp:175,ABalaaaalpp,175,6439,-18560,-11,11,6439,56.5,148,341,27,350028
ABalaaaar:85,ABalaaaar,85,6454,-18545,-224,-100,6454,40.2,99,248,36,480375
ABalaaaarl:118,ABalaaaarl,118,6515,-18484,-240,-100,6515,43.7,103,279,31,456783
ABalaaaarla:172,ABalaaaarla,172,6483,-18516,-98,-27,6483,46.8,108,306,31,560494
ABalaaaarlp:172,ABalaaaarlp,172,7191,-17808,-130,162,7191,45.7,112,273,28,406370
ABalaaaarr:118,ABalaaaarr,118,6872,-18127,-144,38,6872,46.4,116,234,32,457846
ABalaaaarra:169,ABalaaaarra,169,6501,-18498,-144,-27,6501,51.9,111,231,30,441442
ABalaaaarrp:169,ABalaaaarrp,169,7169,-17830,-173,-48,7169,47.1,116,255,29,406570
ABalaaap:57,ABalaaap,57,6481,-18518,-99,-101,6481,33.6,144,228,42,345712
ABalaaapa:81,ABalaaapa,81,6320,-18679,-82,-71,6320,32.6,100,267,37,433113
ABalaaapal:112,ABalaaapal,112,6309,-18690,-81,-82,6309,39.3,105,313,33,508323
ABalaaapall:160,ABalaaapall,160,6387,-18612,-55,-47,6387,45.6,131,348,30,491519
ABalaaapalr:160,ABalaaapalr,160,6953,-18046,-15,68,6953,42.4,116,316,32,552582
ABalaaapar:112,ABalaaapar,112,6456,-18543,-180,-109,6456,34.5,98,274,32,478224
ABalaaaparl:169,ABalaaaparl,169,8399,-16600,285,871,8399,38.3,103,309,30,472366
ABalaaaparr:169,ABalaaaparr,169,7519,-17480,-332,412,7519,39.0,100,283,29,429980
ABalaaapp:81,ABalaaapp,81,6395,-18604,-92,-75,6395,27.9,125,219,38,439588
ABalaaappl:112,ABalaaappl,112,6795,-18204,-287,-98,6795,36.4,104,232,33,530302
ABalaaappll:169,ABalaaappll,169,9320,-15679,493,1334,9320,40.3,105,252,32,625440
ABalaaapplr:169,ABalaaapplr,169,8293,-16706,98,671,8293,43.2,102,226,30,453136
ABalaaappr:112,ABalaaappr,112,6402,-18597,-64,-77,6402,40.4,124,194,32,470866
ABalaaapprl:158,ABalaaapprl,158,7212,-17787,-93,81,7212,45.8,121,218,33,732317
ABalaaapprr:158,ABalaaapprr,158,6478,-18521,-46,-26,6478,50.5,137,201,32,634412
ABalaap:37,ABalaap,37,6676,-18323,-99,-99,6676,47.9,149,271,47,561733
ABalaapa:57,ABalaapa,57,6518,-18481,-88,-84,6518,40.4,174,232,40,311711
