cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
AB:1,AB,1,25840,840,-758,-758,25840,16.8,270,258,66,276
ABa:5,ABa,5,26247,1247,-707,-707,26247,18.0,185,252,63,335
ABal:14,ABal,14,26362,1362,-1187,-1186,26362,15.7,141,279,58,361
ABala:25,ABala,25,26440,1440,-1335,-1335,26440,19.6,108,227,54,291
ABalaa:37,ABalaa,37,26755,1755,-963,-963,26755,23.0,101,248,48,261
ABalaaa:54,ABalaaa,54,26692,1692,-1124,-1124,26692,20.2,94,233,40,205
ABalaaaa:75,ABalaaaa,75,27075,2075,-688,-697,27075,22.2,108,235,35,198
ABalaaaal:105,ABalaaaal,105,27429,2429,-220,-223,27429,19.9,112,295,30,202
ABalaaaala:143,ABalaaaala,143,27829,2829,242,231,27829,23.5,112,305,26,172
ABalaaaalp:143,ABalaaaalp,143,27299,2299,-416,-435,27299,23.6,132,336,27,168
ABalaaaar:105,ABalaaaar,105,27360,2360,-330,-340,27360,22.1,92,255,30,140
ABalaaaarl:144,ABalaaaarl,144,27209,2209,-399,-438,27209,23.0,93,279,27,222
ABalaaaarr:144,ABalaaaarr,144,27594,2594,-91,-89,27594,23.6,111,221,27,212
ABalaaap:75,ABalaaap,75,27091,2091,-1118,-1138,27091,17.6,126,215,35,199
ABalaaapa:102,ABalaaapa,102,27271,2271,-436,-443,27271,17.6,96,253,30,170
ABalaaapal:141,ABalaaapal,141,27563,2563,-198,-209,27563,20.0,106,307,27,201
ABalaaapar:141,ABalaaapar,141,27419,2419,-33,-65,27419,19.3,85,262,27,228
ABalaaapp:102,ABalaaapp,102,27522,2522,-480,-485,27522,17.3,117,201,30,161
ABalaaappl:138,ABalaaappl,138,27357,2357,-117,-128,27357,19.4,95,227,26,173
ABalaaappr:138,ABalaaappr,138,27671,2671,75,57,27671,21.4,122,194,27,142
ABalaap:54,ABalaap,54,26918,1918,-929,-929,26918,24.7,160,267,42,277
ABalaapa:76,ABalaapa,76,27088,2088,-945,-953,27088,20.0,159,205,35,200
ABalaapaa:107,ABalaapaa,107,27231,2231,-464,-466,27231,22.6,129,187,31,179
ABalaapaaa:150,ABalaapaaa,150,27514,2514,16,7,27514,26.4,145,195,27,167
ABalaapaap:150,ABalaapaap,150,27741,2741,-176,-164,27741,27.0,187,168,27,206
ABalaapap:107,ABalaapap,107,27305,2305,-385,-384,27305,21.6,166,162,30,186
ABalaapapa:148,ABalaapapa,148,27791,2791,189,195,27791,26.8,204,153,25,139
ABalaapapp:148,ABalaapapp,148,27601,2601,-336,-316,27601,24.1,210,137,28,199
ABalaapp:76,ABalaapp,76,27282,2282,-1072,-1079,27282,19.1,222,211,35,214
ABalaappa:104,ABalaappa,104,27480,2480,-490,-495,27480,17.2,150,171,29,148
ABalaappaa:147,ABalaappaa,147,27005,2005,-148,-97,27005,23.9,138,175,25,191
ABalaappap:147,ABalaappap,147,27472,2472,-487,-451,27472,22.2,163,164,27,167
ABalaappp:104,ABalaappp,104,27678,2678,-762,-756,27678,14.8,188,170,30,173
ABalaapppa:140,ABalaapppa,140,27673,2673,125,129,27673,18.4,136,174,27,179
ABalaapppp:140,ABalaapppp,140,27329,2329,-974,-948,27329,16.6,170,167,28,207
ABalap:37,ABalap,37,26602,1602,-1861,-1861,26602,15.7,142,207,47,321
ABalapa:53,ABalapa,53,28518,3518,-222,-222,28518,16.6,138,186,40,207
ABalapaa:73,ABalapaa,73,33318,8318,3089,3081,33318,14.5,141,198,34,248
ABalapaaa:101,ABalapaaa,101,30579,5579,1789,1808,30579,14.7,132,279,28,180
ABalapaaaa:144,ABalapaaaa,144,27954,2954,309,341,27954,17.3,105,293,25,190
