cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,7905,-17095,-178,-177,7905,40.6,192,336,75,906729
ABal:4,ABal,4,7826,-17174,-171,-171,7826,40.8,159,277,67,747456
ABala:14,ABala,14,8048,-16951,-111,-111,8048,28.6,138,328,62,768777
ABalaa:26,ABalaa,26,8123,-16876,-131,-131,8123,22.4,130,320,58,666271
ABalaaa:43,ABalaaa,43,8340,-16659,-88,-88,8340,32.5,131,385,48,396197
ABalaaaa:64,ABalaaaa,64,8106,-16894,-56,-54,8106,34.5,128,364,41,284063
ABalaaaal:92,ABalaaaal,92,7971,-17028,-66,-68,7971,36.1,119,286,36,391821
ABalaaaala:123,ABalaaaala,123,7232,-17767,-24,-23,7232,24.8,132,254,32,321127
ABalaaaalal:178,ABalaaaalal,178,6866,-18133,-71,-98,6866,37.4,173,247,26,203738
ABalaaaalar:178,ABalaaaalar,178,6988,-18011,-2,-20,6988,39.3,156,256,25,206770
ABalaaaalp:123,ABalaaaalp,123,7221,-17778,-1,-6,7221,22.2,160,221,32,326083
ABalaaaalpa:178,ABalaaaalpa,178,6873,-18126,4,0,6873,33.9,167,209,26,191628
ABalaaaalpp:178,ABalaaaalpp,178,6860,-18139,-40,-37,6860,28.9,170,218,27,234249
ABalaaaar:92,ABalaaaar,92,7988,-17011,3,-1,7988,34.9,104,348,36,406216
ABalaaaarl:126,ABalaaaarl,126,7301,-17698,31,30,7301,31.6,116,293,30,255156
ABalaaaarla:173,ABalaaaarla,173,6894,-18105,5,29,6894,32.8,138,256,27,239978
ABalaaaarlp:173,ABalaaaarlp,173,6835,-18164,-62,-70,6835,36.8,154,284,27,219117
ABalaaaarr:126,ABalaaaarr,126,7225,-17774,-8,-5,7225,30.2,133,360,30,262962
ABalaaaarra:173,ABalaaaarra,173,6857,-18142,-6,-7,6857,24.0,137,314,28,242268
ABalaaaarrp:173,ABalaaaarrp,173,6800,-18199,-76,-89,6800,29.6,150,314,27,216707
ABalaaap:64,ABalaaap,64,8126,-16874,-76,-79,8126,45.6,166,386,42,240273
ABalaaapa:89,ABalaaapa,89,8118,-16881,61,60,8118,44.1,112,327,34,306955
ABalaaapal:122,ABalaaapal,122,7344,-17655,-12,-15,7344,34.5,124,256,32,283783
ABalaaapall:165,ABalaaapall,165,6906,-18093,0,-16,6906,32.8,164,196,29,216438
ABalaaapalr:165,ABalaaapalr,165,7015,-17984,-28,-12,7015,41.8,172,247,30,118606
ABalaaapar:122,ABalaaapar,122,7260,-17739,-41,-42,7260,40.0,112,300,30,242688
ABalaaaparl:169,ABalaaaparl,169,6976,-18023,43,47,6976,35.9,125,255,27,235628
ABalaaaparr:169,ABalaaaparr,169,6905,-18094,-6,-15,6905,37.0,131,279,26,210560
ABalaaapp:89,ABalaaapp,89,8007,-16992,-48,-48,8007,46.6,144,382,36,331309
ABalaaappl:121,ABalaaappl,121,7278,-17721,-18,-19,7278,40.0,121,352,30,245903
ABalaaappll:171,ABalaaappll,171,6892,-18107,-4,-15,6892,30.8,124,314,28,261458
ABalaaapplr:171,ABalaaapplr,171,6889,-18110,-4,-2,6889,30.2,118,331,28,269141
ABalaaappr:121,ABalaaappr,121,7278,-17721,-45,-45,7278,36.8,148,392,32,255473
ABalaaapprl:165,ABalaaapprl,165,6870,-18129,-62,-62,6870,30.8,158,374,28,254289
ABalaaapprr:165,ABalaaapprr,165,6911,-18088,-22,-26,6911,23.2,154,350,28,307191
ABalaap:43,ABalaap,43,8278,-16721,-90,-90,8278,25.0,179,330,48,339095
ABalaapa:64,ABalaapa,64,8067,-16933,-80,-80,8067,38.0,190,383,42,273748
ABalaapaa:93,ABalaapaa,93,7937,-17062,4,4,7937,36.2,154,418,36,407849
ABalaapaaa:127,ABalaapaaa,127,7181,-17818,12,12,7181,25.9,154,384,31,313857
ABalaapaaal:184,ABalaapaaal,184,6894,-18105,-16,-16,6894,29.9,141,342,25,213323
ABalaapaaar:184,ABalaapaaar,184,6847,-18152,-35,-52,6847,29.7,165,352,27,193621
ABalaapaap:127,ABalaapaap,127,7187,-17812,7,5,7187,21.0,184,403,32,356410
ABalaapaapa:181,ABalaapaapa,181,6897,-18102,-15,-7,6897,20.3,158,340,26,232643
ABalaapaapp:181,ABalaapaapp,181,6874,-18125,-28,-22,6874,20.2,165,325,26,220497
ABalaapap:93,ABalaapap,93,7945,-17054,0,2,7945,40.8,193,439,35,337267
ABalaapapa:127,ABalaapapa,127,7249,-17750,40,39,7249,25.3,219,429,30,299199
ABalaapapp:127,ABalaapapp,127,7150,-17849,-54,-51,7150,25.8,235,438,33,324170
ABalaapappa:172,ABalaapappa,172,6922,-18077,-10,-21,6922,21.1,217,311,29,73135
ABalaapappp:172,ABalaapappp,172,6829,-18170,-28,-48,6829,18.1,240,340,28,195065
ABalaapp:64,ABalaapp,64,8117,-16882,-73,-74,8117,41.8,258,363,42,216266
ABalaappa:88,ABalaappa,88,8044,-16955,13,11,8044,49.3,181,410,36,314759
ABalaappaa:121,ABalaappaa,121,7311,-17688,11,21,7311,32.0,162,422,29,241261
ABalaappap:121,ABalaappap,121,7292,-17707,-48,-50,7292,33.0,187,413,32,251258
ABalaappapa:164,ABalaappapa,164,6948,-18051,51,58,6948,20.2,182,375,31,295826
ABalaappapp:164,ABalaappapp,164,6928,-18071,-16,-27,6928,17.0,179,354,32,341523
ABalaappp:88,ABalaappp,88,8003,-16996,-84,-82,8003,51.2,225,411,35,255218
ABalaapppa:118,ABalaapppa,118,7326,-17673,2,-10,7326,38.0,184,397,31,270324
ABalaapppaa:177,ABalaapppaa,177,6891,-18108,-13,-38,6891,24.6,208,373,28,282498
ABalaapppap:177,ABalaapppap,177,6845,-18154,-74,-86,6845,26.8,187,410,23,190125
ABalaapppp:118,ABalaapppp,118,7369,-17630,-16,-12,7369,45.8,192,418,34,252192
ABalaappppa:160,ABalaappppa,160,6855,-18144,-92,-105,6855,30.2,170,384,31,199046
ABalaappppaa:230,ABalaappppaa,230,6732,-18267,-176,-187,6732,23.3,177,295,20,108123
ABalaappppap:230,ABalaappppap,230,6621,-18378,-209,-211,6621,24.9,194,333,22,95004
ABalaappppp:160,ABalaappppp,160,6943,-18056,-17,-45,6943,32.0,162,376,30,319506
ABalap:26,ABalap,26,8162,-16837,-199,-199,8162,42.6,150,343,54,483724
ABalapa:43,ABalapa,43,8339,-16660,-160,-160,8339,48.5,173,394,47,318328
ABalapaa:63,ABalapaa,63,8184,-16815,-46,-45,8184,51.4,151,337,42,227462
ABalapaaa:88,ABalapaaa,88,8061,-16938,-51,-51,8061,47.1,138,288,34,269228
ABalapaaaa:122,ABalapaaaa,122,7244,-17755,-42,-52,7244,42.3,135,253,30,277185
ABalapaaaaa:193,ABalapaaaaa,193,8213,-16786,934,902,8213,51.8,199,260,27,164348
ABalapaaaap:193,ABalapaaaap,193,8024,-16975,697,672,8024,53.0,219,240,25,167540
ABalapaaap:122,ABalapaaap,122,7307,-17692,-57,-61,7307,46.4,144,244,32,228276
ABalapaaapa:167,ABalapaaapa,167,6945,-18054,-38,-57,6945,44.9,150,251,29,208649
ABalapaaapp:167,ABalapaaapp,167,6888,-18111,-43,-43,6888,46.6,153,226,28,223081
ABalapaap:88,ABalapaap,88,8023,-16977,-78,-77,8023,43.4,143,240,36,306431
ABalapaapa:120,ABalapaapa,120,7290,-17709,-39,-42,7290,36.3,157,231,30,253484
ABalapaapaa:177,ABalapaapaa,177,6830,-18169,-57,-91,6830,37.9,223,197,26,223904
ABalapaapap:177,ABalapaapap,177,6977,-18022,-22,-16,6977,36.2,184,192,23,163821
ABalapaapp:120,ABalapaapp,120,7343,-17656,-73,-76,7343,41.9,159,213,33,257763
ABalapaappa:161,ABalapaappa,161,6974,-18025,-41,-50,6974,36.9,178,222,30,273895
ABalapaappaa:232,ABalapaappaa,232,6784,-18215,-93,-79,6784,46.2,200,225,22,104070
ABalapaappap:232,ABalapaappap,232,6687,-18312,-239,-316,6687,51.4,221,249,22,97631
ABalapaappp:161,ABalapaappp,161,6943,-18056,-22,-37,6943,38.6,169,216,28,233687
ABalapap:63,ABalapap,63,8228,-16771,-29,-34,8228,53.8,213,350,41,205153
ABalapapa:87,ABalapapa,87,8057,-16942,-79,-86,8057,48.8,172,263,34,246725
ABalapapaa:120,ABalapapaa,120,7336,-17663,-28,-40,7336,48.7,161,317,27,202427
ABalapapap:120,ABalapapap,120,7475,-17524,-34,-45,7475,52.5,167,269,32,172690
ABalapapapa:160,ABalapapapa,160,6913,-18086,-87,-105,6913,50.8,151,301,28,131408
ABalapapapaa:220,ABalapapapaa,220,6795,-18204,-28,-47,6795,49.6,151,357,28,213533
ABalapapapap:220,ABalapapapap,220,6752,-18247,-148,-179,6752,53.9,180,365,27,154591
ABalapapapp:160,ABalapapapp,160,6986,-18013,-14,-30,6986,51.5,164,294,27,182667
ABalapapp:87,ABalapapp,87,8051,-16948,-78,-81,8051,48.4,235,241,36,249173
ABalapappa:117,ABalapappa,117,7417,-17582,-140,-153,7417,47.8,190,228,34,210542
ABalapappaa:154,ABalapappaa,154,6941,-18058,-78,-96,6941,42.2,146,268,28,168869
ABalapappaaa:229,ABalapappaaa,229,6730,-18269,-137,-143,6730,46.6,161,292,25,31359
ABalapappaap:229,ABalapappaap,229,6881,-18118,47,59,6881,51.9,189,306,22,67143
ABalapappap:154,ABalapappap,154,6989,-18010,-28,-57,6989,45.5,150,266,28,203333
ABalapappp:117,ABalapappp,117,7465,-17534,-8,-9,7465,53.9,226,221,30,158205
ABalapapppa:164,ABalapapppa,164,6959,-18040,-25,-25,6959,48.7,179,221,28,262688
ABalapapppp:164,ABalapapppp,164,6920,-18079,-44,-59,6920,52.0,164,244,27,186157
ABalapp:43,ABalapp,43,8275,-16724,-149,-149,8275,38.7,217,327,48,294230
ABalappa:63,ABalappa,63,8121,-16878,-101,-103,8121,47.3,216,347,39,211979
ABalappaa:90,ABalappaa,90,7924,-17075,-78,-73,7924,50.7,138,335,33,261063
ABalappaaa:128,ABalappaaa,128,7281,-17719,-56,-56,7281,45.3,113,321,28,209648
ABalappaap:128,ABalappaap,128,7156,-17843,-41,-52,7156,47.6,129,308,32,281929
ABalappaapa:189,ABalappaapa,189,6884,-18115,-32,-60,6884,44.3,134,322,26,146305
ABalappaapp:189,ABalappaapp,189,6927,-18072,-28,-75,6927,47.9,131,324,27,77309
ABalappap:90,ABalappap,90,8058,-16941,-58,-64,8058,51.3,177,346,35,264811
ABalappapa:120,ABalappapa,120,7279,-17720,0,-15,7279,42.2,143,381,31,284504
ABalappapaa:189,ABalappapaa,189,7364,-17635,363,352,7364,35.0,186,395,28,251792
ABalappapap:189,ABalappapap,189,6957,-18042,41,25,6957,37.4,176,418,27,203805
ABalappapp:120,ABalappapp,120,7350,-17649,-33,-30,7350,49.0,160,402,32,205853
ABalappappa:161,ABalappappa,161,6917,-18082,-21,-25,6917,34.7,142,381,30,288934
ABalappappp:161,ABalappappp,161,6937,-18062,0,-13,6937,35.4,146,394,28,240747
ABalappp:63,ABalappp,63,8107,-16892,-124,-125,8107,46.5,283,315,42,191843
ABalapppa:86,ABalapppa,86,8137,-16862,-51,-59,8137,53.3,221,358,37,237397
ABalapppaa:115,ABalapppaa,115,7449,-17550,-67,-68,7449,50.7,149,355,32,227868
ABalapppaaa:164,ABalapppaaa,164,6891,-18108,-67,-76,6891,42.3,147,321,27,216130
ABalapppaap:164,ABalapppaap,164,6914,-18085,-55,-80,6914,41.3,141,331,28,233835
ABalapppap:115,ABalapppap,115,7512,-17487,-106,-120,7512,54.5,191,359,32,190134
ABalapppapa:155,ABalapppapa,155,6937,-18062,-84,-104,6937,48.9,155,343,29,202901
ABalapppapaa:223,ABalapppapaa,223,6789,-18210,-44,-82,6789,46.2,163,375,25,133824
ABalapppapap:223,ABalapppapap,223,6886,-18113,-13,-28,6886,50.1,184,393,24,120596
ABalapppapp:155,ABalapppapp,155,6945,-18054,-54,-69,6945,48.0,154,352,29,248809
ABalapppp:86,ABalapppp,86,8057,-16942,-46,-47,8057,50.4,286,374,36,225730
ABalappppa:116,ABalappppa,116,7465,-17534,-84,-98,7465,52.2,211,390,32,190160
