cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,1811,-23189,-73,-73,1811,38.0,144,286,70,624085
ABal:2,ABal,2,1827,-23172,-108,-108,1827,35.8,125,297,75,844092
ABala:9,ABala,9,1853,-23146,-130,-130,1853,41.0,101,248,66,561051
ABalaa:20,ABalaa,20,1789,-23210,-222,-223,1789,48.5,88,228,58,450645
ABalaaa:37,ABalaaa,37,1731,-23268,-156,-156,1731,45.0,82,228,50,532167
ABalaaaa:56,ABalaaaa,56,1777,-23222,-121,-125,1777,49.0,98,223,43,373377
ABalaaaal:84,ABalaaaal,84,1782,-23217,-66,-71,1782,38.0,87,261,37,259375
ABalaaaala:116,ABalaaaala,116,1722,-23277,-38,-44,1722,47.9,123,312,32,153814
ABalaaaalal:176,ABalaaaalal,176,1719,-23280,-49,-56,1719,36.8,162,291,26,37256
ABalaaaalar:176,ABalaaaalar,176,1732,-23267,-57,-60,1732,42.9,120,293,25,100559
ABalaaaalp:116,ABalaaaalp,116,1762,-23237,-79,-87,1762,49.8,154,337,32,150506
ABalaaaalpa:171,ABalaaaalpa,171,1806,-23193,-2,-26,1806,47.3,139,324,26,81919
ABalaaaalpp:171,ABalaaaalpp,171,1783,-23216,-33,-53,1783,45.0,161,327,26,77318
ABalaaaar:84,ABalaaaar,84,1770,-23230,-96,-103,1770,47.3,81,229,36,263032
ABalaaaarl:117,ABalaaaarl,117,1735,-23264,-20,-18,1735,47.8,109,281,31,140417
ABalaaaarla:164,ABalaaaarla,164,1747,-23252,-8,-8,1747,42.5,116,301,27,71719
ABalaaaarlp:164,ABalaaaarlp,164,1778,-23221,25,24,1778,39.3,152,279,28,63384
ABalaaaarr:117,ABalaaaarr,117,1725,-23274,-38,-35,1725,48.8,109,219,32,143251
ABalaaaarra:165,ABalaaaarra,165,1766,-23233,21,23,1766,48.9,117,248,28,98535
ABalaaaarrp:165,ABalaaaarrp,165,1702,-23297,-52,-63,1702,43.2,133,241,27,89547
ABalaaap:56,ABalaaap,56,1800,-23199,-58,-60,1800,39.5,116,191,45,346578
ABalaaapa:80,ABalaaapa,80,1830,-23169,-12,-16,1830,37.2,87,207,37,254757
ABalaaapal:111,ABalaaapal,111,1719,-23280,-32,-32,1719,40.3,104,297,33,166102
ABalaaapall:155,ABalaaapall,155,1735,-23264,-53,-61,1735,42.4,151,344,28,108363
ABalaaapalr:155,ABalaaapalr,155,1762,-23237,8,-1,1762,33.0,154,293,29,101742
ABalaaapar:111,ABalaaapar,111,1739,-23260,-5,-5,1739,38.9,94,254,32,155185
ABalaaaparl:164,ABalaaaparl,164,1747,-23252,8,4,1747,37.6,110,299,27,90043
ABalaaaparr:164,ABalaaaparr,164,1700,-23299,-36,-31,1700,36.5,116,277,27,75743
ABalaaapp:80,ABalaaapp,80,1788,-23211,-57,-63,1788,37.6,118,171,37,245705
ABalaaappl:112,ABalaaappl,112,1727,-23272,-35,-37,1727,41.2,100,203,34,176080
ABalaaappll:164,ABalaaappll,164,1746,-23253,14,0,1746,43.4,104,241,27,63784
