cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,26287,1287,-722,-722,26287,14.4,189,228,63,96
ABal:5,ABal,5,26193,1193,-1059,-1059,26193,12.9,159,259,56,200
ABala:14,ABala,14,26442,1442,-839,-844,26442,15.2,133,214,52,270
ABalaa:26,ABalaa,26,26631,1631,-568,-568,26631,16.8,114,226,48,323
ABalaaa:41,ABalaaa,41,26501,1501,-597,-597,26501,14.7,102,213,41,230
ABalaaaa:60,ABalaaaa,60,26433,1433,-312,-309,26433,14.9,114,204,35,157
ABalaaaal:87,ABalaaaal,87,26828,1828,-110,-116,26828,14.1,99,209,30,185
ABalaaaala:118,ABalaaaala,118,26807,1807,-65,-78,26807,17.4,117,208,26,177
ABalaaaalal:163,ABalaaaalal,163,27064,2064,-329,-336,27064,17.3,119,244,23,203
ABalaaaalar:163,ABalaaaalar,163,26871,1871,0,11,26871,19.3,107,228,24,148
ABalaaaalp:118,ABalaaaalp,118,26804,1804,-97,-102,26804,16.3,104,261,26,200
ABalaaaalpa:166,ABalaaaalpa,166,26955,1955,131,172,26955,15.8,106,290,22,180
ABalaaaalpp:166,ABalaaaalpp,166,27396,2396,17,18,27396,15.3,116,261,23,149
ABalaaaar:87,ABalaaaar,87,26733,1733,-76,-78,26733,13.1,112,262,29,212
ABalaaaarl:117,ABalaaaarl,117,27002,2002,-170,-168,27002,17.1,121,301,26,178
ABalaaaarla:175,ABalaaaarla,175,27287,2287,-12,-95,27287,17.3,141,311,22,184
ABalaaaarlp:175,ABalaaaarlp,175,27470,2470,99,43,27470,15.0,129,291,22,147
ABalaaaarr:117,ABalaaaarr,117,27123,2123,-266,-264,27123,18.7,152,333,27,181
ABalaaaarra:172,ABalaaaarra,172,27104,2104,338,382,27104,17.6,116,310,24,140
ABalaaaarrp:172,ABalaaaarrp,172,27647,2647,379,335,27647,19.3,145,326,23,239
ABalaaap:60,ABalaaap,60,26533,1533,-559,-564,26533,12.3,142,177,35,276
ABalaaapa:83,ABalaaapa,83,26810,1810,-385,-393,26810,10.1,111,219,29,199
ABalaaapal:113,ABalaaapal,113,26749,1749,-323,-338,26749,12.7,103,253,25,192
ABalaaapall:161,ABalaaapall,161,26729,1729,-129,-106,26729,13.4,110,305,23,226
ABalaaapalr:161,ABalaaapalr,161,26955,1955,-180,-204,26955,13.0,102,272,23,195
ABalaaapar:113,ABalaaapar,113,26828,1828,-365,-247,26828,14.0,115,295,26,213
ABalaaaparl:155,ABalaaaparl,155,26892,1892,-45,-18,26892,15.5,150,345,23,204
ABalaaaparr:155,ABalaaaparr,155,26564,1564,-489,-489,26564,13.9,131,321,23,203
ABalaaapp:83,ABalaaapp,83,26752,1752,-572,-576,26752,9.7,141,175,30,197
ABalaaappl:112,ABalaaappl,112,26887,1887,-180,-195,26887,14.8,125,167,27,205
ABalaaappll:155,ABalaaappll,155,27308,2308,371,345,27308,18.2,113,201,23,194
ABalaaapplr:155,ABalaaapplr,155,27201,2201,93,64,27201,19.3,132,167,24,171
ABalaaappr:112,ABalaaappr,112,26787,1787,-103,-104,26787,13.0,109,201,27,206
ABalaaapprl:161,ABalaaapprl,161,26764,1764,-23,-12,26764,14.4,98,234,23,161
ABalaaapprr:161,ABalaaapprr,161,26892,1892,70,81,26892,16.5,105,212,24,176
ABalaap:41,ABalaap,41,26734,1734,-554,-555,26734,18.1,150,255,41,317
ABalaapa:60,ABalaapa,60,26510,1510,-489,-495,26510,14.6,178,193,34,264
