cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABal:1,ABal,1,5344,-19656,-126,-126,5344,34.2,574,143,70,1026360
ABala:5,ABala,5,5949,-19051,-132,-132,5949,33.1,591,192,63,814157
ABalaa:16,ABalaa,16,6422,-18577,-137,-137,6422,46.0,607,177,57,524376
ABalaaa:32,ABalaaa,32,6677,-18322,-106,-106,6677,40.6,618,195,48,389195
ABalaaaa:51,ABalaaaa,51,6204,-18795,-60,-61,6204,46.6,603,211,42,198862
ABalaaaal:77,ABalaaaal,77,5368,-19631,-50,-51,5368,39.5,605,158,38,180674
ABalaaaala:109,ABalaaaala,109,4918,-20081,-52,-50,4918,46.0,607,138,30,86607
ABalaaaalp:109,ABalaaaalp,109,4909,-20091,-76,-78,4909,43.2,573,113,31,116413
ABalaaaar:77,ABalaaaar,77,5328,-19671,-44,-47,5328,45.8,629,189,37,166783
ABalaaaarl:110,ABalaaaarl,110,4895,-20104,-38,-45,4895,46.7,621,172,30,93396
ABalaaaarr:110,ABalaaaarr,110,4906,-20093,-37,-41,4906,46.0,607,232,29,84969
ABalaaap:51,ABalaaap,51,6310,-18689,-68,-71,6310,36.1,579,233,45,253060
ABalaaapa:73,ABalaaapa,73,5437,-19563,-84,-88,5437,35.7,620,208,38,176908
ABalaaapal:103,ABalaaapal,103,4963,-20036,-64,-66,4963,39.5,628,150,33,124667
ABalaaapar:103,ABalaaapar,103,5023,-19976,1,-2,5023,37.9,639,195,30,103931
ABalaaapp:73,ABalaaapp,73,5451,-19548,-48,-49,5451,35.3,593,252,37,176428
ABalaaappl:106,ABalaaappl,106,5048,-19951,37,31,5048,37.6,630,228,30,107154
ABalaaappr:106,ABalaaappr,106,4912,-20087,-129,-129,4912,38.5,600,261,34,139643
ABalaap:32,ABalaap,32,6687,-18312,-109,-110,6687,49.4,571,158,47,305248
ABalaapa:51,ABalaapa,51,6229,-18770,-69,-71,6229,45.0,550,235,43,199993
ABalaapaa:77,ABalaapaa,77,5323,-19676,-62,-62,5323,45.6,595,257,35,132235
ABalaapaaa:112,ABalaapaaa,112,4971,-20028,85,81,4971,47.4,595,265,28,66745
ABalaapaap:112,ABalaapaap,112,4913,-20086,-52,-80,4913,50.5,549,284,28,68233
ABalaapap:77,ABalaapap,77,5360,-19639,-33,-34,5360,45.0,560,290,35,132592
ABalaapapa:111,ABalaapapa,111,4906,-20093,20,30,4906,51.0,554,306,31,89406
ABalaapapp:111,ABalaapapp,111,4796,-20203,-156,-156,4796,44.3,534,311,32,84817
ABalaapp:51,ABalaapp,51,6314,-18685,-79,-81,6314,39.7,488,234,42,179249
ABalaappa:72,ABalaappa,72,5449,-19550,-41,-45,5449,37.6,560,292,37,159542
ABalaappaa:107,ABalaappaa,107,4940,-20059,-18,-12,4940,43.0,584,293,30,89631
ABalaappap:107,ABalaappap,107,4941,-20058,-65,-63,4941,39.5,558,275,30,81008
ABalaappp:72,ABalaappp,72,5487,-19512,-82,-83,5487,30.9,527,291,38,157779
ABalaapppa:102,ABalaapppa,102,5020,-19979,-51,-52,5020,31.3,589,273,32,121662
ABalaapppp:102,ABalaapppp,102,4964,-20035,-108,-110,4964,29.2,553,283,33,89820
ABalap:16,ABalap,16,6428,-18571,-153,-154,6428,29.1,577,230,58,697097
ABalapa:32,ABalapa,32,6657,-18342,-157,-158,6657,29.6,584,239,50,453315
ABalapaa:50,ABalapaa,50,6349,-18650,-55,-54,6349,28.1,587,253,43,245227
ABalapaaa:72,ABalapaaa,72,5466,-19533,-11,-12,5466,27.0,603,180,36,170305
ABalapaaaa:107,ABalapaaaa,107,4970,-20029,-7,0,4970,33.7,617,144,32,124344
ABalapaaap:107,ABalapaaap,107,4999,-20000,12,5,4999,27.5,586,137,33,133091
ABalapaap:72,ABalapaap,72,5489,-19510,-69,-72,5489,25.7,567,155,38,176500
ABalapaapa:104,ABalapaapa,104,5032,-19967,-14,-22,5032,32.4,583,112,32,125732
ABalapaapp:104,ABalapaapp,104,5038,-19961,-63,-66,5038,28.2,552,99,33,125138
ABalapap:50,ABalapap,50,6406,-18593,-32,-31,6406,24.1,535,243,42,222485
ABalapapa:70,ABalapapa,70,5512,-19487,-62,-65,5512,25.8,566,159,36,183220
ABalapapaa:104,ABalapapaa,104,4900,-20099,-113,-114,4900,23.2,599,168,29,117458
ABalapapap:104,ABalapapap,104,5086,-19913,44,37,5086,20.2,567,139,34,152457
ABalapapp:70,ABalapapp,70,5550,-19449,-100,-101,5550,22.6,510,159,38,173237
ABalapappa:99,ABalapappa,99,5000,-19999,-143,-141,5000,23.1,531,132,33,122426
ABalapappp:99,ABalapappp,99,5057,-19942,-76,-75,5057,20.2,479,137,32,124330
ABalapp:32,ABalapp,32,6709,-18291,-117,-117,6709,36.6,508,200,48,330118
ABalappa:50,ABalappa,50,6305,-18694,-76,-77,6305,30.2,517,225,43,228058
ABalappaa:74,ABalappaa,74,5354,-19645,-81,-83,5354,27.4,596,222,34,151142
ABalappaaa:112,ABalappaaa,112,4880,-20120,-32,-45,4880,31.6,628,209,30,111720
ABalappaap:112,ABalappaap,112,4846,-20153,-109,-122,4846,24.6,607,202,31,106918
ABalappap:74,ABalappap,74,5454,-19546,-71,-77,5454,25.5,562,243,37,157984
ABalappapa:105,ABalappapa,105,5040,-19959,-20,-12,5040,31.2,616,240,30,95005
ABalappapp:105,ABalappapp,105,4988,-20011,-56,-55,4988,23.2,592,259,32,102340
ABalappp:50,ABalappp,50,6362,-18637,-94,-94,6362,28.8,443,227,46,219095
ABalapppa:70,ABalapppa,70,5554,-19445,-64,-68,5554,23.7,511,261,39,171121
ABalapppaa:100,ABalapppaa,100,5098,-19901,-50,-56,5098,23.3,579,224,31,99090
ABalapppap:100,ABalapppap,100,5053,-19946,-46,-51,5053,19.8,543,246,32,104188
ABalapppp:70,ABalapppp,70,5542,-19457,-73,-73,5542,23.3,443,271,37,129482
ABalappppa:101,ABalappppa,101,5033,-19966,-89,-91,5033,22.1,515,277,29,79572
ABalappppp:101,ABalappppp,101,5073,-19926,-54,-55,5073,21.1,460,287,30,78287
ABalp:5,ABalp,5,5935,-19065,-200,-200,5935,37.2,523,122,63,810328
ABalpa:16,ABalpa,16,6433,-18566,-188,-188,6433,33.2,562,97,58,674455
ABalpaa:31,ABalpaa,31,6745,-18254,-102,-102,6745,29.9,586,129,51,482908
ABalpaaa:50,ABalpaaa,50,6272,-18727,-60,-60,6272,50.0,600,158,41,187207
ABalpaaaa:77,ABalpaaaa,77,5309,-19690,-123,-123,5309,57.2,574,181,35,106538
ABalpaaaaa:113,ABalpaaaaa,113,4840,-20159,-190,-206,4840,57.6,562,168,28,70473
ABalpaaaap:113,ABalpaaaap,113,5017,-19982,-2,-17,5017,60.0,514,171,29,69753
ABalpaaap:77,ABalpaaap,77,5375,-19624,-60,-65,5375,53.5,533,155,35,124889
ABalpaaapa:111,ABalpaaapa,111,5046,-19953,11,14,5046,52.2,512,159,29,85252
ABalpaaapp:111,ABalpaaapp,111,4923,-20076,-62,-77,4923,46.7,474,161,32,124019
ABalpaap:50,ABalpaap,50,6383,-18616,-121,-126,6383,37.5,588,152,46,258736
ABalpaapa:71,ABalpaapa,71,5575,-19424,-69,-72,5575,43.3,589,147,41,166152
ABalpaapaa:99,ABalpaapaa,99,5122,-19877,2,-2,5122,52.9,591,168,32,96925
ABalpaapap:99,ABalpaapap,99,5084,-19915,-72,-79,5084,53.4,545,135,33,20866
ABalpaapp:71,ABalpaapp,71,5533,-19466,-67,-67,5533,47.3,531,121,37,139179
ABalpaappa:103,ABalpaappa,103,5071,-19928,42,43,5071,50.5,565,104,31,91574
ABalpaappp:103,ABalpaappp,103,5070,-19929,-17,-15,5070,49.7,520,102,32,87517
ABalpap:31,ABalpap,31,6741,-18258,-111,-111,6741,39.5,506,81,52,409484
ABalpapa:49,ABalpapa,49,6358,-18641,-106,-107,6358,47.6,556,110,42,192992
ABalpapaa:72,ABalpapaa,72,5513,-19486,-56,-62,5513,57.9,522,130,37,115255
ABalpapaaa:106,ABalpapaaa,106,5023,-19976,-55,-67,5023,58.2,522,122,34,107660
ABalpapaap:106,ABalpapaap,106,4999,-20000,-107,-127,4999,61.7,483,143,33,89338
ABalpapap:72,ABalpapap,72,5507,-19492,-81,-82,5507,58.5,463,120,38,108846
ABalpapapa:105,ABalpapapa,105,5013,-19986,-59,-68,5013,58.2,465,111,33,97512
ABalpapapp:105,ABalpapapp,105,5071,-19928,-44,-49,5071,59.1,418,117,31,85087
ABalpapp:49,ABalpapp,49,6421,-18578,-125,-125,6421,49.1,475,98,45,189618
ABalpappa:69,ABalpappa,69,5646,-19353,-41,-43,5646,56.6,480,163,36,89594
ABalpappaa:100,ABalpappaa,100,5059,-19940,-73,-85,5059,58.7,483,168,30,74700
ABalpappap:100,ABalpappap,100,5011,-19988,-100,-103,5011,58.2,434,168,33,56625
ABalpappp:69,ABalpappp,69,5617,-19382,-86,-86,5617,55.6,421,150,40,112310
ABalpapppa:100,ABalpapppa,100,5089,-19910,-28,-39,5089,50.0,450,173,32,96625
ABalpapppp:100,ABalpapppp,100,5162,-19837,-16,-15,5162,51.1,395,162,36,23788
ABalpp:16,ABalpp,16,6425,-18574,-171,-171,6425,19.5,463,96,59,753437
ABalppa:32,ABalppa,32,6711,-18288,-138,-139,6711,18.8,515,94,50,547110
ABalppaa:50,ABalppaa,50,6292,-18707,-56,-57,6292,37.5,586,96,43,254480
ABalppaaa:77,ABalppaaa,77,5367,-19632,-12,-11,5367,41.7,563,90,35,169806
ABalppaaaa:113,ABalppaaaa,113,4773,-20226,-161,-162,4773,37.6,590,100,30,140934
ABalppaaap:113,ABalppaaap,113,4824,-20175,-159,-161,4824,38.7,553,74,31,141786
ABalppaap:77,ABalppaap,77,5417,-19582,-11,-13,5417,43.4,520,69,35,164658
ABalppaapa:111,ABalppaapa,111,4903,-20097,-38,-40,4903,44.5,527,72,29,117950
ABalppaapp:111,ABalppaapp,111,4975,-20024,-21,-23,4975,37.5,506,54,32,140938
ABalppap:50,ABalppap,50,6423,-18576,-64,-65,6423,31.4,535,96,44,246412
ABalppapa:71,ABalppapa,71,5571,-19428,-44,-50,5571,50.0,487,100,36,119968
ABalppapaa:103,ABalppapaa,103,5003,-19996,-35,-33,5003,53.7,496,84,31,92334
ABalppapap:103,ABalppapap,103,5080,-19919,0,-2,5080,50.8,466,127,33,109519
ABalppapp:71,ABalppapp,71,5569,-19430,-105,-113,5569,50.0,441,111,38,125165
ABalppappa:100,ABalppappa,100,5055,-19944,-46,-45,5055,53.2,454,79,31,90789
ABalppappp:100,ABalppappp,100,5047,-19952,-107,-107,5047,50.1,422,109,31,85591
ABalppp:32,ABalppp,32,6716,-18283,-129,-131,6716,27.6,433,88,50,434683
ABalpppa:50,ABalpppa,50,6360,-18639,-89,-88,6360,32.1,533,134,44,249151
ABalpppaa:73,ABalpppaa,73,5476,-19523,-52,-53,5476,33.4,534,88,36,191926
ABalpppaaa:108,ABalpppaaa,108,5071,-19928,15,15,5071,32.8,538,62,31,146035
ABalpppaap:108,ABalpppaap,108,5015,-19984,1,9,5015,23.0,511,64,32,188454
ABalpppap:73,ABalpppap,73,5556,-19443,-13,-15,5556,30.6,489,67,39,205546
ABalpppapa:104,ABalpppapa,104,5005,-19994,-92,-88,5005,31.7,491,61,33,154082
ABalpppapp:104,ABalpppapp,104,5047,-19952,5,4,5047,25.9,456,61,31,132031
ABalpppp:50,ABalpppp,50,6383,-18616,-116,-117,6383,32.9,458,134,45,228542
ABalppppa:71,ABalppppa,71,5573,-19426,-65,-66,5573,26.1,508,108,39,222095
ABalppppaa:103,ABalppppaa,103,5129,-19870,4,-1,5129,29.0,518,94,30,124500
ABalppppap:103,ABalppppap,103,5043,-19956,-39,-41,5043,22.0,484,98,31,142719
ABalppppp:71,ABalppppp,71,5606,-19393,-59,-63,5606,24.8,441,90,39,184172
ABalpppppa:98,ABalpppppa,98,5165,-19834,36,35,5165,24.8,449,92,32,132034
ABalpppppp:98,ABalpppppp,98,5144,-19855,-8,-14,5144,24.7,402,76,35,150666
ABar:1,ABar,1,5275,-19724,-143,-143,5275,30.2,451,317,76,1217039
