cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABal:1,ABal,1,6993,-18006,-167,-167,6993,26.0,560,210,78,863206
ABala:4,ABala,4,5953,-19046,-116,-116,5953,30.2,584,179,66,662145
ABalaa:14,ABalaa,14,5094,-19905,-92,-92,5094,21.7,613,182,57,520172
ABalaaa:28,ABalaaa,28,4997,-20002,173,172,4997,23.8,620,174,47,356694
ABalaaaa:44,ABalaaaa,44,5498,-19501,719,712,5498,20.8,607,186,41,236384
ABalaaaal:64,ABalaaaal,64,5598,-19402,1008,998,5598,32.1,601,222,35,118694
ABalaaaar:64,ABalaaaar,64,5886,-19113,1349,1345,5886,25.0,629,176,37,149320
ABalaaap:44,ABalaaap,44,5662,-19337,638,652,5662,27.1,570,157,43,254600
ABalaaapa:61,ABalaaapa,61,6127,-18872,954,978,6127,31.9,595,161,37,142298
ABalaaapp:61,ABalaaapp,61,6055,-18944,1089,1099,6055,36.3,553,151,38,161503
ABalaap:28,ABalaap,28,4804,-20195,104,103,4804,17.0,572,223,50,327496
ABalaapa:43,ABalaapa,43,5358,-19641,563,567,5358,23.0,531,189,43,238692
ABalaapaa:62,ABalaapaa,62,5414,-19585,691,731,5414,22.7,553,139,36,127601
ABalaapap:62,ABalaapap,62,5185,-19814,735,760,5185,21.0,512,135,34,99827
ABalaapp:43,ABalaapp,43,5249,-19750,489,489,5249,25.9,479,175,42,209847
ABalaappa:62,ABalaappa,62,5523,-19476,608,648,5523,29.8,522,148,38,148954
ABalaappp:62,ABalaappp,62,5490,-19509,843,833,5490,35.8,476,139,40,155592
ABalap:14,ABalap,14,5104,-19895,-183,-183,5104,38.3,550,165,59,576726
ABalapa:28,ABalapa,28,4611,-20388,-101,-100,4611,35.5,568,156,52,437742
ABalapaa:42,ABalapaa,42,4392,-20607,-46,-44,4392,38.7,573,163,46,315659
ABalapaaa:60,ABalapaaa,60,4178,-20821,-91,-102,4178,40.8,570,196,37,145127
ABalapaap:60,ABalapaap,60,4073,-20926,111,99,4073,41.5,558,245,37,146034
ABalapap:42,ABalapap,42,4359,-20640,-60,-66,4359,39.2,514,156,44,258367
ABalapapa:59,ABalapapa,59,4077,-20922,-45,-45,4077,43.0,522,235,38,166513
ABalapapp:59,ABalapapp,59,4005,-20994,-39,-45,4005,42.2,461,259,38,140855
ABalapp:28,ABalapp,28,4525,-20474,-100,-100,4525,31.5,509,210,51,338576
ABalappa:42,ABalappa,42,4329,-20670,-171,-153,4329,34.9,496,163,42,234527
ABalappaa:61,ABalappaa,61,4122,-20877,-219,-169,4122,43.3,551,163,36,141053
ABalappap:61,ABalappap,61,4072,-20927,-263,-249,4072,42.5,511,178,37,128852
ABalappp:42,ABalappp,42,4205,-20794,-207,-205,4205,35.4,438,200,44,224494
