cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
P0:1,P0,1,9370,-15629,-81,-83,9370,40.2,441,277,75,1659010
AB:8,AB,8,9930,-15069,-74,-74,9930,35.4,427,278,73,1284958
ABa:17,ABa,17,10072,-14927,-71,-71,10072,35.4,521,239,69,1406739
ABal:26,ABal,26,9889,-15110,-71,-71,9889,33.1,572,223,70,1556849
ABala:35,ABala,35,9632,-15367,-102,-102,9632,38.1,603,266,64,1777906
ABalaa:45,ABalaa,45,9377,-15622,-109,-109,9377,46.5,635,279,59,1936425
ABalaaa:62,ABalaaa,62,7785,-17214,-100,-101,7785,47.3,641,294,51,653133
ABalaaaa:81,ABalaaaa,81,6590,-18409,24,26,6590,46.7,630,308,44,515757
ABalaaaal:110,ABalaaaal,110,9484,-15515,3134,3182,9484,42.6,634,242,38,484220
ABalaaaala:141,ABalaaaala,141,12351,-12648,5309,5628,12351,50.4,623,225,30,307857
ABalaaaalp:141,ABalaaaalp,141,12462,-12537,5285,5659,12462,52.4,604,189,33,321860
ABalaaaar:110,ABalaaaar,110,9852,-15147,3629,3624,9852,46.5,643,300,39,533323
ABalaaaarl:143,ABalaaaarl,143,12931,-12068,6664,6666,12931,47.7,633,261,33,366706
ABalaaaarr:143,ABalaaaarr,143,13468,-11531,7190,7195,13468,48.6,620,320,31,304012
ABalaaap:81,ABalaaap,81,6638,-18361,-43,-49,6638,41.1,588,332,44,456529
ABalaaapa:104,ABalaaapa,104,6097,-18902,-56,11,6097,37.4,635,297,38,428152
ABalaaapal:135,ABalaaapal,135,5729,-19270,-514,-138,5729,42.4,635,236,32,301731
ABalaaapar:135,ABalaaapar,135,5532,-19467,-200,-157,5532,40.4,641,287,31,298712
ABalaaapp:104,ABalaaapp,104,6047,-18952,-66,-30,6047,38.6,607,340,38,441351
ABalaaappl:137,ABalaaappl,137,5660,-19339,-16,8,5660,39.8,628,318,31,288725
ABalaaappr:137,ABalaaappr,137,5618,-19381,-492,-152,5618,43.3,600,348,31,282307
ABalaap:62,ABalaap,62,7805,-17194,-128,-129,7805,49.8,579,254,49,508112
ABalaapa:81,ABalaapa,81,6672,-18327,5,3,6672,46.0,555,323,43,429251
ABalaapaa:107,ABalaapaa,107,12423,-12576,5520,5533,12423,49.0,579,355,36,386343
ABalaapaaa:142,ABalaapaaa,142,16044,-8955,9065,9198,16044,51.8,582,345,32,295629
ABalaapaap:142,ABalaapaap,142,17085,-7914,8490,8855,17085,55.7,543,349,30,209787
ABalaapap:107,ABalaapap,107,11914,-13085,5106,5173,11914,49.3,532,377,36,380906
