cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,14045,-10954,-107,-107,14045,39.5,146,297,72,2597839
ABal:3,ABal,3,13810,-11189,-143,-144,13810,39.2,122,237,69,2473612
ABala:14,ABala,14,13942,-11057,-105,-106,13942,35.7,77,276,62,2042964
ABalaa:27,ABalaa,27,14084,-10915,-121,-121,14084,32.1,67,252,58,1612585
ABalaaa:46,ABalaaa,46,14200,-10799,-83,-83,14200,34.6,59,281,51,912465
ABalaaaa:71,ABalaaaa,71,13777,-11222,-55,-55,13777,31.9,86,338,43,584340
ABalaaaal:103,ABalaaaal,103,13466,-11533,-72,-79,13466,35.8,71,270,38,570162
ABalaaaala:138,ABalaaaala,138,13220,-11779,-64,-59,13220,27.7,68,254,31,343364
ABalaaaalp:138,ABalaaaalp,138,13267,-11732,7,14,13267,29.3,86,211,32,330504
ABalaaaar:103,ABalaaaar,103,13440,-11559,-42,-44,13440,33.3,71,326,38,577849
ABalaaaarl:139,ABalaaaarl,139,13189,-11810,-73,-77,13189,29.0,71,296,31,301622
ABalaaaarr:139,ABalaaaarr,139,13255,-11745,6,5,13255,30.6,98,342,32,317320
ABalaaap:71,ABalaaap,71,13860,-11139,-51,-52,13860,39.6,112,365,44,521400
ABalaaapa:100,ABalaaapa,100,13543,-11456,-34,-37,13543,43.2,72,325,37,489710
ABalaaapal:132,ABalaaapal,132,13303,-11696,-72,-82,13303,36.2,58,262,30,308833
ABalaaapar:132,ABalaaapar,132,13242,-11757,-43,-38,13242,38.0,58,305,30,304136
ABalaaapp:100,ABalaaapp,100,13535,-11464,-30,-29,13535,43.8,101,367,38,480101
ABalaaappl:131,ABalaaappl,131,13302,-11697,9,9,13302,40.6,74,330,31,265333
ABalaaappr:131,ABalaaappr,131,13212,-11787,-76,-80,13212,37.4,100,365,32,311108
ABalaap:46,ABalaap,46,14167,-10832,-70,-71,14167,28.0,123,249,51,718757
ABalaapa:70,ABalaapa,70,13787,-11212,-76,-76,13787,34.9,156,353,43,517655
ABalaapaa:104,ABalaapaa,104,13431,-11568,-43,-38,13431,29.9,133,385,36,507467
ABalaapaaa:141,ABalaapaaa,141,13133,-11866,-23,-25,13133,22.5,135,373,31,305583
ABalaapaap:141,ABalaapaap,141,13140,-11859,-65,-66,13140,22.5,174,400,31,277456
ABalaapap:104,ABalaapap,104,13434,-11565,-89,-86,13434,32.2,171,407,35,456879
ABalaapapa:139,ABalaapapa,139,13248,-11751,47,45,13248,27.2,140,400,30,293921
ABalaapapp:139,ABalaapapp,139,13247,-11752,-43,-38,13247,29.2,185,415,34,325756
ABalaapp:70,ABalaapp,70,13836,-11163,-61,-65,13836,36.6,223,358,44,437797
ABalaappa:98,ABalaappa,98,13528,-11471,-30,-32,13528,42.2,145,393,36,438410
ABalaappaa:133,ABalaappaa,133,13225,-11774,-51,-49,13225,31.4,118,379,30,336116
ABalaappap:133,ABalaappap,133,13234,-11765,-115,-129,13234,37.3,140,382,34,344223
ABalaappp:98,ABalaappp,98,13539,-11460,-90,-90,13539,45.7,189,399,38,401620
ABalaapppa:128,ABalaapppa,128,13291,-11708,-28,-27,13291,43.6,118,378,32,298454
ABalaapppp:128,ABalaapppp,128,13339,-11660,-11,-21,13339,47.2,148,387,35,311947
ABalap:27,ABalap,27,14124,-10875,-141,-142,14124,43.3,92,322,57,1301721
ABalapa:46,ABalapa,46,14229,-10770,-145,-146,14229,46.3,79,318,50,743633
ABalapaa:69,ABalapaa,69,13887,-11112,-73,-73,13887,46.2,80,316,43,462198
ABalapaaa:100,ABalapaaa,100,13540,-11459,-45,-51,13540,46.4,94,284,35,406274
ABalapaaaa:136,ABalapaaaa,136,13264,-11735,-35,-36,13264,41.0,62,262,30,329030
ABalapaaap:136,ABalapaaap,136,13313,-11686,-69,-75,13313,44.3,86,247,30,269975
ABalapaap:100,ABalapaap,100,13516,-11483,-96,-103,13516,47.0,112,256,39,459560
ABalapaapa:132,ABalapaapa,132,13294,-11705,-61,-61,13294,46.4,92,218,32,292918
ABalapaapp:132,ABalapaapp,132,13319,-11680,-70,-71,13319,41.6,119,201,32,275598
ABalapap:69,ABalapap,69,13927,-11072,-66,-73,13927,46.6,124,330,43,438625
ABalapapa:98,ABalapapa,98,13585,-11414,-34,-44,13585,47.8,133,253,35,349343
ABalapapaa:134,ABalapapaa,134,13267,-11732,-107,-112,13267,48.4,101,273,28,231415
ABalapapap:134,ABalapapap,134,13401,-11598,32,37,13401,50.5,126,245,33,251123
ABalapapp:98,ABalapapp,98,13586,-11413,-93,-99,13586,48.8,190,250,38,353410
ABalapappa:127,ABalapappa,127,13392,-11607,-67,-68,13392,46.6,153,220,32,227050
ABalapappp:127,ABalapappp,127,13406,-11593,-13,-18,13406,50.9,207,218,30,191462
ABalapp:46,ABalapp,46,14199,-10800,-83,-83,14199,39.2,150,306,50,681970
ABalappa:69,ABalappa,69,13887,-11112,-51,-55,13887,44.9,157,360,41,402484
ABalappaa:102,ABalappaa,102,13521,-11478,-51,-59,13521,48.7,103,328,35,330386
ABalappaaa:140,ABalappaaa,140,13216,-11783,-14,0,13216,41.2,65,295,28,243604
ABalappaap:140,ABalappaap,140,13280,-11719,-47,-57,13280,46.8,85,300,30,181696
ABalappap:102,ABalappap,102,13515,-11484,-98,-103,13515,47.6,142,353,37,328680
ABalappapa:133,ABalappapa,133,13277,-11722,-64,-76,13277,42.8,90,352,31,222395
ABalappapp:133,ABalappapp,133,13370,-11629,-1,-8,13370,50.1,110,365,32,179110
ABalappp:69,ABalappp,69,13865,-11134,-101,-101,13865,45.5,223,348,44,404247
ABalapppa:98,ABalapppa,98,13549,-11450,-124,-130,13549,49.7,182,348,36,301949
ABalapppaa:129,ABalapppaa,129,13395,-11604,-69,-73,13395,49.0,119,329,30,163018
ABalapppap:129,ABalapppap,129,13359,-11640,-79,-94,13359,50.8,160,347,30,159703
ABalapppp:98,ABalapppp,98,13550,-11450,-123,-131,13550,49.8,250,358,38,309135
ABalappppa:129,ABalappppa,129,13322,-11677,-104,-112,13322,48.6,185,374,31,168241
ABalappppp:129,ABalappppp,129,13362,-11637,-61,-70,13362,51.3,235,371,30,154527
ABalp:14,ABalp,14,13942,-11057,-116,-116,13942,38.0,170,208,62,1582771
ABalpa:27,ABalpa,27,14097,-10902,-153,-154,14097,40.2,123,192,58,1442649
ABalpaa:45,ABalpaa,45,14268,-10731,-142,-143,14268,44.7,92,218,51,870246
ABalpaaa:67,ABalpaaa,67,13830,-11169,-52,-53,13830,28.1,83,284,44,601591
ABalpaaaa:100,ABalpaaaa,100,13415,-11584,-45,-45,13415,20.9,100,296,39,566239
ABalpaaaaa:136,ABalpaaaaa,136,13236,-11763,26,29,13236,14.8,125,271,34,338344
ABalpaaaap:136,ABalpaaaap,136,13192,-11807,14,11,13192,13.2,169,260,29,191267
ABalpaaap:100,ABalpaaap,100,13428,-11571,-22,-28,13428,18.9,136,267,37,425255
ABalpaaapa:134,ABalpaaapa,134,13211,-11788,-47,-57,13211,21.9,162,236,31,255265
ABalpaaapp:134,ABalpaaapp,134,13172,-11828,-78,-85,13172,22.8,200,257,32,264847
ABalpaap:67,ABalpaap,67,13865,-11134,-146,-147,13865,40.7,85,260,45,581777
ABalpaapa:95,ABalpaapa,95,13563,-11436,-104,-109,13563,34.3,88,279,42,664162
ABalpaapaa:123,ABalpaapaa,123,13285,-11714,-49,-57,13285,25.3,87,296,34,368557
ABalpaapap:123,ABalpaapap,123,13313,-11686,-58,-63,13313,24.3,122,251,37,348111
ABalpaapp:95,ABalpaapp,95,13538,-11461,-31,-39,13538,28.7,113,230,39,547682
ABalpaappa:129,ABalpaappa,129,13283,-11716,-28,-30,13283,24.8,85,220,34,377546
ABalpaappp:129,ABalpaappp,129,13287,-11712,7,-3,13287,21.4,125,204,33,300508
ABalpap:45,ABalpap,45,14221,-10778,-126,-126,14221,34.6,161,165,53,913612
ABalpapa:66,ABalpapa,66,13873,-11126,-81,-81,13873,29.7,98,224,45,576193
ABalpapaa:95,ABalpapaa,95,13492,-11507,-54,-53,13492,22.4,101,240,38,539129
ABalpapaaa:129,ABalpapaaa,129,13218,-11781,-19,-16,13218,14.0,146,227,34,346966
ABalpapaap:129,ABalpapaap,129,13164,-11835,-44,-44,13164,12.7,187,223,30,236850
ABalpapap:95,ABalpapap,95,13493,-11506,-33,-36,13493,18.5,155,230,38,403942
ABalpapapa:127,ABalpapapa,127,13174,-11825,-46,-52,13174,14.6,199,189,36,369238
ABalpapapp:127,ABalpapapp,127,13236,-11763,42,43,13236,13.5,249,205,32,221965
ABalpapp:66,ABalpapp,66,13869,-11130,-81,-82,13869,28.0,178,189,47,504175
ABalpappa:92,ABalpappa,92,13508,-11491,-46,-47,13508,15.1,170,251,41,351813
ABalpappaa:122,ABalpappaa,122,13217,-11782,0,-2,13217,14.7,193,251,31,218726
ABalpappap:122,ABalpappap,122,13260,-11739,24,23,13260,15.6,241,265,34,187831
ABalpappp:92,ABalpappp,92,13555,-11444,0,0,13555,16.3,225,252,41,294348
ABalpapppa:121,ABalpapppa,121,13281,-11718,-8,-6,13281,22.1,223,256,34,281843
ABalpapppp:121,ABalpapppp,121,13266,-11733,-14,-20,13266,21.3,281,246,40,270903
ABalpp:27,ABalpp,27,14130,-10869,-111,-112,14130,50.0,224,216,58,1044526
