cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,94,-18655,-134,-134,94,36.0,187,346,89,535037
ABal:5,ABal,5,104,-19339,-207,-207,104,30.8,170,387,76,284630
ABala:14,ABala,14,193,-24806,-193,-193,193,41.0,162,340,66,228710
ABalaa:25,ABalaa,25,223,-24776,-295,-295,223,51.0,159,356,59,390560
ABalaaa:41,ABalaaa,41,181,-24818,-312,-317,181,43.5,146,335,52,1208452
ABalaaaa:61,ABalaaaa,61,243,-24756,-285,-298,243,45.7,154,328,44,1112596
ABalaaaal:86,ABalaaaal,86,248,-24751,-157,-167,248,39.3,146,383,40,919790
ABalaaaala:116,ABalaaaala,116,291,-24708,-231,-238,291,48.7,150,388,32,500288
ABalaaaalp:116,ABalaaaalp,116,376,-24623,-459,-501,376,49.6,166,432,33,538042
ABalaaaar:86,ABalaaaar,86,262,-24737,-373,-430,262,42.9,140,327,39,929456
ABalaaaarl:116,ABalaaaarl,116,245,-24755,-109,-121,245,45.7,146,351,32,503173
ABalaaaarr:116,ABalaaaarr,116,291,-24708,-204,-221,291,46.1,166,305,32,521478
ABalaaap:61,ABalaaap,61,189,-24810,-111,-115,189,39.0,190,304,45,1099946
ABalaaapa:84,ABalaaapa,84,241,-24758,-272,-306,241,34.1,150,333,39,857698
ABalaaapal:114,ABalaaapal,114,328,-24671,-168,-178,328,40.0,142,379,33,563911
ABalaaapar:114,ABalaaapar,114,286,-24713,-249,-287,286,38.2,143,334,32,530722
ABalaaapp:84,ABalaaapp,84,248,-24751,-251,-278,248,33.3,189,287,38,774577
ABalaaappl:114,ABalaaappl,114,354,-24645,-231,-272,354,38.2,164,300,32,526923
ABalaaappr:114,ABalaaappr,114,323,-24676,-354,-434,323,43.3,188,273,33,562765
ABalaap:41,ABalaap,41,270,-24729,-210,-216,270,52.9,191,367,50,841758
ABalaapa:60,ABalaapa,60,197,-24802,-89,-93,197,46.5,222,324,43,939659
ABalaapaa:86,ABalaapaa,86,292,-24707,-301,-343,292,43.7,198,268,39,850455
ABalaapaaa:119,ABalaapaaa,119,341,-24658,-270,-298,341,52.4,191,289,30,383268
ABalaapaap:119,ABalaapaap,119,535,-24464,-239,-288,535,54.5,229,272,32,438156
ABalaapap:86,ABalaapap,86,261,-24738,-225,-255,261,42.3,240,265,36,709664
ABalaapapa:119,ABalaapapa,119,624,-24375,-88,-170,624,52.1,255,255,28,313140
ABalaapapp:119,ABalaapapp,119,465,-24534,-287,-361,465,51.7,282,244,35,508585
ABalaapp:60,ABalaapp,60,177,-24822,-84,-88,177,42.3,276,334,45,898764
ABalaappa:82,ABalaappa,82,275,-24724,-285,-340,275,34.4,225,254,38,742666
ABalaappaa:115,ABalaappaa,115,534,-24465,-265,-373,534,48.3,208,259,29,396680
ABalaappap:115,ABalaappap,115,337,-24662,-319,-406,337,45.3,234,252,34,550391
ABalaappp:82,ABalaappp,82,220,-24779,-166,-181,220,30.3,242,286,39,684104
ABalaapppa:111,ABalaapppa,111,367,-24632,-302,-406,367,38.6,212,263,36,667739
ABalaapppp:111,ABalaapppp,111,337,-24662,-288,-379,337,35.0,234,258,36,602970
ABalap:25,ABalap,25,159,-24840,-208,-208,159,35.6,196,300,60,425369
ABalapa:41,ABalapa,41,188,-24811,-219,-220,188,34.9,192,291,52,1023128
ABalapaa:60,ABalapaa,60,241,-24758,-218,-228,241,31.9,194,299,45,891390
ABalapaaa:82,ABalapaaa,82,262,-24737,-156,-172,262,27.9,165,372,39,744825
ABalapaaaa:115,ABalapaaaa,115,384,-24615,-107,-127,384,33.6,151,374,31,483307
ABalapaaap:115,ABalapaaap,115,422,-24577,-147,-183,422,28.1,169,396,35,569199
ABalapaap:82,ABalapaap,82,236,-24763,-104,-116,236,29.6,180,415,40,729171
ABalapaapa:112,ABalapaapa,112,421,-24578,-177,-229,421,35.2,165,409,34,546847
ABalapaapp:112,ABalapaapp,112,383,-24616,-200,-251,383,32.7,184,431,36,611524
ABalapap:60,ABalapap,60,182,-24817,-94,-96,182,29.7,250,311,45,665986
ABalapapa:81,ABalapapa,81,245,-24754,-84,-97,245,28.3,218,409,39,634114
ABalapapaa:113,ABalapapaa,113,489,-24510,-88,-90,489,22.2,189,351,28,286527
ABalapapap:113,ABalapapap,113,388,-24611,-145,-165,388,23.2,197,394,37,499479
ABalapapp:81,ABalapapp,81,234,-24765,-84,-84,234,29.1,284,424,40,516717
ABalapappa:108,ABalapappa,108,353,-24646,-213,-240,353,28.4,224,419,34,414979
ABalapappp:108,ABalapappp,108,343,-24656,-158,-170,343,24.3,277,427,33,283090
ABalapp:41,ABalapp,41,166,-24833,-87,-87,166,40.6,256,340,51,812700
