celltime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:8,ABa,8,51,51,51,51,51,31,356,512,30,1000
ABal:20,ABal,20,10,10,10,10,10,31,356,512,30,1000
ABala:35,ABala,35,0,0,0,0,0,31,356,512,30,1000
ABalaa:57,ABalaa,57,23,23,23,23,23,31,356,512,30,1000
ABalaaa:81,ABalaaa,81,1252,1252,1252,1252,1252,31,356,512,30,1000
ABalaaaa:113,ABalaaaa,113,4784,4784,4784,4784,4784,31,356,512,30,1000
ABalaaaal:149,ABalaaaal,149,11551,11551,11551,11551,11551,31,356,512,30,1000
ABalaaaala:217,ABalaaaala,217,8840,8840,8840,8840,8840,31,356,512,30,1000
ABalaaaalal:260,ABalaaaalal,260,3826,3826,3826,3826,3826,31,356,512,30,1000
ABalaaaalar:250,ABalaaaalar,250,1801,1801,1801,1801,1801,31,356,512,30,1000
ABalaaaalp:216,ABalaaaalp,216,7925,7925,7925,7925,7925,31,356,512,30,1000
ABalaaaalpa:260,ABalaaaalpa,260,2446,2446,2446,2446,2446,31,356,512,30,1000
ABalaaaalpp:251,ABalaaaalpp,251,4892,4892,4892,4892,4892,31,356,512,30,1000
ABalaaaar:152,ABalaaaar,152,13502,13502,13502,13502,13502,31,356,512,30,1000
ABalaaaarl:210,ABalaaaarl,210,12174,12174,12174,12174,12174,31,356,512,30,1000
ABalaaaarla:244,ABalaaaarla,244,11805,11805,11805,11805,11805,31,356,512,30,1000
ABalaaaarlp:260,ABalaaaarlp,260,10367,10367,10367,10367,10367,31,356,512,30,1000
ABalaaaarr:212,ABalaaaarr,212,12081,12081,12081,12081,12081,31,356,512,30,1000
ABalaaaarra:260,ABalaaaarra,260,11015,11015,11015,11015,11015,31,356,512,30,1000
ABalaaaarrp:257,ABalaaaarrp,257,10558,10558,10558,10558,10558,31,356,512,30,1000
ABalaaap:109,ABalaaap,109,4467,4467,4467,4467,4467,31,356,512,30,1000
ABalaaapa:145,ABalaaapa,145,9394,9394,9394,9394,9394,31,356,512,30,1000
ABalaaapal:196,ABalaaapal,196,7213,7213,7213,7213,7213,31,356,512,30,1000
ABalaaapall:238,ABalaaapall,238,1197,1197,1197,1197,1197,31,356,512,30,1000
ABalaaapalr:223,ABalaaapalr,223,5824,5824,5824,5824,5824,31,356,512,30,1000
ABalaaapar:212,ABalaaapar,212,9965,9965,9965,9965,9965,31,356,512,30,1000
ABalaaaparl:260,ABalaaaparl,260,17439,17439,17439,17439,17439,31,356,512,30,1000
ABalaaaparr:253,ABalaaaparr,253,20246,20246,20246,20246,20246,31,356,512,30,1000
ABalaaapp:145,ABalaaapp,145,8213,8213,8213,8213,8213,31,356,512,30,1000
ABalaaappl:205,ABalaaappl,205,7228,7228,7228,7228,7228,31,356,512,30,1000
ABalaaappll:254,ABalaaappll,254,11478,11478,11478,11478,11478,31,356,512,30,1000
ABalaaapplr:260,ABalaaapplr,260,13319,13319,13319,13319,13319,31,356,512,30,1000
ABalaaappr:197,ABalaaappr,197,7172,7172,7172,7172,7172,31,356,512,30,1000
ABalaaapprl:238,ABalaaapprl,238,716,716,716,716,716,31,356,512,30,1000
ABalaaapprr:260,ABalaaapprr,260,13018,13018,13018,13018,13018,31,356,512,30,1000
ABalaap:81,ABalaap,81,533,533,533,533,533,31,356,512,30,1000
ABalaapa:112,ABalaapa,112,2937,2937,2937,2937,2937,31,356,512,30,1000
ABalaapaa:152,ABalaapaa,152,11270,11270,11270,11270,11270,31,356,512,30,1000
ABalaapaaa:226,ABalaapaaa,226,11901,11901,11901,11901,11901,31,356,512,30,1000
ABalaapaaal:260,ABalaapaaal,260,2581,2581,2581,2581,2581,31,356,512,30,1000
ABalaapaaar:260,ABalaapaaar,260,945,945,945,945,945,31,356,512,30,1000
ABalaapaap:217,ABalaapaap,217,10367,10367,10367,10367,10367,31,356,512,30,1000
ABalaapaapa:260,ABalaapaapa,260,6053,6053,6053,6053,6053,31,356,512,30,1000
ABalaapaapp:260,ABalaapaapp,260,3901,3901,3901,3901,3901,31,356,512,30,1000
ABalaapap:152,ABalaapap,152,9456,9456,9456,9456,9456,31,356,512,30,1000
ABalaapapa:260,ABalaapapa,260,3931,3931,3931,3931,3931,31,356,512,30,1000
ABalaapapp:209,ABalaapapp,209,9423,9423,9423,9423,9423,31,356,512,30,1000
ABalaapappa:260,ABalaapappa,260,3317,3317,3317,3317,3317,31,356,512,30,1000
ABalaapappp:260,ABalaapappp,260,4146,4146,4146,4146,4146,31,356,512,30,1000
ABalaapp:109,ABalaapp,109,3259,3259,3259,3259,3259,31,356,512,30,1000
ABalaappa:151,ABalaappa,151,9698,9698,9698,9698,9698,31,356,512,30,1000
ABalaappaa:260,ABalaappaa,260,8024,8024,8024,8024,8024,31,356,512,30,1000
ABalaappap:207,ABalaappap,207,17246,17246,17246,17246,17246,31,356,512,30,1000
ABalaappapa:260,ABalaappapa,260,6073,6073,6073,6073,6073,31,356,512,30,1000
ABalaappapp:260,ABalaappapp,260,3770,3770,3770,3770,3770,31,356,512,30,1000
ABalaappp:143,ABalaappp,143,10880,10880,10880,10880,10880,31,356,512,30,1000
ABalaapppa:209,ABalaapppa,209,28164,28164,28164,28164,28164,31,356,512,30,1000
ABalaapppaa:260,ABalaapppaa,260,7129,7129,7129,7129,7129,31,356,512,30,1000
ABalaapppap:239,ABalaapppap,239,15534,15534,15534,15534,15534,31,356,512,30,1000
ABalaapppp:192,ABalaapppp,192,31475,31475,31475,31475,31475,31,356,512,30,1000
ABalaappppa:260,ABalaappppa,260,22076,22076,22076,22076,22076,31,356,512,30,1000
ABalaappppp:242,ABalaappppp,242,39406,39406,39406,39406,39406,31,356,512,30,1000
