"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalaaapal_X20230224_RW10265_tbx.8_die.1_L4","ABalaaapal","X20230224_RW10265_tbx.8_die.1_L4",303.6,297.836363636364,4.21047960785212,79.5,71.9636363636364,2.27251600749676,7.53636363636363,3.31630827307798,NA,NA,NA
"ABalaaapar_X20230224_RW10265_tbx.8_die.1_L4","ABalaaapar","X20230224_RW10265_tbx.8_die.1_L4",325.4,311.804761904762,5.56493272110959,101.3,86.0714285714286,4.6272176150623,15.2285714285714,3.29108606843994,NA,NA,NA
"ABalaaappl_X20230224_RW10265_tbx.8_die.1_L4","ABalaaappl","X20230224_RW10265_tbx.8_die.1_L4",330.6,311.059090909091,5.48432042852809,108,84.9227272727273,4.09946939867214,23.0772727272727,5.62933162392862,NA,NA,NA
"ABalaapaaa_X20230224_RW10265_tbx.8_die.1_L4","ABalaapaaa","X20230224_RW10265_tbx.8_die.1_L4",344.2,333.371428571429,5.8902041980313,115.3,97.3214285714286,4.88847602041759,17.9785714285714,3.67774565191293,NA,NA,NA
"ABalaapaap_X20230224_RW10265_tbx.8_die.1_L4","ABalaapaap","X20230224_RW10265_tbx.8_die.1_L4",334,323.805,5.81228055612923,105,87.18,3.5420184551809,17.82,5.03102968702344,NA,NA,NA
"ABalaapapp_X20230224_RW10265_tbx.8_die.1_L4","ABalaapapp","X20230224_RW10265_tbx.8_die.1_L4",322.1,308.490909090909,6.61951725264075,93.2,73.1590909090909,3.92957759645742,20.0409090909091,5.1000161210651,NA,NA,NA
"ABalaappa_X20230224_RW10265_tbx.8_die.1_L4","ABalaappa","X20230224_RW10265_tbx.8_die.1_L4",339.1,228.772727272727,2.61099904582825,165.9,53.1545454545455,1.94562446156871,112.745454545455,57.9482098279904,NA,NA,NA
"ABalapaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABalapaaaa","X20230224_RW10265_tbx.8_die.1_L4",366.8,347.2,5.52841146563217,144.1,118.442857142857,5.58237020833061,25.6571428571429,4.59610199604006,NA,NA,NA
"ABalapaaap_X20230224_RW10265_tbx.8_die.1_L4","ABalapaaap","X20230224_RW10265_tbx.8_die.1_L4",310.3,300.331818181818,3.15449586397639,87.7,70.7409090909091,2.95774352391257,16.9590909090909,5.733793607181,NA,NA,NA
"ABalapapap_X20230224_RW10265_tbx.8_die.1_L4","ABalapapap","X20230224_RW10265_tbx.8_die.1_L4",295.3,289.563636363636,4.39280206209088,74.3,63.4318181818182,2.62739892445458,10.8681818181818,4.13647951098173,NA,NA,NA
"ABalapappp_X20230224_RW10265_tbx.8_die.1_L4","ABalapappp","X20230224_RW10265_tbx.8_die.1_L4",298.5,293.05,4.58753487076405,83.7,74.1045454545455,2.86696741601682,9.59545454545454,3.3469004537156,NA,NA,NA
"ABalappa_X20230224_RW10265_tbx.8_die.1_L4","ABalappa","X20230224_RW10265_tbx.8_die.1_L4",171.7,177.286363636364,2.56502027366822,35.1,41.8863636363636,1.83725868633665,-6.78636363636363,-3.69374421078128,NA,NA,NA
"ABalappaap_X20230224_RW10265_tbx.8_die.1_L4","ABalappaap","X20230224_RW10265_tbx.8_die.1_L4",366.8,337.869230769231,6.34131750445503,136.3,98.2307692307692,6.26928818598845,38.0692307692308,6.07233702453073,NA,NA,NA
"ABalappapp_X20230224_RW10265_tbx.8_die.1_L4","ABalappapp","X20230224_RW10265_tbx.8_die.1_L4",293.6,293.595454545455,4.35545386325907,74.1,65.6863636363636,2.4150905444025,8.41363636363636,3.48377678142826,NA,NA,NA
"ABalapppaa_X20230224_RW10265_tbx.8_die.1_L4","ABalapppaa","X20230224_RW10265_tbx.8_die.1_L4",301.9,294.031818181818,4.11482642851391,85.5,74.6545454545455,3.59877323975391,10.8454545454545,3.01365321539297,NA,NA,NA
"ABalapppap_X20230224_RW10265_tbx.8_die.1_L4","ABalapppap","X20230224_RW10265_tbx.8_die.1_L4",288.6,283.104545454545,3.28843243488259,72.2,63.7363636363636,2.16168925447217,8.46363636363637,3.91528816925307,NA,NA,NA
"ABalappppp_X20230224_RW10265_tbx.8_die.1_L4","ABalappppp","X20230224_RW10265_tbx.8_die.1_L4",296.9,289.836363636364,3.03150841827023,82.1,70.6045454545455,2.80246103965566,11.4954545454545,4.1019141328962,NA,NA,NA
"ABalpaaap_X20230224_RW10265_tbx.8_die.1_L4","ABalpaaap","X20230224_RW10265_tbx.8_die.1_L4",219.4,229.377272727273,3.01913450514765,46.2,51.2636363636364,1.5646528458858,-5.06363636363636,-3.23626827315147,NA,NA,NA
"ABalpaapaa_X20230224_RW10265_tbx.8_die.1_L4","ABalpaapaa","X20230224_RW10265_tbx.8_die.1_L4",291.9,283.395454545455,5.36047948039541,86.5,71.0090909090909,3.58381402192175,15.4909090909091,4.32246455763416,NA,NA,NA
"ABalpappa_X20230224_RW10265_tbx.8_die.1_L4","ABalpappa","X20230224_RW10265_tbx.8_die.1_L4",205.4,212.495454545455,2.10135495352229,38.2,43.5409090909091,1.58824823863667,-5.34090909090909,-3.36276720539206,NA,NA,NA
"ABalppaa_X20230224_RW10265_tbx.8_die.1_L4","ABalppaa","X20230224_RW10265_tbx.8_die.1_L4",174.8,178.031818181818,2.11037942055482,36.6,42.3045454545455,1.83989577156328,-5.70454545454545,-3.10047207168618,NA,NA,NA
"ABalppaaa_X20230224_RW10265_tbx.8_die.1_L4","ABalppaaa","X20230224_RW10265_tbx.8_die.1_L4",222.6,232.568181818182,2.89850312166821,46.3,52.9090909090909,2.02388337018315,-6.60909090909091,-3.26554929323463,NA,NA,NA
"ABalppaaap_X20230224_RW10265_tbx.8_die.1_L4","ABalppaaap","X20230224_RW10265_tbx.8_die.1_L4",317,310.081818181818,5.33565155245144,92.9,75.8636363636364,4.71992185715636,17.0363636363636,3.60945883257221,NA,NA,NA
"ABalppaap_X20230224_RW10265_tbx.8_die.1_L4","ABalppaap","X20230224_RW10265_tbx.8_die.1_L4",221,230.345454545455,2.55971115794756,44.6,50.6772727272727,1.70431715642863,-6.07727272727273,-3.5658109198452,NA,NA,NA
"ABalppaapp_X20230224_RW10265_tbx.8_die.1_L4","ABalppaapp","X20230224_RW10265_tbx.8_die.1_L4",311.9,307.213636363636,4.96993776472919,89.3,75.2272727272727,3.90898620618865,14.0727272727273,3.60009642665086,NA,NA,NA
"ABalppapap_X20230224_RW10265_tbx.8_die.1_L4","ABalppapap","X20230224_RW10265_tbx.8_die.1_L4",310.3,297.786363636364,3.90229425247513,92.4,76.8,2.46131981629678,15.6,6.33806297609517,NA,NA,NA
"ABalpppaaa_X20230224_RW10265_tbx.8_die.1_L4","ABalpppaaa","X20230224_RW10265_tbx.8_die.1_L4",334,312.359090909091,6.01630000921378,114.5,84.9454545454546,5.98814123896853,29.5545454545454,4.93551241948266,NA,NA,NA
"ABalppppap_X20230224_RW10265_tbx.8_die.1_L4","ABalppppap","X20230224_RW10265_tbx.8_die.1_L4",295.3,288.909090909091,4.18920484453043,80.5,70.1681818181818,3.39248277725022,10.3318181818182,3.0455035029515,NA,NA,NA
"ABalppppppp_X20230224_RW10265_tbx.8_die.1_L4","ABalppppppp","X20230224_RW10265_tbx.8_die.1_L4",346,337.209090909091,5.61007211102577,85.1,73.6727272727273,3.50773171981293,11.4272727272727,3.2577385159553,NA,NA,NA
"ABaraaap_X20230224_RW10265_tbx.8_die.1_L4","ABaraaap","X20230224_RW10265_tbx.8_die.1_L4",167.1,170.472727272727,2.22885446088169,29,34.8636363636364,1.76407144184924,-5.86363636363637,-3.32392227691733,NA,NA,NA
"ABaraapa_X20230224_RW10265_tbx.8_die.1_L4","ABaraapa","X20230224_RW10265_tbx.8_die.1_L4",167.1,172.109090909091,2.24900170253574,30.5,37.5772727272727,1.87843192410758,-7.07727272727273,-3.76764930176273,NA,NA,NA
"ABaraapaa_X20230224_RW10265_tbx.8_die.1_L4","ABaraapaa","X20230224_RW10265_tbx.8_die.1_L4",210.1,221.163636363636,2.45406280327628,41.4,47.4409090909091,1.29197489689202,-6.04090909090909,-4.67571707890079,NA,NA,NA
"ABaraapppa_X20230224_RW10265_tbx.8_die.1_L4","ABaraapppa","X20230224_RW10265_tbx.8_die.1_L4",277.1,272.590909090909,3.32650382618564,62.3,53.6181818181818,2.11133818175794,8.68181818181818,4.11199790579714,NA,NA,NA
"ABarapaa_X20230224_RW10265_tbx.8_die.1_L4","ABarapaa","X20230224_RW10265_tbx.8_die.1_L4",167.1,172.677272727273,2.53732739374136,32,37.9181818181818,1.50953678282488,-5.91818181818182,-3.92052839355579,NA,NA,NA
"ABarapaaa_X20230224_RW10265_tbx.8_die.1_L4","ABarapaaa","X20230224_RW10265_tbx.8_die.1_L4",213.1,227.222727272727,3.37736609380768,44.4,52.8954545454545,1.87679495613115,-8.49545454545455,-4.52657575496005,NA,NA,NA
"ABarapaap_X20230224_RW10265_tbx.8_die.1_L4","ABarapaap","X20230224_RW10265_tbx.8_die.1_L4",206.9,218.386363636364,3.75021211521307,38.2,44.05,1.79702134497221,-5.84999999999999,-3.25538704165502,NA,NA,NA
"ABarappaa_X20230224_RW10265_tbx.8_die.1_L4","ABarappaa","X20230224_RW10265_tbx.8_die.1_L4",216.3,226.777272727273,1.93512195215107,44.5,52.5863636363636,1.79318696195335,-8.08636363636364,-4.5094927678679,NA,NA,NA
"ABarpa_X20230224_RW10265_tbx.8_die.1_L4","ABarpa","X20230224_RW10265_tbx.8_die.1_L4",106.1,102.440909090909,1.49591796659127,21.4,27.0545454545455,1.26103784646475,-5.65454545454546,-4.48404103841742,NA,NA,NA
"ABarpapaaa_X20230224_RW10265_tbx.8_die.1_L4","ABarpapaaa","X20230224_RW10265_tbx.8_die.1_L4",320.4,314.380952380952,4.85227977837418,107.2,90.8857142857143,4.46601452239978,16.3142857142857,3.65298537039225,NA,NA,NA
"ABarpappa_X20230224_RW10265_tbx.8_die.1_L4","ABarpappa","X20230224_RW10265_tbx.8_die.1_L4",211.6,226.922727272727,3.52567883611245,42.9,54.8954545454545,1.67629900524291,-11.9954545454545,-7.15591580495888,NA,NA,NA
"ABarpp_X20230224_RW10265_tbx.8_die.1_L4","ABarpp","X20230224_RW10265_tbx.8_die.1_L4",107.6,103.704545454545,1.4772810522576,22.9,28.3272727272727,1.65649711257904,-5.42727272727273,-3.27635507847212,NA,NA,NA
"ABarppaap_X20230224_RW10265_tbx.8_die.1_L4","ABarppaap","X20230224_RW10265_tbx.8_die.1_L4",232,226.286363636364,2.9965528535851,55.7,49.6545454545455,1.75084395234257,6.04545454545455,3.45288027374795,NA,NA,NA
"ABarppapa_X20230224_RW10265_tbx.8_die.1_L4","ABarppapa","X20230224_RW10265_tbx.8_die.1_L4",277.1,233.936363636364,3.19039413217469,96.2,55.6363636363636,2.44063720300866,40.5636363636364,16.6201008136859,NA,NA,NA
"ABarppapp_X20230224_RW10265_tbx.8_die.1_L4","ABarppapp","X20230224_RW10265_tbx.8_die.1_L4",NA,234.813636363636,3.20405924898334,NA,56.5090909090909,2.46052822259756,NA,NA,189.4,132.890909090909,54.009097668718
"ABplaaaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABplaaaaaa","X20230224_RW10265_tbx.8_die.1_L4",334,316.338095238095,7.04453520045689,111.3,91.4238095238095,5.83248701343645,19.8761904761905,3.40784136002381,NA,NA,NA
"ABplaapaaa_X20230224_RW10265_tbx.8_die.1_L4","ABplaapaaa","X20230224_RW10265_tbx.8_die.1_L4",313.7,306.077272727273,3.90590905438485,92.7,83.0227272727273,2.68078379053622,9.67727272727274,3.60986692079971,NA,NA,NA
"ABplaappa_X20230224_RW10265_tbx.8_die.1_L4","ABplaappa","X20230224_RW10265_tbx.8_die.1_L4",210.1,220.4,3.89028092999538,42.9,52.6045454545455,2.54043064829329,-9.70454545454545,-3.8200395122241,NA,NA,NA
"ABplap_X20230224_RW10265_tbx.8_die.1_L4","ABplap","X20230224_RW10265_tbx.8_die.1_L4",104.6,100.795454545455,1.46205246232733,19.9,25.7818181818182,1.48889104262083,-5.88181818181818,-3.95046918373871,NA,NA,NA
"ABplapaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABplapaaaa","X20230224_RW10265_tbx.8_die.1_L4",307,301.190909090909,3.86657336803397,87.5,78.6454545454545,2.84617157611635,8.85454545454546,3.11103713101781,NA,NA,NA
"ABplapapa_X20230224_RW10265_tbx.8_die.1_L4","ABplapapa","X20230224_RW10265_tbx.8_die.1_L4",210.1,218.240909090909,2.51635774027786,42.9,49.2045454545455,2.0432181135993,-6.30454545454545,-3.08559590999293,NA,NA,NA
"ABplapappp_X20230224_RW10265_tbx.8_die.1_L4","ABplapappp","X20230224_RW10265_tbx.8_die.1_L4",323.8,304.152380952381,4.23776108902084,109,87.6571428571429,3.35850732150035,21.3428571428571,6.35486396180392,NA,NA,NA
"ABplpaaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABplpaaaaa","X20230224_RW10265_tbx.8_die.1_L4",303.6,297.581818181818,5.36058244557847,90.4,76.8409090909091,3.37140059787353,13.5590909090909,4.02179762252019,NA,NA,NA
"ABplpaapa_X20230224_RW10265_tbx.8_die.1_L4","ABplpaapa","X20230224_RW10265_tbx.8_die.1_L4",210.1,221.395454545455,2.34956475659952,41.4,49.1409090909091,1.53891089841055,-7.74090909090909,-5.03012169119358,NA,NA,NA
"ABplpaapap_X20230224_RW10265_tbx.8_die.1_L4","ABplpaapap","X20230224_RW10265_tbx.8_die.1_L4",298.5,298.286363636364,3.98966467794277,86.9,75.25,3.67510932781986,11.65,3.16997372345137,NA,NA,NA
"ABplpaapp_X20230224_RW10265_tbx.8_die.1_L4","ABplpaapp","X20230224_RW10265_tbx.8_die.1_L4",206.9,217.718181818182,2.75968189395882,38.2,45.4545454545455,1.98895217034768,-7.25454545454545,-3.6474207689355,NA,NA,NA
"ABplpaappa_X20230224_RW10265_tbx.8_die.1_L4","ABplpaappa","X20230224_RW10265_tbx.8_die.1_L4",290.3,292.15,4.42145741970741,81.7,72.8363636363636,2.8263295151377,8.86363636363636,3.13609447028844,NA,NA,NA
"ABplpapapa_X20230224_RW10265_tbx.8_die.1_L4","ABplpapapa","X20230224_RW10265_tbx.8_die.1_L4",291.9,290.290909090909,3.96639563990966,77.1,68.8909090909091,2.63382920423027,8.2090909090909,3.11678938630722,NA,NA,NA
"ABplppa_X20230224_RW10265_tbx.8_die.1_L4","ABplppa","X20230224_RW10265_tbx.8_die.1_L4",135.1,135.368181818182,1.05306191363062,25.8,31.0954545454545,1.47502292887014,-5.29545454545454,-3.5900828670581,NA,NA,NA
"ABplppapaa_X20230224_RW10265_tbx.8_die.1_L4","ABplppapaa","X20230224_RW10265_tbx.8_die.1_L4",293.6,295.445454545455,3.19638594617157,75.6,68.1136363636364,1.9337344709988,7.48636363636363,3.87145378470542,NA,NA,NA
"ABplppappa_X20230224_RW10265_tbx.8_die.1_L4","ABplppappa","X20230224_RW10265_tbx.8_die.1_L4",320.4,308.245454545455,4.67248554969635,99.4,76.9363636363636,3.09493371796792,22.4636363636364,7.25819626870252,NA,NA,NA
"ABplppp_X20230224_RW10265_tbx.8_die.1_L4","ABplppp","X20230224_RW10265_tbx.8_die.1_L4",133.5,133.804545454545,1.11161712864306,24.3,29.5181818181818,1.264774161522,-5.21818181818182,-4.12578148489559,NA,NA,NA
"ABpraaaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABpraaaaaa","X20230224_RW10265_tbx.8_die.1_L4",334,315.219047619048,5.15922659394014,105,82.8095238095238,4.44025953767398,22.1904761904762,4.99756286816077,NA,NA,NA
"ABpraaaaap_X20230224_RW10265_tbx.8_die.1_L4","ABpraaaaap","X20230224_RW10265_tbx.8_die.1_L4",349.4,325.56,5.49855483405939,120.5,93.39,4.85905557208719,27.11,5.57927350239277,NA,NA,NA
"ABpraaaapp_X20230224_RW10265_tbx.8_die.1_L4","ABpraaaapp","X20230224_RW10265_tbx.8_die.1_L4",303.6,291.65,4.43897778880721,81,67.1818181818182,3.05093839797284,13.8181818181818,4.52915792313707,NA,NA,NA
"ABpraapapa_X20230224_RW10265_tbx.8_die.1_L4","ABpraapapa","X20230224_RW10265_tbx.8_die.1_L4",320.4,308.490909090909,4.80792095360395,99.4,85.5181818181818,2.64334498831929,13.8818181818182,5.25161045688728,NA,NA,NA
"ABpraapapp_X20230224_RW10265_tbx.8_die.1_L4","ABpraapapp","X20230224_RW10265_tbx.8_die.1_L4",291.9,285.968181818182,4.6969479820752,70.9,62.9636363636364,1.85896680329628,7.93636363636364,4.26923365295769,NA,NA,NA
"ABpraappa_X20230224_RW10265_tbx.8_die.1_L4","ABpraappa","X20230224_RW10265_tbx.8_die.1_L4",214.8,223.877272727273,3.07956889657377,44.5,53.9818181818182,2.11809356410909,-9.48181818181818,-4.47658136660569,NA,NA,NA
"ABprapaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABprapaaaa","X20230224_RW10265_tbx.8_die.1_L4",313.7,306.022727272727,3.76752183526795,92.7,80.1227272727273,2.92166485776954,12.5772727272727,4.30483075217411,NA,NA,NA
"ABprapaaap_X20230224_RW10265_tbx.8_die.1_L4","ABprapaaap","X20230224_RW10265_tbx.8_die.1_L4",311.9,302.131818181818,4.62028512453881,90.9,76.2318181818182,3.85985274375373,14.6681818181818,3.80019207777262,NA,NA,NA
"ABprapapp_X20230224_RW10265_tbx.8_die.1_L4","ABprapapp","X20230224_RW10265_tbx.8_die.1_L4",213.1,217.890909090909,1.87817264050259,41.4,46.9454545454545,1.24469436781246,-5.54545454545455,-4.45527407278352,NA,NA,NA
"ABprpaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABprpaaaa","X20230224_RW10265_tbx.8_die.1_L4",211.6,219.85,2.62601454317229,39.9,46.0818181818182,1.7239589995225,-6.18181818181818,-3.58582668354085,NA,NA,NA
"ABprpaapa_X20230224_RW10265_tbx.8_die.1_L4","ABprpaapa","X20230224_RW10265_tbx.8_die.1_L4",213.1,222.109090909091,2.26608726997693,44.4,49.5363636363636,1.14955289633486,-5.13636363636364,-4.468140311542,NA,NA,NA
"ABprpaapap_X20230224_RW10265_tbx.8_die.1_L4","ABprpaapap","X20230224_RW10265_tbx.8_die.1_L4",300.3,299.722727272727,3.96603818368645,85.4,75.9818181818182,3.00676006036499,9.41818181818182,3.13233567996728,NA,NA,NA
"ABprpapapa_X20230224_RW10265_tbx.8_die.1_L4","ABprpapapa","X20230224_RW10265_tbx.8_die.1_L4",295.3,289.527272727273,2.83384003617871,72.7,66.7363636363636,1.5764775245088,5.96363636363637,3.78288701927072,NA,NA,NA
"ABprpappaa_X20230224_RW10265_tbx.8_die.1_L4","ABprpappaa","X20230224_RW10265_tbx.8_die.1_L4",278.7,286.368181818182,3.15087083406905,56.1,67.0409090909091,2.43987882035331,-10.9409090909091,-4.48420183807521,NA,NA,NA
"ABprppaa_X20230224_RW10265_tbx.8_die.1_L4","ABprppaa","X20230224_RW10265_tbx.8_die.1_L4",173.2,178.327272727273,1.78116650332138,35.1,41.0227272727273,1.65124248116433,-5.92272727272727,-3.58683072915555,NA,NA,NA
"ABprppaapp_X20230224_RW10265_tbx.8_die.1_L4","ABprppaapp","X20230224_RW10265_tbx.8_die.1_L4",318.7,307.927272727273,3.86093768751061,91.4,76.4045454545455,4.13596044845316,14.9954545454545,3.62562812975226,NA,NA,NA
"ABprppapaa_X20230224_RW10265_tbx.8_die.1_L4","ABprppapaa","X20230224_RW10265_tbx.8_die.1_L4",305.2,295.559090909091,3.60471372496639,84.2,68.7227272727273,2.42937025313965,15.4772727272727,6.37089908681903,NA,NA,NA
"ABprppappa_X20230224_RW10265_tbx.8_die.1_L4","ABprppappa","X20230224_RW10265_tbx.8_die.1_L4",317,308.318181818182,3.55455929404641,92.9,76.85,3.66563838395235,16.05,4.37850063723271,NA,NA,NA
"ABprpppaa_X20230224_RW10265_tbx.8_die.1_L4","ABprpppaa","X20230224_RW10265_tbx.8_die.1_L4",213.1,223.213636363636,2.25605966118035,41.4,49.3727272727273,1.60035169294925,-7.97272727272728,-4.98185949241851,NA,NA,NA
"ABprpppaaa_X20230224_RW10265_tbx.8_die.1_L4","ABprpppaaa","X20230224_RW10265_tbx.8_die.1_L4",305.2,301.695238095238,4.64321830097145,90.4,76.9047619047619,3.49720977215783,13.4952380952381,3.85885862571845,NA,NA,NA
"ABprpppap_X20230224_RW10265_tbx.8_die.1_L4","ABprpppap","X20230224_RW10265_tbx.8_die.1_L4",227.3,223.768181818182,2.26576726490196,55.5,49.9227272727273,1.67187713668593,5.57727272727273,3.33593456414401,NA,NA,NA
"ABprpppapa_X20230224_RW10265_tbx.8_die.1_L4","ABprpppapa","X20230224_RW10265_tbx.8_die.1_L4",296.9,279.428571428571,3.15628624448779,68,54,1.70528589978338,14,8.20976705535325,NA,NA,NA
"C_X20230224_RW10265_tbx.8_die.1_L4","C","X20230224_RW10265_tbx.8_die.1_L4",77.1,66.4227272727273,2.16859221795897,12.1,17.8714285714286,1.44607844086787,-5.77142857142857,-3.9910895621712,NA,NA,NA
"Cappap_X20230224_RW10265_tbx.8_die.1_L4","Cappap","X20230224_RW10265_tbx.8_die.1_L4",330.6,319.471428571429,4.36957009980877,98.5,81.6333333333333,3.19332637438351,16.8666666666667,5.28184867101875,NA,NA,NA
"Capppa_X20230224_RW10265_tbx.8_die.1_L4","Capppa","X20230224_RW10265_tbx.8_die.1_L4",330.6,321.53,7.29181949714524,92.2,79.1,3.6175013185172,13.1,3.62128409820999,NA,NA,NA
"Capppp_X20230224_RW10265_tbx.8_die.1_L4","Capppp","X20230224_RW10265_tbx.8_die.1_L4",351.1,336.38125,8.93145891404833,112.8,93.88125,5.93039838459441,18.91875,3.19013138293472,NA,NA,NA
"Cpa_X20230224_RW10265_tbx.8_die.1_L4","Cpa","X20230224_RW10265_tbx.8_die.1_L4",125.9,126.086363636364,3.22716084191153,21.3,31.5909090909091,2.16880680184357,-10.2909090909091,-4.74496348967617,NA,NA,NA
