paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
AB NA															12												
ABa NA						11							12	11	12		12		14								
ABal 0.0638	15	6	15		7	14	14	15	10	5	6	7	16	15	15	14	14	14	14	15	15	10	4	7	10	13	10
ABala 0	20	19	17	11	19	18	19	17	18	17	20	19	18	16	16	18	19	18	17	18	18	16	14	15	14	14	13
ABalaa 0.034	27	27	25	23	28	24	24	27	24	27	28	24	26	24	26	24	26	28	26	24	27	26	23	24	20	21	26
ABalaaa 0	34	33	30	32	32	31	34	31	31	30	37	32	31	31	32	32	34	33	33	32	33	29	29	29	27	29	29
ABalaaaa 0.0019	44	46	42	42	42	42	43	43	43	41	49	42	40	42	41	42	44	44	40	42	43	43	40	41	41	40	38
ABalaaaal 0	45	47	50	49	52	46	51	50	51	49	51	52	49	47	47	47	49	50	48	50	49	49	45	45	44	45	42
ABalaaaala 0.0516	109	100		90	103	100		84	95	83		102			91	104	104	93	108	107	88	93	110	96	123	123	105
ABalaaaalal NA																											
ABalaaaalar NA																											
ABalaaaalp 0.0412	99	90	89	94	97	91	89	89	89	90	83	92	98	108	89	87	90	90	89	93	88	86	103	94	122	106	100
ABalaaaalpa NA																											
ABalaaaalpp NA																											
