Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
AB	NA	NA	NA	NA	NA	NA
ABa	16	NA	NA	NA	NA	NA
ABal	17	4.5	6	10.5	13.5	9
ABala	21	13.5	13.5	15.1	15.1	12
ABalaa	29	22.6	21.1	22.6	22.5	24.1
ABalaaa	28	28.4	25.6	30	30.1	26.9
ABalaaaa	38	39.1	36	45.2	42.3	36.1
ABalaaaal	67	44.2	39.3	48.2	46.9	39.6
ABalaaaala	84	108.4	84.3	135.4	129.1	98.3
ABalaaaalal	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA
ABalaaaalp	129	101.7	82.6	133.7	111.7	93.2
ABalaaaalpa	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA
ABalaaaar	67	45.7	43.8	53	46.9	41.1
ABalaaaarl	74	83.5	69.8	90.9	111.7	105.2
ABalaaaarla	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA
ABalaaaarr	74	75.1	69.8	96.1	89.1	90.1
ABalaaaarra	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA
ABalaaap	38	33.1	31.5	36.1	33	31.6
ABalaaapa	57	47.1	42.3	51	52.7	45.6
ABalaaapal	54	78.2	64.7	85	82.1	71.9
ABalaaapall	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA
ABalaaapar	64	99.8	72.8	108.9	89	85.1
ABalaaaparl	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA
ABalaaapp	57	45.4	39.2	59	46.4	44.1
ABalaaappl	64	106.3	74.2	113	90.2	103.3
ABalaaappll	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA
ABalaaappr	54	78.1	67.7	89	91.9	75.1
ABalaaapprl	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA
ABalaap	28	26.9	27.1	30	28.6	25.4
ABalaapa	38	36.1	31.5	39.2	39.2	37.6
ABalaapaa	67	50.2	45.3	54.3	49.9	45.8
ABalaapaaa	84	113.6	74.7	NA	125.4	103.8
ABalaapaaal	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA
ABalaapaap	79	103.5	76.4	118.1	111.4	95.5
ABalaapaapa	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA
ABalaapap	67	50.2	43.8	52.8	51.5	45.8
ABalaapapa	NA	NA	NA	NA	NA	NA
ABalaapapp	54	91.8	71.3	93.8	90.8	83.8
ABalaapappa	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA
ABalaapp	38	33.1	28.5	34.6	34.5	31.6
ABalaappa	67	163.4	54.7	102.6	145.1	56.4
ABalaappaa	NA	NA	NA	NA	NA	NA
ABalaappap	54	NA	66.9	NA	NA	87.5
ABalaappapa	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA
ABalaappp	52	50.1	45.3	52.6	49.5	45.6
ABalaapppa	89	106.6	87.6	119.2	126.7	113.5
ABalaapppaa	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA
ABalaapppp	64	68.5	61.5	71.6	88.7	70.1
ABalaappppa	119	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA
ABalap	29	22.6	21.1	22.6	22.5	22.6
ABalapa	28	25.4	24.1	27	28.6	26.9
ABalapaa	38	34.6	31.5	39.1	37.7	33.1
ABalapaaa	47	46.9	45.3	51	51.4	47.2
ABalapaaaa	119	142	95.9	NA	118.4	125.7
ABalapaaaaa	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA
ABalapaaap	69	86.3	66.3	96.9	80.6	73.6
ABalapaaapa	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA
ABalapaap	48	45.4	42.3	52.6	49.7	47.2
ABalapaapa	98	99.6	94	109	127	96.9
ABalapaapaa	NA	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA	NA
ABalapaapp	63	73.2	62.9	81.8	85.5	67.1
ABalapaappa	109	NA	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA
ABalapap	38	31.6	30	37.6	33	31.6
ABalapapa	48	48.4	43.8	49.4	51.2	45.6
ABalapapaa	NA	NA	NA	NA	NA	NA
ABalapapap	63	73.2	64.6	84.9	75.2	65.2
ABalapapapa	119	NA	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA
ABalapapp	42	42.3	40.8	52.6	46.5	42.4
ABalapappa	64	58.2	56.4	69.9	65	57
ABalapappaa	114	NA	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA
ABalapappp	74	82.5	67.6	105.4	91.8	84.8
ABalapapppa	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA
ABalapp	28	25.4	24.1	30	28.6	26.9
ABalappa	38	34.6	33	42.2	39.2	37.6
ABalappaa	67	54.8	43.8	59.3	59.5	56.7
ABalappaaa	NA	NA	NA	NA	NA	NA
ABalappaap	99	134.3	95.9	NA	117.6	NA
ABalappaapa	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA
ABalappap	52	43.9	39.2	49.8	48.2	44.2
ABalappapa	104	136.6	90.5	NA	132.3	110.5
ABalappapaa	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA
ABalappapp	64	73	58	78.6	73.6	68.8
ABalappappa	NA	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA	NA
ABalappp	38	31.6	30	34.6	31.5	31.6
ABalapppa	48	43.8	40.8	44.6	44.8	39.3
ABalapppaa	83	84.3	70.9	92.9	89.9	82.9
ABalapppaaa	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA
ABalapppap	63	71.2	56.4	77.8	78.1	61.6
ABalapppapa	119	NA	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA	NA
ABalapppp	42	42.3	40.8	44.6	43.2	42.4
ABalappppa	64	58.2	53.1	66.2	59.7	58.6
ABalappppaa	114	NA	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA	NA
ABalappppp	74	80.9	70.9	94.6	88.1	74.9
ABalapppppa	NA	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA	NA
ABalp	21	13.5	13.5	15.1	13.6	12
ABalpa	29	21.1	21.1	22.6	24	22.6
ABalpaa	28	25.4	24.1	25.5	25.6	23.9
ABalpaaa	38	36.1	34.5	40.6	42.2	34.6
ABalpaaaa	62	51.7	42.3	55.9	51.5	39.3
ABalpaaaaa	84	78.5	69.6	87	77.3	60
ABalpaaaaaa	NA	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA	NA
ABalpaaaap	84	81.7	64.7	87	75.6	77.9
ABalpaaaapa	NA	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA	NA
ABalpaaap	62	45.4	43.8	54.2	49.9	45.6
ABalpaaapa	109	84.7	66.4	102.1	102.9	85
ABalpaaapaa	NA	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA	NA
ABalpaaapp	104	78.1	61.6	88.5	97.7	75.1
ABalpaaappa	NA	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA	NA
ABalpaap	38	30.1	28.5	30.1	31.5	28.6
ABalpaapa	48	36.2	31.6	39.6	38.3	36.2
ABalpaapaa	78	85.1	60.6	77	69.1	67.6
ABalpaapaaa	NA	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA	NA
ABalpaapap	58	48.1	41.5	50.8	46.1	43.5
