Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
AB	15	NA	NA	NA	NA	NA
ABa	NA	NA	NA	9.5	5.7	NA
ABal	NA	NA	NA	NA	NA	NA
ABala	NA	NA	NA	NA	NA	NA
ABalaa	NA	NA	NA	NA	NA	NA
ABalaaa	NA	NA	NA	NA	NA	NA
ABalaaaa	NA	NA	NA	NA	NA	NA
ABalaaaal	NA	NA	NA	NA	NA	NA
ABalaaaala	NA	NA	NA	NA	NA	NA
ABalaaaalal	225	31.1	84.7	8	13.5	58.5
ABalaaaalar	45	31.1	63.2	8	13.5	58.5
ABalaaaalp	NA	NA	NA	NA	NA	NA
ABalaaaalpa	35	36.3	86.6	9.6	30.1	63.8
ABalaaaalpp	180	38	86.6	9.6	30.1	63.8
ABalaaaar	NA	NA	NA	NA	NA	NA
ABalaaaarl	NA	NA	NA	NA	NA	NA
ABalaaaarla	90	55	95.9	44.3	30.1	49.5
ABalaaaarlp	235	55	95.9	44.3	30.1	49.5
ABalaaaarr	NA	NA	NA	NA	NA	NA
ABalaaaarra	90	63.3	95.9	39.6	51.6	65.6
ABalaaaarrp	235	63.3	95.9	39.6	51.6	65.6
ABalaaap	NA	NA	NA	NA	NA	NA
ABalaaapa	NA	NA	NA	NA	NA	NA
ABalaaapal	NA	NA	NA	NA	NA	NA
ABalaaapall	265	65	108.9	59.8	61.3	85.1
ABalaaapalr	265	65	108.9	59.8	61.3	85.1
ABalaaapar	NA	NA	NA	NA	NA	NA
ABalaaaparl	95	43.1	99.7	38	53.1	69
ABalaaaparr	255	43.1	99.7	38	54.8	70.9
ABalaaapp	NA	NA	NA	NA	NA	NA
ABalaaappl	NA	NA	NA	NA	NA	NA
ABalaaappll	255	38	101.5	27	59.6	53
ABalaaapplr	95	38	101.5	27	59.6	53
ABalaaappr	NA	NA	NA	NA	NA	NA
ABalaaapprl	265	66.7	108.9	39.3	58	83.3
ABalaaapprr	265	66.7	108.9	49	58	83.3
ABalaap	NA	NA	NA	NA	NA	NA
ABalaapa	NA	NA	NA	NA	NA	NA
ABalaapaa	NA	NA	NA	NA	NA	NA
ABalaapaaa	NA	NA	NA	133	NA	NA
ABalaapaaal	50	24.3	92.2	NA	18.5	45.9
ABalaapaaar	225	24.3	92.2	NA	18.5	45.9
ABalaapaap	NA	NA	NA	NA	NA	NA
ABalaapaapa	80	34.6	90.3	23.9	31.8	54.9
ABalaapaapp	230	34.6	90.3	23.9	31.8	54.9
ABalaapap	NA	NA	NA	NA	NA	NA
ABalaapapa	20	141.4	99.9	77.7	80	100.1
ABalaapapp	NA	NA	NA	NA	NA	NA
ABalaapappa	95	46.5	97.7	45.8	49.8	67.4
ABalaapappp	255	46.5	97.7	47.4	49.8	67.4
ABalaapp	NA	NA	NA	NA	NA	NA
ABalaappa	NA	NA	NA	NA	NA	NA
ABalaappaa	20	29.4	98.8	93.2	53.2	79.1
ABalaappap	NA	29.4	NA	93.2	53.2	NA
ABalaappapa	255	NA	94.1	NA	NA	58.5
ABalaappapp	255	NA	94.1	NA	NA	58.5
ABalaappp	NA	NA	NA	NA	NA	NA
ABalaapppa	NA	NA	NA	NA	NA	NA
ABalaapppaa	235	32.8	81	28.6	21.8	42.2
ABalaapppap	20	34.6	45.8	28.6	21.8	42.2
ABalaapppp	NA	NA	NA	NA	NA	NA
ABalaappppa	NA	73.4	110.7	72	58	88.6
ABalaappppaa	140	NA	NA	NA	NA	NA
ABalaappppap	30	NA	NA	NA	NA	NA
ABalaappppp	260	73.4	110.7	72	56.3	88.6
ABalap	NA	NA	NA	NA	NA	NA
ABalapa	NA	NA	NA	NA	NA	NA
ABalapaa	NA	NA	NA	NA	NA	NA
ABalapaaa	NA	NA	NA	NA	NA	NA
ABalapaaaa	NA	NA	NA	138.8	NA	NA
ABalapaaaaa	210	1.7	71.5	NA	25.2	25.8
ABalapaaaap	50	1.7	71.5	NA	25.2	25.8
ABalapaaap	NA	NA	NA	NA	NA	NA
ABalapaaapa	260	58.3	105.3	49	61.3	81.6
ABalapaaapp	260	58.3	105.3	49	61.3	81.6
ABalapaap	NA	NA	NA	NA	NA	NA
ABalapaapa	NA	NA	NA	NA	NA	NA
ABalapaapaa	230	46.5	77.2	36.5	11.8	56.7
