Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
AB	NA	NA	NA	NA	NA	NA
ABa	16	NA	NA	NA	NA	NA
ABal	17	4.5	6.8	9.5	12.8	9.6
ABala	21	13.7	15.3	13.7	14.3	12.8
ABalaa	29	22.9	24	20.5	21.4	25.7
ABalaaa	28	28.9	29.1	27.4	28.6	28.8
ABalaaaa	38	39.7	41.1	41.1	40.2	38.5
ABalaaaal	67	44.8	44.7	43.9	44.6	42.2
ABalaaaala	84	110.1	96	123.4	122.9	105.1
ABalaaaalal	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA
ABalaaaalp	129	103.3	94.1	121.8	106.3	99.6
ABalaaaalpa	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA
ABalaaaar	67	46.4	50	48.2	44.6	43.9
ABalaaaarl	74	84.7	79.6	82.7	106.3	112.3
ABalaaaarla	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA
ABalaaaarr	74	76.3	79.6	87.5	84.9	96.2
ABalaaaarra	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA
ABalaaap	38	33.6	35.9	32.8	31.5	33.7
ABalaaapa	57	47.8	48.2	46.5	50.2	48.7
ABalaaapal	54	79.5	73.7	77.4	78.2	76.8
ABalaaapall	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA
ABalaaapar	64	101.3	82.9	99.1	84.7	90.9
ABalaaaparl	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA
ABalaaapp	57	46.2	44.6	53.7	44.1	47.1
ABalaaappl	64	108	84.5	102.9	85.9	110.4
ABalaaappll	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA
ABalaaappr	54	79.3	77.1	81	87.5	80.2
ABalaaapprl	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA
ABalaap	28	27.4	30.8	27.4	27.2	27.2
ABalaapa	38	36.6	36	35.7	37.3	40.1
ABalaapaa	67	50.9	51.7	49.4	47.5	48.9
ABalaapaaa	84	115.3	85.1	NA	119.4	110.9
ABalaapaaal	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA
ABalaapaap	79	105	87	107.5	106.1	102
ABalaapaapa	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA
ABalaapap	67	50.9	50	48	49	48.9
ABalaapapa	NA	NA	NA	NA	NA	NA
ABalaapapp	54	93.2	81.2	85.5	86.5	89.5
ABalaapappa	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA
ABalaapp	38	33.6	32.4	31.5	32.9	33.7
ABalaappa	67	165.9	62.3	93.4	138.1	60.3
ABalaappaa	NA	NA	NA	NA	NA	NA
ABalaappap	54	NA	76.2	NA	NA	93.4
ABalaappapa	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA
ABalaappp	52	50.8	51.7	47.9	47.2	48.7
ABalaapppa	89	108.2	99.8	108.5	120.7	121.2
ABalaapppaa	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA
ABalaapppp	64	69.5	70	65.2	84.5	74.9
ABalaappppa	119	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA
ABalap	29	22.9	24	20.5	21.4	24.1
ABalapa	28	25.8	27.4	24.6	27.2	28.8
ABalapaa	38	35.1	35.9	35.6	35.8	35.3
ABalapaaa	47	47.7	51.7	46.5	48.9	50.4
ABalapaaaa	119	144.1	109.3	NA	112.8	134.2
ABalapaaaaa	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA
ABalapaaap	69	87.7	75.5	88.2	76.7	78.7
ABalapaaapa	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA
ABalapaap	48	46.2	48.3	48	47.4	50.4
ABalapaapa	98	101.1	107.1	99.2	121	103.5
ABalapaapaa	NA	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA	NA
ABalapaapp	63	74.3	71.6	74.5	81.5	71.6
ABalapaappa	109	NA	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA
ABalapap	38	32	34.1	34.2	31.5	33.7
ABalapapa	48	49.2	50	44.9	48.7	48.7
ABalapapaa	NA	NA	NA	NA	NA	NA
ABalapapap	63	74.3	73.6	77.3	71.5	69.7
ABalapapapa	119	NA	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA
ABalapapp	42	42.9	46.5	47.9	44.2	45.3
ABalapappa	64	59	64.2	63.6	61.8	60.8
ABalapappaa	114	NA	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA
ABalapappp	74	83.7	77.1	96	87.4	90.5
ABalapapppa	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA
ABalapp	28	25.8	27.4	27.4	27.2	28.8
ABalappa	38	35.1	37.6	38.4	37.3	40.1
ABalappaa	67	55.6	49.9	54	56.6	60.5
ABalappaaa	NA	NA	NA	NA	NA	NA
ABalappaap	99	136.3	109.3	NA	111.9	NA
ABalappaapa	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA
ABalappap	52	44.6	44.6	45.3	45.9	47.2
ABalappapa	104	138.7	103.1	NA	125.9	118
ABalappapaa	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA
ABalappapp	64	74.1	66.1	71.6	70.1	73.4
ABalappappa	NA	NA	NA	NA	NA	NA
ABalappappp	NA	NA	NA	NA	NA	NA
ABalappp	38	32	34.1	31.5	30	33.7
ABalapppa	48	44.5	46.5	40.7	42.6	42
ABalapppaa	83	85.5	80.8	84.6	85.5	88.5
ABalapppaaa	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA
ABalapppap	63	72.2	64.2	70.8	74.3	65.7
ABalapppapa	119	NA	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA	NA
ABalapppp	42	42.9	46.5	40.7	41.1	45.3
ABalappppa	64	59	60.6	60.2	56.8	62.5
ABalappppaa	114	NA	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA	NA
ABalappppp	74	82.1	80.8	86.1	83.8	80
ABalapppppa	NA	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA	NA
ABalp	21	13.7	15.3	13.7	12.9	12.8
ABalpa	29	21.4	24	20.5	22.8	24.1
ABalpaa	28	25.8	27.4	23.3	24.3	25.6
ABalpaaa	38	36.6	39.4	36.9	40.1	36.9
ABalpaaaa	62	52.4	48.2	50.9	49	42
ABalpaaaaa	84	79.7	79.3	79.3	73.5	64
ABalpaaaaaa	NA	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA	NA
ABalpaaaap	84	83	73.7	79.3	71.9	83.2
ABalpaaaapa	NA	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA	NA
ABalpaaap	62	46.2	50	49.4	47.5	48.7
ABalpaaapa	109	86	75.6	93	97.9	90.7
ABalpaaapaa	NA	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA	NA
ABalpaaapp	104	79.3	70.2	80.6	93	80.2
ABalpaaappa	NA	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA	NA
ABalpaap	38	30.5	32.4	27.4	30	30.5
ABalpaapa	48	36.7	36	36.1	36.5	38.6
ABalpaapaa	78	86.5	69	70.1	65.8	72.2
ABalpaapaaa	NA	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA	NA
ABalpaapap	58	48.9	47.4	46.2	43.9	46.4
