paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
AB NA																											
ABa NA						-1							0	-1	0		0		2								
ABal 0.0638	3	-6	3		-5	2	1	3	-3	-7	-6	-5	3	3	3	2	2	2	1	3	3	-2	-8	-5	-3	1	-3
ABala 0	2	2	-1	-7	1	0	1	0	0	-1	2	1	0	-1	-2	0	1	1	0	0	1	-1	-4	-2	-4	-3	-5
ABalaa 0.034	1	1	0	-2	2	-2	-2	1	-1	1	2	-2	1	-1	0	-1	0	2	0	-2	1	1	-3	-2	-5	-4	0
ABalaaa 0	2	1	-2	0	0	-1	2	-1	-1	-2	4	0	-1	-1	-1	-1	1	1	1	0	1	-3	-3	-3	-5	-4	-3
ABalaaaa 0.0019	2	3	-1	-1	-1	-1	0	0	0	-2	6	-1	-2	-1	-1	0	1	2	-2	-1	0	0	-3	-2	-2	-3	-4
ABalaaaal 0	-4	-2	1	0	3	-3	2	1	2	0	2	3	0	-2	-2	-2	0	1	-1	1	0	0	-4	-4	-5	-4	-7
ABalaaaala 0.0516	12	2		-7	5	3		-13	-2	-14		5			-6	6	6	-5	10	10	-9	-4	13	-1	26	26	8
ABalaaaalal NA																											
ABalaaaalar NA																											
ABalaaaalp 0.0412	8	-1	-2	2	6	-1	-3	-2	-2	-1	-8	1	7	17	-2	-5	-1	-1	-2	1	-4	-6	12	3	30	15	8
ABalaaaalpa NA																											
ABalaaaalpp NA																											
ABalaaaar 0.0244	-4	-2	3	2	-2	-1	1	2	0	4	0	3	0	-2	-1	-1	-3	0	0	-1	3	0	-4	0	-2	-6	-6
ABalaaaarl 0.1017	4	2	1	2	-2	-4	-2	-1	5	3	-4	6	4	-1	-3	-1	-4	7	-7	2	-4	-6	6	1	4	27	33
ABalaaaarla NA																											
ABalaaaarlp NA																											
ABalaaaarr 0.1874	1	0	10	6	7	-9	-2	3	0	1	-1	-1	2	-2	0	1	-5	1	2	-1	-4	-5	-3	0	8	6	17
ABalaaaarra NA																											
ABalaaaarrp NA																											
ABalaaap 0.0037	4	1	0	-3	0	-2	-1	-1	-1	-1	4	0	0	-2	-2	0	0	2	0	0	1	0	-4	-1	-4	-6	-3
ABalaaapa 0.9526	-2	-1	5	-1	-1	1	-1	0	-1	-1	1	2	-1	-2	-1	2	-2	0	0	1	3	-1	0	0	-2	2	0
ABalaaapal 0.0029	1	-4	3	0	-1	2	0	1	3	-2	0	2	-1	4	-3	1	-2	-1	0	3	-4	-4	8	2	5	6	5
ABalaaapall NA																											
ABalaaapalr NA																											
ABalaaapar 0.2017	-3	3		-1	7	-2	3	-5	3	-8	1	1	5	1	0	-4	4	7	2	2	-11	-4	15	-3	13	-1	5
ABalaaaparl NA																											
ABalaaaparr NA																											
ABalaaapp 0.4773	-2	-1	1	0	-2	-1	1	-1	-1	-1	-1	3	2	0	2	0	-1	2	-4	0	1	1	-2	-4	5	-4	-1
ABalaaappl 0.0706	-2	2	9	-6	1	-2	-1	-2	4	-3	0	4	6	4	1	-3	3	1	-8	2	-5	-4	23	0	18	1	25
ABalaaappll NA																											
ABalaaapplr NA																											
ABalaaappr 0.0044	0	0	18	-2	-2	10	-1	0	-1	-4	-3	6	-1	-1	-2	-1	0	-4	-2	-3	-3	-5	7	4	8	15	7
ABalaaapprl NA																											
ABalaaapprr NA																											
ABalaap 0.0011	4	-1	-2	0	1	0	1	-2	-1	0	4	-2	-1	-1	-1	3	0	1	-1	0	0	-1	-5	-2	-5	-5	-5
ABalaapa 6e-04	-3	0	3	-3	-2	2	-2	-3	-1	-1	0	0	0	2	1	0	2	7	0	-1	2	-3	-6	-6	-7	-5	-2
ABalaapaa 0.0032	1	3	1	1	1	0	0	-2	2	0	-3	1	-3	0	0	-1	-3	4	-2	1	0	-1	-3	-2	-4	-6	-5
ABalaapaaa 0.2734	0	10		-2				-5	0		-4	3			2	-5	8		4	-3	-6	-2	18	-12		22	14
ABalaapaaal NA																											
ABalaapaaar NA																											
ABalaapaap 0.017	2	3		-4	5	0	0	-1	-5	1	-6	-2	2		4	0	6	4	1	-3	-1	-6	18	0	20	19	15
ABalaapaapa NA																											
ABalaapaapp NA																											
ABalaapap 0.0014	-1	0	2	-2	0	-1	0	-1	0	2	-2	3	-1	-2	2	-2	-1	5	-1	0	1	-1	-1	-2	-4	-3	-3
ABalaapapa NA																											
ABalaapapp 9e-04	0	-3	5	-4	2	-4	4	5	-2	-1	-4	0	-3	5	3	-2	-3	11	-1	-4	-2	-4	20	8	12	13	16
ABalaapappa NA																											
ABalaapappp NA																											
ABalaapp 1e-04	-1	0	1	-2	0	-3	0	0	0	1	2	2	1	0	0	1	-1	0	-1	2	0	-1	-3	-4	-5	-4	-3
ABalaappa 0.072	0	2	0	-3	1	2	4	-2	1	-1	0	2	-1	0	4	-2	0	-1	-3	0	-2	-1	113	9	40	85	7
ABalaappaa NA																											
ABalaappap 0.5027	-6	2	-3	-2	6	0	1	2	3	-1	-5	-3	8	8	0	0	0	0	-1	2	-8	-2		0			17
ABalaappapa NA																											
ABalaappapp NA																											
ABalaappp 0.014	0	-2	1	-2	-3	0	6	0	0	1	0	0	-2	-2	0	1	-1	0	-1	3	1	0	5	6	2	1	3
ABalaapppa 0.0061	-1	-3	2	-4	3	3	-2	1	0	-2	-6	-3	-2	23	-2	-2	0	-7	3	0	3	-6	16	8	17	29	29
ABalaapppaa NA																											
ABalaapppap NA																											
ABalaapppp 0.076	-1	2	-4	-2	1	0	1	3	0	-1	-2	0	-1	3	-2	0	5	1	2	2	1	-5	5	5	0	20	10
ABalaappppa NA																			1		-4	3					
ABalaappppaa NA																											
ABalaappppap NA																											
ABalaappppp NA																											
