Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
AB,34.9142857142857,0,0,0,0,0,NA,NA,NA
ABa,41.9363636363636,0,0,0,0,0,NA,12.05,NA
ABal,55.0954545454545,0,0,0,0,0,0.0638417442825375,12.2095238095238,8.64
ABala,74.2454545454545,0,0,0,0,0,3.92881329220985e-05,17.4590909090909,13.96
ABalaa,101.718181818182,0,1,0,0,1,0.0340398559920011,25.7272727272727,22.9
ABalaaa,135.586363636364,0,0,0,0,0,6.58540201238348e-07,32.1590909090909,28.56
ABalaaaa,179.959090909091,0,0,0,0,0,0.00189066742457825,42.7227272727273,40.12
ABalaaaal,230.536363636364,0,1,0,0,1,1.31788303004728e-05,48.9409090909091,44.04
ABalaaaala,329.247058823529,2,0,0,0,2,0.0515563708733139,97.3294117647059,111.5
ABalaaaalal,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalar,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalp,323.577272727273,1,0,0,0,1,0.0412224609705863,91.4136363636364,105.02
ABalaaaalpa,NA,0,0,0,0,0,NA,NA,NA
ABalaaaalpp,NA,0,0,0,0,0,NA,NA,NA
ABalaaaar,232,0,1,0,0,1,0.0244268683501984,50.3954545454545,46.62
ABalaaaarl,312.536363636364,2,0,0,0,2,0.101735086857451,78.9045454545455,93.12
ABalaaaarla,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarlp,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarr,313.013636363636,1,0,0,0,1,0.18742334246273,79.3954545454545,84.9
ABalaaaarra,NA,0,0,0,0,0,NA,NA,NA
ABalaaaarrp,NA,0,0,0,0,0,NA,NA,NA
ABalaaap,174.35,0,1,0,0,1,0.00367719353722662,37.1,33.5
ABalaaapa,224.254545454545,0,0,0,0,0,0.952596162622075,48.2363636363636,48.28
ABalaaapal,297.836363636364,1,0,0,0,1,0.00286058168327563,71.9636363636364,77.12
ABalaaapall,NA,0,0,0,0,0,NA,NA,NA
ABalaaapalr,NA,0,0,0,0,0,NA,NA,NA
ABalaaapar,311.804761904762,1,0,0,0,1,0.201683303730318,86.0714285714286,91.78
ABalaaaparl,NA,0,0,0,0,0,NA,NA,NA
ABalaaaparr,NA,0,0,0,0,0,NA,NA,NA
ABalaaapp,224.531818181818,1,0,0,0,1,0.477336294540733,48.5090909090909,47.14
ABalaaappl,311.059090909091,3,0,0,0,3,0.0706457225331973,84.9227272727273,98.34
ABalaaappll,NA,0,0,0,0,0,NA,NA,NA
ABalaaapplr,NA,0,0,0,0,0,NA,NA,NA
ABalaaappr,298.890909090909,0,0,0,0,0,0.00437029543888678,72.7636363636364,81.02
ABalaaapprl,NA,0,0,0,0,0,NA,NA,NA
ABalaaapprr,NA,0,0,0,0,0,NA,NA,NA
ABalaap,135.818181818182,0,0,0,0,0,0.00114501018794825,32.3954545454545,28
ABalaapa,179.909090909091,0,0,0,0,0,0.000568221061977835,42.4318181818182,37.14
ABalaapaa,235.045454545455,0,1,0,0,1,0.00321105760899536,53.5181818181818,49.68
