Series	Minutes	TPs	nCells	AB	E	MS	C	D
20081128_sulston	1	1	2	1	0	0	0	0
20081128_sulston	2	2	2	1	0	0	0	0
20081128_sulston	3	3	2	1	0	0	0	0
20081128_sulston	4	4	2	1	0	0	0	0
20081128_sulston	5	5	2	1	0	0	0	0
20081128_sulston	6	6	2	1	0	0	0	0
20081128_sulston	7	7	2	1	0	0	0	0
20081128_sulston	8	8	2	1	0	0	0	0
20081128_sulston	9	9	2	1	0	0	0	0
20081128_sulston	10	10	2	1	0	0	0	0
20081128_sulston	11	11	2	1	0	0	0	0
20081128_sulston	12	12	2	1	0	0	0	0
20081128_sulston	13	13	2	1	0	0	0	0
20081128_sulston	14	14	2	1	0	0	0	0
20081128_sulston	15	15	2	1	0	0	0	0
20081128_sulston	16	16	2	1	0	0	0	0
20081128_sulston	17	17	4	2	0	0	0	0
20081128_sulston	18	18	4	2	0	0	0	0
20081128_sulston	19	19	4	2	0	0	0	0
20081128_sulston	20	20	4	2	0	0	0	0
20081128_sulston	21	21	4	2	0	0	0	0
20081128_sulston	22	22	4	2	0	0	0	0
20081128_sulston	23	23	4	2	0	0	0	0
20081128_sulston	24	24	4	2	0	0	0	0
20081128_sulston	25	25	4	2	0	0	0	0
20081128_sulston	26	26	4	2	0	0	0	0
20081128_sulston	27	27	4	2	0	0	0	0
20081128_sulston	28	28	4	2	0	0	0	0
20081128_sulston	29	29	4	2	0	0	0	0
20081128_sulston	30	30	4	2	0	0	0	0
20081128_sulston	31	31	4	2	0	0	0	0
20081128_sulston	32	32	4	2	0	0	0	0
20081128_sulston	33	33	4	2	0	0	0	0
20081128_sulston	34	34	6	4	0	0	0	0
20081128_sulston	35	35	6	4	0	0	0	0
20081128_sulston	36	36	6	4	0	0	0	0
20081128_sulston	37	37	6	4	0	0	0	0
20081128_sulston	38	38	6	4	0	0	0	0
20081128_sulston	39	39	6	4	0	0	0	0
20081128_sulston	40	40	7	4	1	1	0	0
20081128_sulston	41	41	7	4	1	1	0	0
20081128_sulston	42	42	7	4	1	1	0	0
20081128_sulston	43	43	8	4	1	1	1	0
20081128_sulston	44	44	8	4	1	1	1	0
20081128_sulston	45	45	8	4	1	1	1	0
20081128_sulston	46	46	8	4	1	1	1	0
20081128_sulston	47	47	8	4	1	1	1	0
20081128_sulston	48	48	8	4	1	1	1	0
20081128_sulston	49	49	8	4	1	1	1	0
20081128_sulston	50	50	8	4	1	1	1	0
20081128_sulston	51	51	8	4	1	1	1	0
20081128_sulston	52	52	12	8	1	1	1	0
20081128_sulston	53	53	12	8	1	1	1	0
20081128_sulston	54	54	12	8	1	1	1	0
20081128_sulston	55	55	12	8	1	1	1	0
20081128_sulston	56	56	12	8	1	1	1	0
20081128_sulston	57	57	12	8	1	1	1	0
20081128_sulston	58	58	12	8	1	1	1	0
20081128_sulston	59	59	12	8	1	1	1	0
20081128_sulston	60	60	13	8	1	2	1	0
20081128_sulston	61	61	13	8	1	2	1	0
20081128_sulston	62	62	13	8	1	2	1	0
20081128_sulston	63	63	14	8	2	2	1	0
20081128_sulston	64	64	14	8	2	2	1	0
20081128_sulston	65	65	14	8	2	2	1	0
20081128_sulston	66	66	14	8	2	2	1	0
20081128_sulston	67	67	15	8	2	2	2	0
20081128_sulston	68	68	15	8	2	2	2	0
20081128_sulston	69	69	15	8	2	2	2	0
20081128_sulston	70	70	15	8	2	2	2	0
20081128_sulston	71	71	15	8	2	2	2	0
20081128_sulston	72	72	15	8	2	2	2	0
