Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
AB	16	0	0	0	0	0
ABa	33	0	0	10.5	6	0
ABal	51	6	7.5	22.5	21	10.5
ABala	73	21	22.5	39.1	37.6	24
ABalaa	103	45.1	45.1	63.2	61.6	49.6
ABalaaa	132	75.1	72.2	94.8	93.2	78.1
ABalaaaa	171	115.7	109.8	141.5	137	115.7
ABalaaaal	239	161.4	150.6	191.3	185.4	156.8
ABalaaaala	324	271.4	236.5	328.4	316.1	256.7
ABalaaaalal	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA
ABalaaaalp	369	264.7	234.8	326.7	298.7	251.6
ABalaaaalpa	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA
ABalaaaar	239	162.9	155.2	196.1	185.4	158.3
ABalaaaarl	314	248	226.7	288.6	298.7	265.1
ABalaaaarla	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA
ABalaaaarr	314	239.7	226.7	293.8	276.2	250
ABalaaaarra	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA
ABalaaap	171	109.7	105.2	132.4	127.8	111.2
ABalaaapa	229	158.3	149.1	185	182.2	158.3
ABalaaapal	284	238.1	215.3	271.6	266	231.8
ABalaaapall	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA
ABalaaapar	294	259.6	223.4	295.5	272.8	245
ABalaaaparl	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA
ABalaaapp	229	156.7	146	192.9	175.8	156.8
ABalaaappl	294	264.7	221.8	307.5	267.7	261.7
ABalaaappll	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA
ABalaaappr	284	236.4	215.3	283.5	269.4	233.4
ABalaaapprl	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA
ABalaap	132	73.6	73.7	94.8	91.7	76.6
ABalaapa	171	111.2	106.8	135.5	132.4	115.7
ABalaapaa	239	162.9	153.7	191.3	183.8	163
ABalaapaaa	324	278.1	229.9	NA	310.9	268.4
ABalaapaaal	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA
ABalaapaap	319	268	231.6	311	296.9	260
ABalaapaapa	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA
ABalaapap	239	162.9	152.2	189.8	185.4	163
ABalaapapa	NA	NA	NA	NA	NA	NA
ABalaapapp	294	256.3	225	285.2	277.9	248.3
ABalaapappa	NA	NA	NA	NA	NA	NA
