Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
AB	16	61.8	53	51.7	48.6	54.9
ABa	33	61.8	53	61.2	54.3	54.9
ABal	51	67.9	61.6	72.2	68.6	66.1
ABala	73	83.2	78.7	87.3	84.4	80.5
ABalaa	103	107.6	104.4	109.2	107.2	107.9
ABalaaa	132	138.1	135.3	138	137.3	138.3
ABalaaaa	171	179.3	178.2	180.6	179	178.5
ABalaaaal	239	225.7	224.7	225.9	225.1	222.4
ABalaaaala	324	337.4	322.6	350.8	349.5	329.1
ABalaaaalal	NA	NA	NA	NA	NA	NA
ABalaaaalar	NA	NA	NA	NA	NA	NA
ABalaaaalp	369	330.6	320.7	349.2	333	323.6
ABalaaaalpa	NA	NA	NA	NA	NA	NA
ABalaaaalpp	NA	NA	NA	NA	NA	NA
ABalaaaar	239	227.3	229.9	230.3	225.1	224
ABalaaaarl	314	313.7	311.4	314.5	333	338.1
ABalaaaarla	NA	NA	NA	NA	NA	NA
ABalaaaarlp	NA	NA	NA	NA	NA	NA
ABalaaaarr	314	305.2	311.4	319.3	311.5	321.9
ABalaaaarra	NA	NA	NA	NA	NA	NA
ABalaaaarrp	NA	NA	NA	NA	NA	NA
ABalaaap	171	173.2	172.9	172.3	170.2	173.7
ABalaaapa	229	222.6	223	220.2	222	224
ABalaaapal	284	303.6	298.4	299.1	301.8	302.5
ABalaaapall	NA	NA	NA	NA	NA	NA
ABalaaapalr	NA	NA	NA	NA	NA	NA
ABalaaapar	294	325.4	307.7	320.8	308.3	316.6
ABalaaaparl	NA	NA	NA	NA	NA	NA
ABalaaaparr	NA	NA	NA	NA	NA	NA
ABalaaapp	229	221	219.4	227.4	215.9	222.4
ABalaaappl	294	330.6	305.8	331.8	303.4	334.4
ABalaaappll	NA	NA	NA	NA	NA	NA
ABalaaapplr	NA	NA	NA	NA	NA	NA
ABalaaappr	284	301.9	298.4	309.9	305.1	304.2
ABalaaapprl	NA	NA	NA	NA	NA	NA
ABalaaapprr	NA	NA	NA	NA	NA	NA
ABalaap	132	136.6	137	138	135.9	136.7
ABalaapa	171	174.8	174.8	175.1	174.6	178.5
ABalaapaa	239	227.3	228.2	225.9	223.6	229
ABalaapaaa	324	344.2	315.1	NA	344.6	341.6
ABalaapaaal	NA	NA	NA	NA	NA	NA
ABalaapaaar	NA	NA	NA	NA	NA	NA
ABalaapaap	319	334	317	334.9	331.2	332.6
ABalaapaapa	NA	NA	NA	NA	NA	NA
ABalaapaapp	NA	NA	NA	NA	NA	NA
ABalaapap	239	227.3	226.5	224.5	225.1	229
ABalaapapa	NA	NA	NA	NA	NA	NA
ABalaapapp	294	322.1	309.5	311.4	313.2	320.1
ABalaapappa	NA	NA	NA	NA	NA	NA
ABalaapappp	NA	NA	NA	NA	NA	NA
ABalaapp	171	171.7	171.2	170.9	170.2	172.1
ABalaappa	239	339.1	235.3	265.7	309.9	234
ABalaappaa	NA	NA	NA	NA	NA	NA
ABalaappap	294	NA	313.2	NA	NA	329.1
ABalaappapa	NA	NA	NA	NA	NA	NA
ABalaappapp	NA	NA	NA	NA	NA	NA
ABalaappp	224	224.1	224.7	220.2	219	222.4
ABalaapppa	314	334	326.4	330.2	341.2	345.2
ABalaapppaa	NA	NA	NA	NA	NA	NA
ABalaapppap	NA	NA	NA	NA	NA	NA
ABalaapppp	289	295.3	296.6	286.8	305.1	299
ABalaappppa	409	NA	NA	NA	NA	NA
ABalaappppaa	NA	NA	NA	NA	NA	NA
ABalaappppap	NA	NA	NA	NA	NA	NA
ABalaappppp	NA	NA	NA	NA	NA	NA
ABalap	103	107.6	104.4	109.2	107.2	106.3
ABalapa	132	135.1	133.6	135.3	135.9	136.7
ABalapaa	171	171.7	171.2	172.3	173.2	173.7
ABalapaaa	219	221	224.7	220.2	223.6	225.7
ABalapaaaa	339	366.8	335.8	NA	337.9	361.6
ABalapaaaaa	NA	NA	NA	NA	NA	NA
ABalapaaaap	NA	NA	NA	NA	NA	NA
ABalapaaap	289	310.3	302.1	309.9	301.8	306
ABalapaaapa	NA	NA	NA	NA	NA	NA
ABalapaaapp	NA	NA	NA	NA	NA	NA
ABalapaap	220	219.4	221.3	221.6	222	225.7
ABalapaapa	319	322.1	330.1	322.4	344.6	330.8
ABalapaapaa	NA	NA	NA	NA	NA	NA
ABalapaapap	NA	NA	NA	NA	NA	NA
ABalapaapp	284	295.3	294.7	297.6	305.1	299
ABalapaappa	394	NA	NA	NA	NA	NA
ABalapaappaa	NA	NA	NA	NA	NA	NA
ABalapaappap	NA	NA	NA	NA	NA	NA
ABalapaappp	NA	NA	NA	NA	NA	NA
ABalapap	171	168.7	169.5	170.9	168.8	172.1
ABalapapa	220	219.4	221.3	217.3	219	222.4
ABalapapaa	NA	NA	NA	NA	NA	NA
ABalapapap	284	295.3	296.6	296	292.1	293.7
ABalapapapa	404	NA	NA	NA	NA	NA
ABalapapapaa	NA	NA	NA	NA	NA	NA
ABalapapapap	NA	NA	NA	NA	NA	NA
ABalapapapp	NA	NA	NA	NA	NA	NA
ABalapapp	214	213.1	217.7	220.2	214.5	219.1
ABalapappa	279	273.9	283.7	285.3	277.8	281.5
ABalapappaa	394	NA	NA	NA	NA	NA
ABalapappaaa	NA	NA	NA	NA	NA	NA
ABalapappaap	NA	NA	NA	NA	NA	NA
ABalapappap	NA	NA	NA	NA	NA	NA
ABalapappp	289	298.5	296.6	317.6	303.4	311.2
ABalapapppa	NA	NA	NA	NA	NA	NA
ABalapapppp	NA	NA	NA	NA	NA	NA
ABalapp	132	135.1	133.6	138	135.9	136.7
ABalappa	171	171.7	172.9	177.8	174.6	178.5
ABalappaa	239	228.9	224.7	233.2	232.7	240.6
ABalappaaa	NA	NA	NA	NA	NA	NA
ABalappaap	339	366.8	335.8	NA	346.2	NA
ABalappaapa	NA	NA	NA	NA	NA	NA
ABalappaapp	NA	NA	NA	NA	NA	NA
ABalappap	224	217.9	219.4	224.5	222	227.3
ABalappapa	329	358.1	324.4	NA	349.5	347
ABalappapaa	NA	NA	NA	NA	NA	NA
ABalappapap	NA	NA	NA	NA	NA	NA
