"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"AB","AB",NA,NA,NA,NA,NA
"ABa","ABa",10.1630479886725,5.21618911596588,7.75472271164666,6.36244566938914,11.2348836145503
"ABal","ABal",5.26721663266917,4.78233127191675,5.02837326078139,3.63707628630946,7.60387740584748
"ABala","ABala",4.24304974301558,5.66326607574005,5.54070853832685,4.24877352623268,5.29240790991531
"ABalaa","ABalaa",6.14411631475643,3.80406450294025,5.8372750023435,2.7149835564188,4.69681554146763
"ABalaaa","ABalaaa",3.89598463244074,5.16808827081143,6.24587070912502,3.25560387327228,4.84013787773959
"ABalaaaa","ABalaaaa",7.06938729764787,6.21676997213884,6.28099104461666,5.38391798247321,5.93622022274683
"ABalaaaal","ABalaaaal",6.97287259242757,6.31719755012806,3.94148828163016,4.74473644856,5.7753897751519
"ABalaaaala","ABalaaaala",4.89530942506988,4.32717613472245,2.75439034014717,5.46262900541446,2.85655667315451
"ABalaaaalal","ABalaaaalal",3.21354634094636,4.27093186531186,3.12489051533421,5.10356023634505,2.31016545255947
"ABalaaaalar","ABalaaaalar",4.24791029156731,4.90395870473458,3.14033836325696,4.00325597237008,3.33803268752267
"ABalaaaalp","ABalaaaalp",5.59453110157989,5.41962299048628,3.12289674778545,7.16276482982058,2.85449146903897
"ABalaaaalpa","ABalaaaalpa",5.11095212321445,4.35232813001432,2.98700636745266,6.57745317615547,3.06929235420081
"ABalaaaalpp","ABalaaaalpp",4.36590056169497,4.11715973425614,2.0247278731695,4.899688511314,2.52558805851673
"ABalaaaar","ABalaaaar",5.54662391770628,8.10938450416581,5.8774655990667,3.54175363032642,6.31078903178863
"ABalaaaarl","ABalaaaarl",3.74124593690591,5.26135488584988,3.67565377955566,3.17245800138901,2.92945094832067
"ABalaaaarla","ABalaaaarla",2.93340234900895,4.40001829421681,3.36836576626582,6.84884035641378,2.34725679105225
"ABalaaaarlp","ABalaaaarlp",3.08579121750266,4.33430784503502,3.17481197531147,4.02790764300333,1.69051267163805
"ABalaaaarr","ABalaaaarr",2.93915429269082,4.69495553298748,3.27727903927025,4.48531768241822,3.39118948226609
"ABalaaaarra","ABalaaaarra",4.44150816426099,3.39230899116445,3.13249189880204,6.51266917171034,3.71845995600927
"ABalaaaarrp","ABalaaaarrp",4.01880500283276,3.89125880309283,3.6060574015075,6.64280644965675,2.87302727350189
"ABalaaap","ABalaaap",3.88534005922241,4.77327636598756,6.39889775580668,4.93359620728938,5.78601839781612
"ABalaaapa","ABalaaapa",5.95141217551013,7.32387933676281,6.4245967123388,4.30228123201267,4.67238270770549
"ABalaaapal","ABalaaapal",4.39380738355748,6.19305940105841,3.68974154746831,5.16059669631699,1.97029518123761
"ABalaaapall","ABalaaapall",4.27521687623482,6.09089480602512,2.50433894828717,7.73183293727595,4.08999051484232
"ABalaaapalr","ABalaaapalr",5.11666222842783,4.71043930796704,3.274857897754,15.1594927846207,2.97990958102945
"ABalaaapar","ABalaaapar",3.32074417620249,4.71909476191153,4.64450533376721,4.89835516917008,2.56570184330067
"ABalaaaparl","ABalaaaparl",3.229062393523,6.71815118352646,3.2993712037502,10.2378388575845,2.96816441593117
"ABalaaaparr","ABalaaaparr",3.5924128170358,5.03882228453575,4.11438216377248,6.45376500008761,2.83034206356435
"ABalaaapp","ABalaaapp",3.38972497056264,6.95555490972466,4.35234325615266,4.69749878323449,4.02872184928381
"ABalaaappl","ABalaaappl",4.52999159264956,4.68736938097851,4.63339920603805,6.08453048385564,3.22963597477782
"ABalaaappll","ABalaaappll",3.12449767950635,4.78373251660648,2.93009374016559,4.37949229907229,3.65250822401957
"ABalaaapplr","ABalaaapplr",3.71967861080757,5.08116151635371,3.3194985004944,6.79737526777987,2.58870967902634
"ABalaaappr","ABalaaappr",3.32556349211323,4.29960387215758,3.17695887851355,4.39660240830609,3.04035894892302
"ABalaaapprl","ABalaaapprl",3.50184287790862,4.01634927474709,2.68482145816527,5.04379827937759,2.55138306719229
"ABalaaapprr","ABalaaapprr",4.44601688207574,2.87920055580026,3.14381574048568,4.33359995465282,5.70971880996682
"ABalaap","ABalaap",2.84149412062777,4.07539281413549,4.83975466653097,4.30560066874261,4.98915886978556
"ABalaapa","ABalaapa",3.32594081936627,4.47339581444253,4.57364291321093,3.99903420879766,5.18323500786281
"ABalaapaa","ABalaapaa",4.18706239746742,6.9694843428981,4.72920874683646,6.38669239220152,3.62871486151954
"ABalaapaaa","ABalaapaaa",4.48357424568044,4.64691971485213,4.18085989204239,5.91700864418681,4.37479890917565
"ABalaapaaal","ABalaapaaal",4.30368345849468,5.00143915338808,-Inf,9.7546598924147,3.5557812428373
"ABalaapaaar","ABalaapaaar",3.84228466554607,4.55533283265236,-Inf,5.37011751695161,3.17103482177177
"ABalaapaap","ABalaapaap",3.99351747438043,4.80235549483422,3.52433101324337,5.76854639894747,5.09933959575034
"ABalaapaapa","ABalaapaapa",3.7736494814649,2.88079843009603,4.84165206653687,5.91411845025323,3.70955941496602
"ABalaapaapp","ABalaapaapp",3.57222707612817,2.62254213827876,5.38388347415136,6.41656185425824,3.16443194644542
"ABalaapap","ABalaapap",3.06324733035066,7.06054779911617,3.14825912362071,5.15952306053183,4.48603042884721
"ABalaapapa","ABalaapapa",6.34714955736625,5.07482320208509,5.29696064016808,5.0272828977617,9.40646916334081
"ABalaapapp","ABalaapapp",5.74603268213118,4.76800848978666,3.69014791046384,3.59682189606692,5.2211929894704
"ABalaapappa","ABalaapappa",4.40840924231235,3.70609743697411,2.44096483781563,6.01778701424185,4.34330623481664
"ABalaapappp","ABalaapappp",3.28708488783247,3.33131432639219,2.48048373211052,3.31566474331837,4.24187131136981
"ABalaapp","ABalaapp",4.43594204756603,5.75058561330232,4.26053643591314,4.36212918936734,2.47411589840265
"ABalaappa","ABalaappa",5.45465206372868,6.88782987001529,4.65529148012557,5.23632119587346,6.62923099430658
"ABalaappaa","ABalaappaa",4.28373766129069,4.79919472348567,4.95669510189423,4.1782839387041,3.32225880781073
"ABalaappap","ABalaappap",4.40977244207031,6.83839547646135,5.82662509057636,5.04255419444869,5.08907621365203
"ABalaappapa","ABalaappapa",3.66626187634086,-Inf,-Inf,3.14292016312859,-Inf
"ABalaappapp","ABalaappapp",3.84090357673382,-Inf,-Inf,4.16142836234613,-Inf
"ABalaappp","ABalaappp",5.98571318375245,7.81613001881432,3.33435705904124,4.24694044744997,4.64382485973497
"ABalaapppa","ABalaapppa",4.62840043757754,4.87285397772931,3.38773643658111,3.97376699155711,4.55334003467474
"ABalaapppaa","ABalaapppaa",3.62272727272727,4.0411533098807,2.63016516795878,4.27940821895041,4.38498097548154
"ABalaapppap","ABalaapppap",4.77087013175364,4.01622148694261,3.22512197079013,5.70933666300069,5.49307394750521
"ABalaapppp","ABalaapppp",3.60602261304518,5.18417410558565,3.3312490003199,5.04856667290872,4.54581496190476
"ABalaappppa","ABalaappppa",4.04844884079433,4.96549960691287,3.84684454531649,6.00969369099058,6.12520497055588
"ABalaappppp","ABalaappppp",4.21618536218042,3.84071203763894,5.42260561718853,6.79834822390516,5.46026300725605
"ABalap","ABalap",4.15375781474984,3.87275293645282,3.70062672446696,3.28552678349689,3.75562353085051
"ABalapa","ABalapa",2.8417687563817,5.23233939032891,3.65698145354031,2.30992406907266,3.63969904608532
"ABalapaa","ABalapaa",3.12241395051598,4.48128505496388,4.02241395372375,4.50131725498144,4.86330913695905
"ABalapaaa","ABalapaaa",4.22271700506083,3.95705399580987,3.73181140752005,3.79365111270614,5.10275583897157
"ABalapaaaa","ABalapaaaa",4.12835745257994,7.05395331558661,3.91279431890917,7.9755055071554,4.50265411943489
"ABalapaaaaa","ABalapaaaaa",4.19394341324487,9.66076054453543,-Inf,14.0934576349032,2.101602886817
"ABalapaaaap","ABalapaaaap",2.95906209872046,13.0565615714121,-Inf,16.8574224428763,2.06001783229849
"ABalapaaap","ABalapaaap",2.58677448600799,5.09304883769388,4.66928475492124,7.39709935533841,3.79170700584194
"ABalapaaapa","ABalapaaapa",4.37804387101344,4.94331406321066,4.45991589100282,9.12253652052918,2.27232686639821
"ABalapaaapp","ABalapaaapp",3.38310813724606,4.60046341001977,4.3179996522794,7.20697017667609,2.91485658118695
"ABalapaap","ABalapaap",3.4785977068155,4.25110429505853,5.1493831090901,7.41532650414861,6.83269731537245
"ABalapaapa","ABalapaapa",3.18610990265073,5.02085725513628,3.88176616608428,8.80033965094856,3.07752822204284
"ABalapaapaa","ABalapaapaa",3.4296423982702,2.22706526640454,2.18615515835844,4.10155108844335,3.12785149143985
"ABalapaapap","ABalapaapap",2.37350995723732,3.1584111223974,3.19105366526414,5.60477467185657,4.37786237932917
