"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"AB","AB",NA,NA,NA,NA,NA
"ABa","ABa",9.92412223609597,3.66716633911501,5.14483347060135,6.17776343322098,11.0690793489414
"ABal","ABal",2.00629946101862,3.20300705341237,3.85379825643721,2.40117600449431,5.81157670457193
"ABala","ABala",3.02298145112487,3.85528180279065,4.31012172922136,2.95071286962811,3.93502051982316
"ABalaa","ABalaa",3.71234857568219,3.0679987820449,5.13539077094403,1.37213055582796,3.59403816992478
"ABalaaa","ABalaaa",2.25161320524343,3.82262077735087,5.31905470190354,1.75088148105523,3.63720271160613
"ABalaaaa","ABalaaaa",4.24428795556725,3.83647814950325,4.20726732808286,3.03964771236824,4.09591260135699
"ABalaaaal","ABalaaaal",5.15681737396481,5.03699688868709,2.41694019676028,3.44216385657821,3.15531876436933
"ABalaaaala","ABalaaaala",2.74738256635527,3.0369279404034,1.65661458896575,2.70926658576039,1.60201195918047
"ABalaaaalal","ABalaaaalal",1.34180772435449,3.90923767437791,2.64536346989698,2.98635618329987,1.5428172892031
"ABalaaaalar","ABalaaaalar",2.57800598069938,4.29410469334456,2.79802275894494,2.60216752336166,1.77777005777281
"ABalaaaalp","ABalaaaalp",3.0920005179416,3.3828600457315,1.46874176817413,5.37101122834065,1.56560453913692
"ABalaaaalpa","ABalaaaalpa",3.21268793686717,3.59783970672665,2.43434723878346,3.20383991607337,2.04349482169453
"ABalaaaalpp","ABalaaaalpp",2.73799657933712,3.52973318416647,1.30152921164205,2.61373798525946,1.64754360050667
"ABalaaaar","ABalaaaar",3.67157953897471,6.01251666427767,3.69690557701023,2.17517460456135,2.96518354890032
"ABalaaaarl","ABalaaaarl",2.1567049738982,2.83998297016007,2.50688414916667,2.07902694693088,1.59310755464804
"ABalaaaarla","ABalaaaarla",2.09770528871663,3.4417057759512,2.45840054881105,3.04703416614087,1.64435249858417
"ABalaaaarlp","ABalaaaarlp",1.89108423317172,3.14618499396583,2.34384722277489,2.82187588020265,1.12560171103181
"ABalaaaarr","ABalaaaarr",1.99697048707783,3.3469337434812,1.60689609772469,2.22171565502086,1.33484173917035
"ABalaaaarra","ABalaaaarra",3.34824386224015,2.27891883091605,2.52075995374418,3.48603624602089,2.65063487977306
"ABalaaaarrp","ABalaaaarrp",2.35807933825409,2.50079528210405,2.61374268041792,4.37823235697452,1.66663950668931
"ABalaaap","ABalaaap",2.36943163462712,3.55149325137898,4.90848869884342,2.75245902561708,4.46790632779095
"ABalaaapa","ABalaaapa",4.51097238112587,5.96776417344245,4.6528232776239,3.2004369487898,2.64425096208239
"ABalaaapal","ABalaaapal",2.00064434827811,3.93940589727081,2.52494534261047,3.34690577136697,0.991075005752501
"ABalaaapall","ABalaaapall",2.61545774653718,4.53727514502987,1.89349098204914,4.47752241041144,2.09620252460054
"ABalaaapalr","ABalaaapalr",2.29221492997852,3.20560410753744,2.46717484170301,6.84299793773173,1.86409884504411
"ABalaaapar","ABalaaapar",1.72636048068455,3.64753684839112,3.38732391171053,3.77637317047622,1.05792239443139
"ABalaaaparl","ABalaaaparl",2.10622369211177,4.69681145352139,2.53604034102774,7.00547660854082,1.51808841636139
"ABalaaaparr","ABalaaaparr",2.35569761690064,3.37474197929085,2.97437628353573,3.87443789720507,1.95879387442914
"ABalaaapp","ABalaaapp",2.62417713798263,5.77624830058643,3.1141827386114,3.39262092356341,2.13590749230086
"ABalaaappl","ABalaaappl",1.61814637426479,3.01154996497999,3.0216368387034,3.61042305042647,1.27416059554694
"ABalaaappll","ABalaaappll",2.20065539411674,3.19985335431908,2.46192114612025,3.17287561614525,2.63382997374539
"ABalaaapplr","ABalaaapplr",2.23056687753324,3.21683312084392,2.46656974850313,3.30472380300106,2.07502166164039
"ABalaaappr","ABalaaappr",1.9622418204354,3.09303262082833,1.89080133330112,3.33156366025942,1.75121399452389
"ABalaaapprl","ABalaaapprl",2.3318787075765,2.97002695145299,1.82169125978212,3.62342727276122,1.48576580650184
"ABalaaapprr","ABalaaapprr",3.03866534018541,1.65808871038316,1.73186391269479,3.10716782563805,4.31075266199482
"ABalaap","ABalaap",1.76143139766083,3.20469750815542,4.2017569296441,2.42357084710992,4.09169270198089
"ABalaapa","ABalaapa",2.09506189781024,2.79056008790095,3.46608545368564,2.3162143322503,3.44096410242235
"ABalaapaa","ABalaapaa",2.53311729318396,5.8105548267718,2.86147720285706,3.51905535817637,2.28333478137342
"ABalaapaaa","ABalaapaaa",2.57372077579435,3.58354513799854,2.39491745961403,4.55818028600644,2.99627295297565
