"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"AB","AB",NA,NA,NA,NA,NA
"ABa","ABa",NA,0.119870385037454,0.236538540425281,NA,NA
"ABal","ABal",0.171255143766836,0.0823479825526347,0.0674198354559525,0.155428598888577,0.185056926945547
"ABala","ABala",0.106473838979405,0.0814778818935036,0.106432678002848,0.102037751120472,0.116477345242418
"ABalaa","ABalaa",0.155509953181812,0.139901407707041,0.154929573392767,0.132022053195575,0.126049791236427
"ABalaaa","ABalaaa",0.175213786117664,0.199516591446859,0.220987230229341,0.188959934541147,0.184904436155103
"ABalaaaa","ABalaaaa",0.326973187497629,0.265406006876822,0.357827591259887,0.397675329333996,0.372581747934959
"ABalaaaal","ABalaaaal",0.507899258307654,0.479339588881134,0.47274535621428,0.579922677551406,0.629896073234533
"ABalaaaala","ABalaaaala",0.651408609507267,0.597625917362227,0.649356098142583,0.744590040090201,0.652349284142328
"ABalaaaalal","ABalaaaalal",0.845626610416591,0.651238164119815,0.694942519633665,1.21282595151443,0.716491177044477
"ABalaaaalar","ABalaaaalar",1.09635491789095,0.812823002001365,0.964448738802892,1.19842497534244,0.780806927421711
"ABalaaaalp","ABalaaaalp",0.596016672597484,0.533784618962997,0.719465610846003,0.981593578948821,0.603127427050861
"ABalaaaalpa","ABalaaaalpa",0.7747695112591,0.653863008130939,1.00779935562557,1.07541370967864,0.635344599116143
"ABalaaaalpp","ABalaaaalpp",0.694491555733755,0.703673200928569,0.632174944748268,1.00559658783477,0.633631231767883
"ABalaaaar","ABalaaaar",0.471194385617725,0.448584756779487,0.59538052880783,0.527323562725579,0.494609489059428
"ABalaaaarl","ABalaaaarl",0.6381888078767,0.513769602900115,0.678177796454838,0.779817996783729,0.696510020651509
"ABalaaaarla","ABalaaaarla",0.860675381368267,0.657852053022644,0.494407963861306,1.21962558020751,0.765098586396007
"ABalaaaarlp","ABalaaaarlp",0.874899265107013,0.82465383729102,0.533612883325306,1.09190872058076,0.696078497578032
"ABalaaaarr","ABalaaaarr",0.586655157540915,0.417735717342735,0.606655184694211,0.883341551608353,0.560434693294945
"ABalaaaarra","ABalaaaarra",0.80039125422148,0.622737101537089,0.626297794168462,1.32251882914789,0.826533168266437
"ABalaaaarrp","ABalaaaarrp",0.878556472482278,0.633887355840026,0.570027347882984,1.28673887798251,0.790393396768271
"ABalaaap","ABalaaap",0.350702705793945,0.330747864278982,0.326229756195695,0.317973616629256,0.393661653942081
"ABalaaapa","ABalaaapa",0.53269159596822,0.477348338561954,0.56812449764314,0.485571536366003,0.429585040713779
"ABalaaapal","ABalaaapal",0.56242426084842,0.473622431769397,0.507189425463164,0.732319870534873,0.538085522490244
"ABalaaapall","ABalaaapall",0.618880286762546,0.756080863539829,0.526376454383484,1.03421398821374,0.645207072998544
"ABalaaapalr","ABalaaapalr",0.632142135946418,0.73045597771312,0.627186040887873,1.34499820591911,0.702088536275132
"ABalaaapar","ABalaaapar",0.481299688308349,0.43988203122752,0.579628447932337,0.665880038016715,0.557301987751354
"ABalaaaparl","ABalaaaparl",0.949442945677811,0.850494258750621,0.524958307584456,1.47640228688639,0.770195836548295
"ABalaaaparr","ABalaaaparr",0.78542764439298,0.666329743420676,0.551534982999222,1.19073761282543,0.714754157501048
"ABalaaapp","ABalaaapp",0.513318822722487,0.439171539438845,0.485473501016967,0.55900301412638,0.490788258055355
"ABalaaappl","ABalaaappl",0.589416577139825,0.407714942925959,0.62481620060925,0.655272004961966,0.548007744303076
"ABalaaappll","ABalaaappll",0.98480622207458,0.564085087267403,0.571694578175424,1.08464449365041,0.943553682552485
"ABalaaapplr","ABalaaapplr",0.993645679832535,0.764969171007044,0.473685724666258,1.08578572876928,0.775174064542191
"ABalaaappr","ABalaaappr",0.544549614911226,0.505562046258047,0.703505596850092,0.742253470309943,0.62484379964493
"ABalaaapprl","ABalaaapprl",0.705974905624681,0.55716555880133,0.641408264518851,0.85062209386413,0.780835344227476
"ABalaaapprr","ABalaaapprr",0.84703720754123,0.551428009054893,0.85224773101568,0.952306414324308,0.829581788406748
"ABalaap","ABalaap",0.160045913793974,0.257931001116238,0.218514535011297,0.24431728196604,0.217938294057965
"ABalaapa","ABalaapa",0.368673119079996,0.363524503842602,0.360354005365807,0.466271865580119,0.372514359337505
"ABalaapaa","ABalaapaa",0.511043571383081,0.439208387186497,0.509718259656157,0.462108259672203,0.467171811084755
"ABalaapaaa","ABalaapaaa",0.709883585352502,0.490263972246198,0.645076921314321,0.84682919661781,0.722167993638053
"ABalaapaaal","ABalaapaaal",0.972409703162443,0.81826836787722,NA,1.35498470705397,1.05491033142878
"ABalaapaaar","ABalaapaaar",0.831047317505248,0.522156873624949,NA,1.06951368320073,0.838071465018637
"ABalaapaap","ABalaapaap",0.706639074001613,0.523504455602815,0.643731890177378,0.573044175796013,0.737547044168639
"ABalaapaapa","ABalaapaapa",0.988669361822215,0.601810721542509,0.906951009765074,1.0048833360516,0.970496967224959
"ABalaapaapp","ABalaapaapp",0.724852223966812,0.549787323410359,0.870583351549768,1.15050512413879,1.0197687731058
"ABalaapap","ABalaapap",0.551984930876325,0.492994038454375,0.548853190177213,0.510195630478747,0.65558419898949
"ABalaapapa","ABalaapapa",0.905062396976254,0.457031093357524,0.740105179061693,0.769959913378158,0.925172450959445
"ABalaapapp","ABalaapapp",0.659790777427893,0.519350890810349,0.632675323424336,0.541915334435923,0.808437361521474
"ABalaapappa","ABalaapappa",1.02769440226894,0.618373000038837,0.546678222717227,1.22365928246382,1.10863082625621
"ABalaapappp","ABalaapappp",0.948705076340652,0.656852854022637,0.838809130507644,1.11428376354637,1.46556797016391
"ABalaapp","ABalaapp",0.384095820428257,0.326811179821203,0.448685711766527,0.425561905410252,0.38857524902065
"ABalaappa","ABalaappa",0.543635653229125,0.655428258120935,0.711690632046893,0.490511349240134,0.653250190922628
"ABalaappaa","ABalaappaa",0.559453081575149,0.755250988500965,0.764017247002901,0.747270158830748,0.848231977149617
"ABalaappap","ABalaappap",0.765532682999835,1.07497676378095,1.0729132763957,0.582304780188326,1.04526527034376
"ABalaappapa","ABalaappapa",0.682261663602295,NA,NA,0.907342754090848,NA
"ABalaappapp","ABalaappapp",0.551034146545008,NA,NA,0.893110189552364,NA
