"Cell","Time","Defect_Count","ExpLevel","Expressing","Mean_Dev","Max_Dev","Mean_NN_score","Max_NN_score"
"AB",3,0,0,FALSE,NA,NA,NA,-Inf
"ABa",19,0,2256,FALSE,7.19659296559494,8.1462578200449,0.178204462731368,0.236538540425281
"ABal",43,0,2957,FALSE,3.45517149598689,5.26377497150485,0.132301697521909,0.185056926945547
"ABala",56,0,2957,FALSE,3.61482367451763,4.99764115864609,0.102579899047729,0.116477345242418
"ABalaa",75,0,2957,FALSE,3.37638137088477,4.63945098358532,0.141682555742724,0.155509953181812
"ABalaaa",103,0,2957,FALSE,3.35627457543184,4.68113707267781,0.193916395698023,0.220987230229341
"ABalaaaa",137,0,9319,TRUE,3.88471874937572,6.17745730392468,0.344092772580659,0.397675329333996
"ABalaaaal",181,0,24069,TRUE,3.84164741607194,5.55033692957954,0.533960590837801,0.629896073234533
"ABalaaaala",232,0,24413,TRUE,2.35044072813306,4.05921231570169,0.659065989848921,0.744590040090201
"ABalaaaalal",330,0,24413,TRUE,2.48511646822647,3.60461888209939,0.824224884545796,1.21282595151443
"ABalaaaalar",330,0,24413,TRUE,2.81001420282467,3.92669920389032,0.970571712291872,1.19842497534244
"ABalaaaalp",232,1,24069,TRUE,2.97604361986496,4.83086142774223,0.686797581681233,0.981593578948821
"ABalaaaalpa",325,0,24069,TRUE,2.89844192402904,4.41940643020754,0.829438036762078,1.07541370967864
"ABalaaaalpp",325,0,24069,TRUE,2.36610811218235,3.58661294779027,0.733913504202649,1.00559658783477
"ABalaaaar",181,0,24408,TRUE,3.70427198674486,5.87720333661077,0.50741854459801,0.59538052880783
"ABalaaaarl",233,0,24524,TRUE,2.23514131896077,3.75603271040423,0.661292844933378,0.779817996783729
"ABalaaaarla",314,0,24524,TRUE,2.53783965564078,3.97957671139152,0.799531912971147,1.21962558020751
"ABalaaaarlp",314,0,24524,TRUE,2.26571880822938,3.26266627049811,0.804230640776426,1.09190872058076
"ABalaaaarr",233,0,24408,TRUE,2.10147154449499,3.75757920592657,0.610964460896232,0.883341551608353
"ABalaaaarra",314,0,24408,TRUE,2.85691875453887,4.23948763638942,0.839695629468272,1.32251882914789
"ABalaaaarrp",314,1,24408,TRUE,2.70349783288798,4.20639098611835,0.831920690191214,1.28673887798251
"ABalaaap",137,0,9114,TRUE,3.60995578765151,5.15542575722443,0.343863119367992,0.393661653942081
"ABalaaapa",175,0,22652,TRUE,4.19524954861288,5.73491043286598,0.498664201850619,0.56812449764314
"ABalaaapal",225,0,23806,TRUE,2.56059527305577,4.28150004192776,0.56272830222122,0.732319870534873
"ABalaaapall",299,1,23806,TRUE,3.12398976172563,4.93845481653308,0.716151733179629,1.03421398821374
"ABalaaapalr",299,1,23806,TRUE,3.33441813239896,6.2482723599598,0.807374179348331,1.34499820591911
"ABalaaapar",225,0,22652,TRUE,2.71910336113876,4.0296802568704,0.544798438647255,0.665880038016715
"ABalaaaparl",313,2,22652,TRUE,3.57252810231262,5.29051761086307,0.914298727089515,1.47640228688639
"ABalaaaparr",313,1,22652,TRUE,2.90760953027229,4.4059448657992,0.781756828227871,1.19073761282543
