"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABalaaaalar","death",4,0,0,24413,0,0,0,0,0
"ABalaaaalpa","death",3,2,0,24069,0,239,0,14,0
"ABalaaaalpp","ILshL",3,3,0,24069,0,448,11,14,0
"ABalaaaarla","death",4,1,0,24524,8,0,0,0,0
"ABalaaaarlp","RMEL",4,0,0,24524,8,0,162,0,0
"ABalaaaarra","death",3,1,0,24408,0,96,38,5,0
"ABalaaaarrp","RMER",3,1,0,24408,0,0,38,5,0
"ABalaaapall","ILsoL",3,2,0,23806,0,254,0,0,0
"ABalaaapalr","AVDL",3,1,0,23806,0,218,68,0,0
"ABalaaaparl","death",3,2,0,22652,0,145,871,0,9
"ABalaaaparr","ILshDL",3,1,0,22652,0,0,412,0,9
"ABalaaappll","ILshDR",6,1,0,23291,0,143,1334,9,0
"ABalaaapplr","death",6,2,0,23291,0,0,671,9,0
"ABalaaapprl","AVDR",3,1,1,23432,0,0,81,0,0
"ABalaaapprr","ILsoR",3,0,1,23432,0,842,0,0,0
"ABalaapaaal","death",5,1,3,17745,0,0,151,0,0
"ABalaapaaar","AINR",5,1,3,17745,0,945,0,0,0
"ABalaapaapa","death",6,2,3,17745,0,287,0,0,0
"ABalaapaapp","ILshR",6,2,3,17745,0,0,0,0,0
"ABalaapapa","death",1,0,0,15922,17,0,0,45,15
"ABalaapappa","death",5,0,0,16431,0,0,4610,0,15
"ABalaapappp","CEPsoVR",5,0,0,16431,0,0,6299,0,15
"ABalaappaa","death",6,0,0,13031,0,258,4,0,0
"ABalaappapa","AVAR",8,0,0,15050,0,399,0,0,0
"ABalaappapp","OLQsoVR",8,0,0,15050,0,0,0,0,0
"ABalaapppaa","RIAR",3,0,0,16580,0,0,0,0,0
"ABalaapppap","death",3,0,0,16580,0,0,0,0,0
"ABalaappppa",NA,3,2,0,15382,0,0,24,0,0
"ABalaappppp","IL2R",3,2,0,15382,0,0,0,0,0
"ABalapaaaaa","AVHL",5,3,0,12066,0,0,171,0,217
"ABalapaaaap","death",5,2,0,12066,0,0,171,0,217
"ABalapaaapa","CANL",5,2,0,12066,0,132,4,0,217
"ABalapaaapp","OLLsoL",5,2,0,12066,0,119,0,0,217
"ABalapaapaa","RIAL",3,0,0,12274,0,0,0,0,217
"ABalapaapap","death",3,0,0,12274,0,0,0,0,217
"ABalapaappa",NA,4,3,0,11464,0,54,0,0,217
"ABalapaappp","IL2L",4,0,0,11464,0,0,0,0,217
"ABalapapaa","death",2,0,0,9604,4,0,1349,0,217
"ABalapapapa",NA,6,0,0,9884,4,0,2411,37,217
"ABalapapapp","URYDL",6,1,0,9884,4,0,2411,37,217
"ABalapappaa",NA,2,1,0,10775,0,0,9532,0,217
"ABalapappap","IL2DL",2,0,0,10775,0,0,8299,0,217
"ABalapapppa","AVJL",6,1,0,10692,0,0,10446,0,217
"ABalapapppp","CEPsoDL",6,1,0,10692,0,0,10112,0,217
"ABalappaaa","death",3,0,0,10122,2,0,1761,0,92
"ABalappaapa","RID",6,1,0,10122,0,0,1761,0,92
"ABalappaapp","death",6,0,0,10122,0,0,1761,0,92
"ABalappapaa","AVHR",2,1,0,11132,3,0,2409,0,92
"ABalappapap","death",2,1,0,11132,3,0,2756,0,92
"ABalappappa","CANR",4,0,0,11080,3,100,2003,0,92
"ABalappappp","OLLsoR",4,0,0,11080,3,1,2541,0,92
"ABalapppaaa","ALA",5,0,0,9326,0,0,7177,0,88
"ABalapppaap","RMED",5,1,0,9326,0,0,7177,0,88
"ABalapppapa",NA,5,1,0,9326,0,0,6513,0,88
"ABalapppapp","URYDR",5,1,0,9326,0,0,6513,0,88
"ABalappppaa",NA,2,1,0,9911,0,0,7483,0,88
"ABalappppap","IL2DR",2,1,0,9911,0,0,7483,0,88
"ABalapppppa","AVJR",7,0,0,8719,0,0,12621,0,88
"ABalapppppp","CEPsoDR",7,0,0,8719,0,0,10742,0,88
"ABalpaaaaaa","e3VL",4,1,0,7608,0,0,0,29,0
"ABalpaaaaap","m2VL",4,3,0,7608,0,0,0,29,0
"ABalpaaaapa","m1VL",4,1,0,7608,1,28,0,11,0
"ABalpaaaapp","death",4,2,0,7608,0,0,0,11,0
"ABalpaaapaa","m2L",5,0,0,6846,303,0,3,0,0
"ABalpaaapap","death",5,2,0,6846,193,0,0,0,0
"ABalpaaappa","death",4,2,0,6846,1191,216,19,0,0
"ABalpaaappp","MCL",4,1,0,6846,341,0,108,0,0
"ABalpaapaaa","arcpost",5,3,0,13644,212,0,0,0,0
"ABalpaapaap","e2DL",5,2,0,13644,251,0,0,0,0
"ABalpaapapa","mc1DL",4,1,1,13644,364,0,0,0,0
"ABalpaapapp","m3L",4,0,1,13644,353,0,0,0,0
"ABalpaappaa","arc_ant",4,0,0,11498,0,0,36,0,0
"ABalpaappap","arcpost",4,0,0,11498,0,0,0,0,0
"ABalpaapppa","hyp1",5,1,1,9779,0,0,0,0,0
"ABalpaapppp","hyp2",5,0,1,9779,0,193,39,0,0
"ABalpapaaaa","RIPL",3,1,0,7715,0,0,0,0,0
"ABalpapaaap","hyp2",3,2,0,7715,0,0,0,0,0
"ABalpapaapa","arc_ant",3,0,0,7715,0,54,0,0,0
"ABalpapaapp","death",3,0,0,7715,251,334,0,0,0
"ABalpapapaa","RMDDL",3,0,0,6722,1784,0,0,0,0
"ABalpapapap",NA,3,0,0,6722,2235,0,0,0,0
"ABalpapappa","death",3,0,0,6722,3056,9,174,43,0
"ABalpapappp","SMBVL",3,0,0,6722,3638,0,0,43,0
"ABalpappaaa","death",3,0,0,4619,864,30,0,0,0
"ABalpappaap",NA,3,1,0,4619,864,2,0,0,0
"ABalpappapa","e2V",3,0,1,4619,2621,0,0,23,0
"ABalpappapp","mc3V",3,0,1,4619,2395,84,0,23,0
"ABalpapppaa","I1L",2,0,0,4619,2480,167,6,0,0
"ABalpapppap","death",2,1,0,4619,2480,0,0,0,0
"ABalpappppa","mc1V",2,0,0,4619,4326,0,0,0,0
"ABalpappppp","m3VL",2,0,0,4619,3923,0,0,0,0
"ABalppaaaa","death",6,0,1,14332,17,0,29,18,708
"ABalppaaapa","AVAL",10,1,1,19191,0,0,0,0,708
"ABalppaaapp","OLQsoVL",10,0,1,19191,0,0,0,0,708
"ABalppaapa","death",5,0,1,13995,23,0,479,31,708
"ABalppaappa","death",7,1,1,17168,1,0,4446,0,708
"ABalppaappp","CEPsoVL",7,1,1,17168,1,0,5475,0,708
"ABalppapaaa","RMDVL",3,0,1,8916,0,0,0,0,708
"ABalppapaap","ILshVL",3,0,1,8916,0,0,0,0,708
"ABalppapapa","SAADL",5,0,2,6189,0,258,683,0,708
"ABalppapapp","ILsoVL",5,0,2,6189,0,0,0,0,708
"ABalppappaa","SMDVL",2,0,0,6693,0,0,0,0,708
"ABalppappap","BAGL",2,0,0,6693,0,0,0,0,708
"ABalppapppa",NA,2,0,0,6167,0,0,0,0,708
"ABalppapppp","IL2VL",2,0,0,6167,0,0,0,0,708
"ABalpppaaaa","AVEL",4,1,2,10775,0,244,0,0,437
"ABalpppaaap","OLQshVL",4,0,2,10775,0,0,0,0,437
"ABalpppaapd","OLLshL",4,0,3,10158,0,100,0,0,437
"ABalpppaapv","death",4,2,3,10158,0,100,15,0,437
"ABalpppapad","RMDL",1,1,0,12003,0,0,2914,0,437
"ABalpppapav","AFDL",1,0,0,12003,0,0,4242,0,437
"ABalpppappa","death",3,0,0,12671,0,118,0,0,437
"ABalpppappp",NA,3,0,0,12671,0,0,0,0,437
"ABalppppaad","ADLL",4,0,1,8949,0,0,26,0,437
"ABalppppaav","death",4,0,1,8949,0,0,0,0,437
"ABalppppapa",NA,2,0,1,9192,0,22,0,0,437
"ABalppppapp","death",2,0,1,9192,0,0,0,0,437
"ABalpppppaa","ADFL",1,1,1,11743,0,0,0,0,437
"ABalpppppap","AWBL",1,0,1,11743,0,0,0,0,437
"ABalppppppaa","ASEL",2,0,1,13024,0,0,0,0,437
"ABalppppppap","death",2,1,1,13024,0,0,0,0,437
"ABalpppppppa","ASJL",3,0,1,13024,0,0,0,0,437
"ABalpppppppp","AUAL",3,0,1,13024,0,0,0,0,437
"ABaraaaaaaa","e1VL",3,1,5,15213,16,0,2829,0,0
"ABaraaaaaap","m1L",3,2,5,15213,0,119,2829,0,0
"ABaraaaaapa","e1VR",3,0,4,15213,0,0,2479,0,0
"ABaraaaaapp","m1R",3,1,4,15213,67,0,2479,0,0
"ABaraaaapaa","death",5,1,4,11599,0,0,2625,0,0
"ABaraaaapap","e1D",5,1,4,11599,0,0,2625,0,0
"ABaraaaapp","death",3,1,4,11052,132,0,2144,0,0
"ABaraaapaaa","arcpost",4,1,4,12715,384,50,2055,0,0
"ABaraaapaap","e2DR",4,1,4,12715,377,0,2055,0,0
"ABaraaapapa","mc1DR",4,1,4,12715,384,0,2225,0,0
"ABaraaapapp","m4R",4,2,4,12715,343,0,2225,0,0
"ABaraaappaa","arcpost",6,0,4,11541,0,796,1687,12,22
"ABaraaappap","arcpost",6,1,4,11541,0,0,1687,12,22
"ABaraaapppa","arc_ant",9,1,4,10884,0,0,1687,12,22
"ABaraaapppp","hyp1",9,0,4,10884,0,0,1687,12,22
"ABaraapaaaa","e3D",6,2,4,7587,0,0,2419,0,0
"ABaraapaaap","m1DL",6,3,4,7587,0,0,2419,0,0
"ABaraapaapa","m2DL",6,2,4,8049,1654,0,2419,0,0
"ABaraapaapp","mc2DL",6,3,4,8049,2027,0,2419,0,0
