"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"AB",NA,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"ABa",NA,19,0,0,0,5,4,2256,0,0,0,0,0,8.1462578200449,7.19659296559494
"ABal",NA,43,0,0,0,5,5,2957,0,0,0,0,0,5.26377497150485,3.45517149598689
"ABala",NA,56,0,0,0,5,5,2957,0,0,0,0,0,4.99764115864609,3.61482367451763
"ABalaa",NA,75,1,0,0,5,5,2957,0,0,0,0,0,4.63945098358532,3.37638137088477
"ABalaaa",NA,103,0,0,0,5,5,2957,0,0,0,0,0,4.68113707267781,3.35627457543184
"ABalaaaa",NA,137,0,0,0,5,5,9319,0,0,0,0,0,6.17745730392468,3.88471874937572
"ABalaaaal",NA,181,1,0,0,5,5,24069,0,0,0,0,0,5.55033692957954,3.84164741607194
"ABalaaaala",NA,232,2,0,0,5,5,24413,0,0,0,0,0,4.05921231570169,2.35044072813306
"ABalaaaalal","AINL",330,0,0,0,5,0,24413,0,0,0,0,0,3.60461888209939,2.48511646822647
"ABalaaaalar","death",330,0,0,0,5,0,24413,0,0,0,0,0,3.92669920389032,2.81001420282467
"ABalaaaalp",NA,232,1,0,0,5,5,24069,0,0,0,14,0,4.83086142774223,2.97604361986496
"ABalaaaalpa","death",325,0,2,0,5,0,24069,0,239,0,14,0,4.41940643020754,2.89844192402904
"ABalaaaalpp","ILshL",325,0,3,0,5,0,24069,0,448,11,14,0,3.58661294779027,2.36610811218235
"ABalaaaar",NA,181,1,0,0,5,5,24408,0,0,0,0,0,5.87720333661077,3.70427198674486
"ABalaaaarl",NA,233,2,0,0,5,5,24524,8,0,0,0,0,3.75603271040423,2.23514131896077
"ABalaaaarla","death",314,0,1,0,5,0,24524,8,0,0,0,0,3.97957671139152,2.53783965564078
"ABalaaaarlp","RMEL",314,0,0,0,5,0,24524,8,0,162,0,0,3.26266627049811,2.26571880822938
"ABalaaaarr",NA,233,1,0,0,5,5,24408,0,0,38,5,0,3.75757920592657,2.10147154449499
"ABalaaaarra","death",314,0,1,0,5,0,24408,0,96,38,5,0,4.23948763638942,2.85691875453887
"ABalaaaarrp","RMER",314,0,1,0,5,0,24408,0,0,38,5,0,4.20639098611835,2.70349783288798
"ABalaaap",NA,137,1,0,0,5,5,9114,0,0,0,0,0,5.15542575722443,3.60995578765151
"ABalaaapa",NA,175,0,0,0,5,5,22652,0,0,0,0,0,5.73491043286598,4.19524954861288
"ABalaaapal",NA,225,1,0,0,5,5,23806,0,0,0,0,0,4.28150004192776,2.56059527305577
"ABalaaapall","ILsoL",299,0,2,0,5,0,23806,0,254,0,0,0,4.93845481653308,3.12398976172563
"ABalaaapalr","AVDL",299,0,1,0,5,0,23806,0,218,68,0,0,6.2482723599598,3.33441813239896
"ABalaaapar",NA,225,1,0,0,5,5,22652,0,0,0,0,9,4.0296802568704,2.71910336113876
"ABalaaaparl","death",313,0,2,0,5,0,22652,0,145,871,0,9,5.29051761086307,3.57252810231262
"ABalaaaparr","ILshDL",313,0,1,0,5,0,22652,0,0,412,0,9,4.4059448657992,2.90760953027229
"ABalaaapp",NA,175,1,0,0,5,3,21001,0,0,0,0,0,4.68476875379165,3.40862731860895
"ABalaaappl",NA,226,3,0,0,5,5,23291,0,0,0,9,0,4.63298532765992,2.50718336478432
"ABalaaappll","ILshDR",312,0,1,0,5,0,23291,0,143,1334,9,0,3.77406489187406,2.73382709688934
"ABalaaapplr","death",312,0,2,0,5,0,23291,0,0,671,9,0,4.30128471489238,2.65874304230435
"ABalaaappr",NA,226,0,0,1,5,5,23432,0,0,0,0,0,3.64781752000269,2.40577068586963
"ABalaaapprl","AVDR",300,0,1,0,5,0,23432,0,0,81,0,0,3.55963899147817,2.44655799961493
"ABalaaapprr","ILsoR",300,0,0,0,5,0,23432,0,842,0,0,0,4.10247038859626,2.76930769017925
"ABalaap",NA,103,0,0,0,5,5,2957,0,0,0,0,0,4.21028022796448,3.13662987691023
"ABalaapa",NA,137,0,0,0,5,5,6146,0,0,0,0,0,4.31104975273604,2.8217771748139
"ABalaapaa",NA,181,1,0,3,5,5,17745,0,0,0,0,0,5.18023254818461,3.40150789247252
"ABalaapaaa",NA,236,3,0,0,5,5,17745,0,0,0,0,0,4.72063228118748,3.2213273224778
"ABalaapaaal","death",334,0,1,0,4,0,17745,0,0,151,0,0,5.65389093678369,3.60161323335279
"ABalaapaaar","AINR",334,0,1,0,4,0,17745,0,945,0,0,0,4.23469245923045,2.89433085881904
"ABalaapaap",NA,236,4,0,0,5,5,17745,0,0,0,0,0,4.63761799543117,3.02184194679274
"ABalaapaapa","death",325,0,2,0,5,0,17745,0,287,0,0,0,4.22395556866341,3.03406006152585
"ABalaapaapp","ILshR",325,0,2,0,5,0,17745,0,0,0,0,0,4.23192929785239,3.07700279321231
"ABalaapap",NA,181,0,0,0,5,5,15922,0,0,0,0,0,4.58352154849332,2.89724070864757
"ABalaapapa","death",235,0,0,0,5,0,15922,17,0,0,45,15,6.23053709214439,3.97584506489971
"ABalaapapp",NA,235,4,0,0,5,5,16431,0,0,1216,0,15,4.6044407935838,2.91118313097338
"ABalaapappa","death",309,0,0,0,5,0,16431,0,0,4610,0,15,4.18331295323212,2.33428018254699
"ABalaapappp","CEPsoVR",309,0,0,0,5,0,16431,0,0,6299,0,15,3.33128380020467,2.11695165721176
"ABalaapp",NA,137,0,0,0,5,5,5333,0,0,0,0,0,4.2566618369103,2.30157940156612
"ABalaappa",NA,175,5,0,0,5,5,13031,0,0,0,0,0,5.77266512080992,3.86766275302475
"ABalaappaa","death",230,0,0,0,5,0,13031,0,258,4,0,0,4.30803404663708,2.69213759933976
"ABalaappap",NA,230,2,0,0,5,5,15050,0,0,0,0,0,5.44128468344175,3.37115219224107
"ABalaappapa","AVAR",308,0,0,0,2,0,15050,0,399,0,0,0,3.40459101973472,2.21162714699259
"ABalaappapp","OLQsoVR",308,0,0,0,2,0,15050,0,0,0,0,0,4.00116596953997,2.54512935153731
"ABalaappp",NA,175,0,0,0,5,5,12351,0,0,0,0,0,5.20539311375859,3.47119031695277
"ABalaapppa",NA,223,2,0,0,5,5,16580,0,0,0,0,0,4.28321957562396,2.8256240279422
"ABalaapppaa","RIAR",316,0,0,0,5,0,16580,0,0,0,0,0,3.79168698899974,2.68302394653063
"ABalaapppap","death",316,0,0,0,5,0,16580,0,0,0,0,0,4.64292483999846,3.37191069999617
"ABalaapppp",NA,223,2,0,0,5,5,15382,0,0,0,0,0,4.34316547075284,2.97620163615112
"ABalaappppa",NA,289,0,2,0,5,0,15382,0,0,24,0,0,4.99913833091403,3.46087127640958
"ABalaappppaa","IL1R",400,0,0,0,NA,0,15382,0,0,24,0,0,NA,NA
"ABalaappppap","death",400,0,0,0,NA,0,15382,0,0,24,0,0,NA,NA
"ABalaappppp","IL2R",289,0,2,0,5,0,15382,0,0,0,0,0,5.14762284963382,3.49032013939825
"ABalap",NA,75,1,0,0,5,5,2957,0,0,0,0,0,3.7536575580034,2.80113285722084
"ABalapa",NA,103,1,0,0,5,5,3846,0,0,0,0,217,3.53614254308178,2.44467119936666
"ABalapaa",NA,135,0,0,0,5,5,6699,0,0,0,0,217,4.19814787022882,2.65585127592824
"ABalapaaa",NA,175,1,0,0,5,5,12066,0,0,0,0,217,4.16159787201369,2.65180444983862
"ABalapaaaa",NA,229,2,0,0,5,5,12066,0,0,171,0,217,5.5146529427332,3.05071749955179
"ABalapaaaaa","AVHL",348,0,3,0,4,0,12066,0,0,171,0,217,7.51244111987512,5.99146660659765
"ABalapaaaap","death",348,0,2,0,4,0,12066,0,0,171,0,217,8.73326598632684,7.18459658980571
"ABalapaaap",NA,229,2,0,0,5,5,12066,0,0,0,0,217,4.70758288796069,2.89422933684477
"ABalapaaapa","CANL",301,0,2,0,5,0,12066,0,132,4,0,217,5.03522744243086,2.96357392015278
"ABalapaaapp","OLLsoL",301,0,2,0,5,0,12066,0,119,0,0,217,4.48467959148165,3.09662756612225
"ABalapaap",NA,175,0,0,0,5,5,11135,0,0,0,0,217,5.42542178609704,3.53109631599129
"ABalapaapa",NA,225,1,0,0,5,5,12274,0,0,0,0,217,4.79332023937254,2.75867109092281
"ABalapaapaa","RIAL",321,0,0,0,5,0,12274,0,0,0,0,217,3.01445308058328,1.71041609344963
"ABalapaapap","death",321,0,0,0,5,0,12274,0,0,0,0,217,3.74112235921692,2.39048731960115
"ABalapaapp",NA,225,2,0,0,5,5,11464,0,0,0,0,217,4.72876307076491,2.797192663975
"ABalapaappa",NA,291,0,3,0,5,0,11464,0,54,0,0,217,3.42017453541005,2.22887526081303
"ABalapaappaa","IL1L",400,0,0,0,NA,0,11464,0,54,0,0,217,NA,NA
"ABalapaappap","death",400,0,0,0,NA,0,11464,0,54,0,0,217,NA,NA
"ABalapaappp","IL2L",291,0,0,0,5,0,11464,0,0,0,0,217,3.87624416555688,2.37978940067086
"ABalapap",NA,135,0,0,0,5,5,5598,0,0,0,0,217,4.46015390398272,2.65380950245269
"ABalapapa",NA,171,0,0,0,5,5,9604,4,0,917,0,217,5.34130003476241,3.7089834566263
