"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"AB",NA,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"ABa",NA,19,51,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"ABal",NA,43,51,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"ABala",NA,56,51,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"ABalaa",NA,75,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaa",NA,103,1252,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"ABalaaaa",NA,137,4784,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"ABalaaaal",NA,181,11551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaaaala",NA,232,11551,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABalaaaalal","AINL",330,11551,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaalar","death",330,11551,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaalp",NA,232,11551,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0
"ABalaaaalpa","death",325,11551,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaalpp","ILshL",325,11551,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaar",NA,181,13502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaaaarl",NA,233,13502,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ABalaaaarla","death",314,13502,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaarlp","RMEL",314,13502,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaarr",NA,233,13502,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0
"ABalaaaarra","death",314,13502,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaarrp","RMER",314,13502,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaap",NA,137,4467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapa",NA,175,9394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapal",NA,225,9394,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"ABalaaapall","ILsoL",299,9394,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaapalr","AVDL",299,9394,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaapar",NA,225,9965,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABalaaaparl","death",313,17439,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaaparr","ILshDL",313,20246,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaapp",NA,175,8213,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"ABalaaappl",NA,226,8213,1,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,0
"ABalaaappll","ILshDR",312,11478,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaapplr","death",312,13319,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaappr",NA,226,8213,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalaaapprl","AVDR",300,8213,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaaapprr","ILsoR",300,13018,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaap",NA,103,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapa",NA,137,2937,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalaapaa",NA,181,11270,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0
"ABalaapaaa",NA,236,11901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapaaal","death",334,11901,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaapaaar","AINR",334,11901,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaapaap",NA,236,11270,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0
"ABalaapaapa","death",325,11270,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaapaapp","ILshR",325,11270,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaapap",NA,181,9456,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalaapapa","death",235,9456,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalaapapp",NA,235,9456,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaapappa","death",309,9456,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaapappp","CEPsoVR",309,9456,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
