"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"AB_X20230224_RW10265_tbx.8_die.1_L4","AB","X20230224_RW10265_tbx.8_die.1_L4",61.8,34.9142857142857,8.30664106087928,NA,NA,NA,NA,NA,NA,NA,NA
"ABa_X20230224_RW10265_tbx.8_die.1_L4","ABa","X20230224_RW10265_tbx.8_die.1_L4",61.8,41.9363636363636,6.06799138764381,NA,12.05,0.964883412646315,NA,NA,NA,NA,NA
"ABal_X20230224_RW10265_tbx.8_die.1_L4","ABal","X20230224_RW10265_tbx.8_die.1_L4",67.9,55.0954545454545,3.1075142834177,4.5,12.2095238095238,3.6869912885583,-7.70952380952381,-2.09100678741729,NA,NA,NA
"ABala_X20230224_RW10265_tbx.8_die.1_L4","ABala","X20230224_RW10265_tbx.8_die.1_L4",83.2,74.2454545454545,1.7740798480788,13.7,17.4590909090909,1.87175982660299,-3.75909090909091,-2.00831904588592,NA,NA,NA
"ABalaa_X20230224_RW10265_tbx.8_die.1_L4","ABalaa","X20230224_RW10265_tbx.8_die.1_L4",107.6,101.718181818182,1.03447081647085,22.9,25.7272727272727,1.50528649960313,-2.82727272727273,-1.87822898034237,NA,NA,NA
"ABalaaa_X20230224_RW10265_tbx.8_die.1_L4","ABalaaa","X20230224_RW10265_tbx.8_die.1_L4",138.1,135.586363636364,1.69629721523801,28.9,32.1590909090909,1.62792859645364,-3.25909090909091,-2.00198639927493,NA,NA,NA
"ABalaaaa_X20230224_RW10265_tbx.8_die.1_L4","ABalaaaa","X20230224_RW10265_tbx.8_die.1_L4",179.3,179.959090909091,3.05811318905241,39.7,42.7227272727273,1.88121840411545,-3.02272727272727,-1.60679231402085,NA,NA,NA
"ABalaaaal_X20230224_RW10265_tbx.8_die.1_L4","ABalaaaal","X20230224_RW10265_tbx.8_die.1_L4",225.7,230.536363636364,3.64254561098945,44.8,48.9409090909091,1.84511171191265,-4.1409090909091,-2.24425928477611,NA,NA,NA
"ABalaaaala_X20230224_RW10265_tbx.8_die.1_L4","ABalaaaala","X20230224_RW10265_tbx.8_die.1_L4",337.4,329.247058823529,8.84675912743325,110.1,97.3294117647059,8.19281428340426,12.7705882352941,1.55875475673393,NA,NA,NA
"ABalaaaalal_X20230224_RW10265_tbx.8_die.1_L4","ABalaaaalal","X20230224_RW10265_tbx.8_die.1_L4",NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA
