"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"AB",NA,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"ABa",NA,19,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"ABal",NA,43,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABala",NA,56,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaa",NA,75,2957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaa",NA,103,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaa",NA,137,9319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaal",NA,181,24069,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaaaala",NA,232,24413,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaalal","AINL",330,24413,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalaaaalar","death",330,24413,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalaaaalp",NA,232,24069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaalpa","death",325,24069,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaaalpp","ILshL",325,24069,NA,NA,NA,NA,NA,1,1,0,1,0,NA,NA,NA,NA,NA
"ABalaaaar",NA,181,24408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaaaarl",NA,233,24524,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ABalaaaarla","death",314,24524,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaaarlp","RMEL",314,24524,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalaaaarr",NA,233,24408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaaaarra","death",314,24408,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaaarrp","RMER",314,24408,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaap",NA,137,9114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapa",NA,175,22652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapal",NA,225,23806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapall","ILsoL",299,23806,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA
"ABalaaapalr","AVDL",299,23806,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaapar",NA,225,22652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaparl","death",313,22652,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA
"ABalaaaparr","ILshDL",313,22652,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaapp",NA,175,21001,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,NA
"ABalaaappl",NA,226,23291,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaaappll","ILshDR",312,23291,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaapplr","death",312,23291,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA
"ABalaaappr",NA,226,23432,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ABalaaapprl","AVDR",300,23432,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalaaapprr","ILsoR",300,23432,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalaap",NA,103,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapa",NA,137,6146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapaa",NA,181,17745,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
"ABalaapaaa",NA,236,17745,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ABalaapaaal","death",334,17745,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,NA,NA,NA
"ABalaapaaar","AINR",334,17745,NA,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,NA,NA,NA
"ABalaapaap",NA,236,17745,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"ABalaapaapa","death",325,17745,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA
"ABalaapaapp","ILshR",325,17745,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA
