"","WT_Mean","WT_SD","Mutant_Mean","Mutant_SD","pVals","peak.names.WT_Mean..","X20230222_JIM188_tbx.9_die.1_L1","X20230223_JIM188_tbx.9_die.1_L4","X20230224_RW10265_tbx.8_die.1_L1","X20230224_RW10265_tbx.8_die.1_L3","X20230224_RW10265_tbx.8_die.1_L4"
"P4",0.922677444664259,0.0761981345367053,0.918637610668753,0.10006442115827,0.935746512198119,4405,0.991883766585674,0.74711723890635,0.91457612724,0.967110750653253,0.972500169958491
"MSppppp",0.953553844356978,0.0993267336784422,0.963400770082954,0.0235361769108947,0.68071403055378,9166,0.933509445698702,0.966900933255991,0.957196995380426,0.960458145336423,0.998938330743228
"MSppppa",0.978660284364265,0.0192779843372251,0.950511455144656,0.0439303667894431,0.227876954109577,10140,0.881502263685977,0.944038269363986,0.949671100962299,0.989685738448764,0.987659903262256
"MSpppp",0.95021682450714,0.0509813717180909,0.949587470303111,0.0303819340313684,0.971859968441888,5311,0.991413334971778,0.961746136871387,0.909822855749528,0.949983641060698,0.934971382862166
"MSpppap",0.96418236529928,0.0310494767527368,0.967129926330968,0.0222640539517185,0.811470789267836,3741,0.974826311822791,0.942411126584465,0.991913615800095,0.981526994032868,0.944971583414621
"MSpppaa",0.958841588338311,0.0397987103154152,0.910088029119411,0.0986041249259655,0.334693037624092,5657,0.969318132716653,0.939057427654237,0.937343870696924,0.968841715194557,0.735878999334682
"MSpppa",0.93230872845198,0.0776210273306656,0.909848996488089,0.0627405040522462,0.512411748686266,3741,0.816814985458759,0.883318175966938,0.96483529992965,0.967412605604924,0.916863915480175
"MSppp",0.90147746895057,0.0976092565775176,0.863741728754337,0.0636717709584334,0.331699517409457,1485,0.834073339277128,0.80738216998731,0.972755990477713,0.84985379576486,0.854643348264676
"MSppapp",0.968779492827923,0.0366645709960149,0.818287869998694,0.176539907224159,0.12933306907176,9725,0.999932265779968,0.949683497471692,0.833187815762031,0.553294279561109,0.755341491418672
"MSppapa",0.933841885782231,0.0655455286386368,0.790244274238112,0.190908841747772,0.168609834230585,8036,0.516426837873418,0.954834531792589,0.894550860420169,0.664589715726804,0.920819425377578
"MSppap",0.900882734924934,0.105861498087373,0.843433709221251,0.153014516693086,0.462107961489055,6666,0.98354815384974,0.907613347787602,0.96486028644618,0.713064129283649,0.648082628739086
"MSppaap",0.923339196467731,0.0668533843823583,0.665982637039586,0.42239396551644,0.245110311843984,7181,0.787469952583327,0.963589646605634,0.94826915967931,-0.0619903870031372,0.692574813332799
"MSppaaa",0.942247715344571,0.0414182206088719,0.602506295853495,0.235396648589655,0.0317625961196727,8035,0.545264148978146,0.671592932160928,0.22183338142306,0.768649894659529,0.805191122045812
"MSppaa",0.928608859983972,0.0828103498900657,0.865435126866203,0.0745825938163079,0.14163271557301,7181,0.927264871699378,0.803768637372588,0.766790043638647,0.909964763286017,0.919387318334387
"MSppa",0.979029326540754,0.0187989894139141,0.906989561809969,0.113246180081392,0.228327489632729,1485,0.985094508410643,0.963207374628921,0.91756468372905,0.959896978854617,0.709184263426614
