"","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABa:31",NA,NA,-8,NA,NA
"ABa:32",NA,NA,-8,NA,NA
"ABa:33",NA,NA,-8.7,NA,NA
"ABa:34",NA,NA,-8.7,NA,NA
"ABa:35",NA,-10.2,-10.8,NA,NA
"ABa:36",NA,-10.2,-12.1,NA,NA
"ABa:37",NA,-13.8,-12.1,NA,NA
"ABa:38",NA,-13.8,-12.7,NA,NA
"ABa:39",NA,-12.7,-11.4,NA,NA
"ABa:40",NA,-12.7,-11.4,NA,NA
"ABa:41",-8.7,-11.6,-10.4,-15.1,-13.5
"ABa:42",-8.7,-11.3,-11.8,-15.1,-13.5
"ABal:43",-14.7,-9.5,-12,-15.6,-13.3
"ABal:44",-14.7,-9.5,-12,-15.6,-13.3
"ABal:45",-15.5,-11.6,-13.5,-15.6,-13.3
"ABal:46",-15.5,-12.6,-13.5,-16.7,-13.3
"ABal:47",-15.4,-14,-14.5,-16.7,-14.3
"ABal:48",-15.4,-14,-14.5,-16.7,-14.3
"ABal:49",-16.5,-14.9,-15.6,-17.6,-14.3
"ABal:50",-16.5,-14.4,-15.8,-17.6,-14.3
"ABal:51",-16.5,-15.3,-15.8,-17.6,-14.6
"ABal:52",-16.5,-15.3,-15.5,-17.5,-14.6
"ABal:53",-14.6,-16.5,-15.5,-17.5,-14.6
"ABal:54",-14.6,-16.9,-14.9,-17.5,-14.6
"ABal:55",-13.3,-14.9,-13.5,-17.5,-13.3
"ABala:56",-16.1,-15.9,-15.6,-17.7,-15.7
"ABala:57",-16.1,-15.9,-15.6,-17.7,-15.7
"ABala:58",-16.1,-16.2,-16.5,-17.9,-15.8
"ABala:59",-16.9,-16.2,-16.5,-17.9,-15.8
"ABala:60",-16.9,-17.6,-16.6,-19.3,-16.8
"ABala:61",-17.3,-17.6,-16.6,-19.3,-16.8
"ABala:62",-17.3,-18.3,-17.6,-18.6,-17.4
"ABala:63",-17.3,-18.3,-17.6,-18.6,-17.4
"ABala:64",-17.3,-17.4,-17.5,-18.4,-16.3
"ABala:65",-17.4,-17.2,-17.5,-18.4,-16.3
"ABala:66",-17.4,-17.2,-17.5,-18.4,-16
"ABala:67",-17.4,-17.8,-17.5,-18.4,-16
"ABala:68",-16.9,-17.8,-17.5,-18.3,-15.8
"ABala:69",-16.9,-17.3,-17.2,-18.3,-15.8
"ABala:70",-15.9,-17.3,-17.2,-17.6,-16.4
"ABala:71",-15.9,-16.4,-16.6,-17.6,-16.4
"ABala:72",-15.8,-16.4,-16.6,-16.4,-15.9
"ABala:73",-15.8,-15.8,-16,-16.4,-15.9
"ABala:74",-15.8,-15.7,-15.4,-17.1,-16.9
"ABalaa:75",-17.8,-18.2,-17.1,-18.9,-16.7
"ABalaa:76",-17.8,-18.2,-17.1,-18.9,-16.7
"ABalaa:77",-18.6,-18.2,-16.8,-19.4,-18.1
"ABalaa:78",-18.6,-18.2,-16.8,-19.4,-18.1
"ABalaa:79",-19,-18.9,-17.5,-19.7,-18.3
"ABalaa:80",-19,-18.9,-17.5,-19.7,-18.3
"ABalaa:81",-19.6,-18.2,-17.9,-19.1,-18.6
"ABalaa:82",-19.6,-18.2,-17.9,-19.1,-18.6
"ABalaa:83",-19.6,-18.2,-16.9,-19.2,-18.5
"ABalaa:84",-19.2,-18,-17.2,-19.2,-18
"ABalaa:85",-19.2,-18,-17.2,-19.2,-18
"ABalaa:86",-18.6,-18.2,-17.3,-19.2,-18.1
"ABalaa:87",-18.7,-18.2,-17.3,-19.3,-18.1
"ABalaa:88",-18.7,-18.5,-17.3,-19.3,-18.3
"ABalaa:89",-18.6,-18.5,-17.3,-19.4,-18.3
"ABalaa:90",-18.6,-18.7,-17.9,-19.4,-18.4
"ABalaa:91",-18.8,-18.7,-17.9,-19.5,-18.4
"ABalaa:92",-19,-18.8,-17.5,-19.5,-18.3
"ABalaa:93",-19,-18.6,-17,-19.4,-18
"ABalaa:94",-18.9,-18.6,-17,-19.4,-18
"ABalaa:95",-18.9,-18.8,-17,-19.7,-18.1
"ABalaa:96",-19.4,-18.8,-17,-19.7,-18.1
"ABalaa:97",-19,-18.5,-17.3,-19.4,-18.3
"ABalaa:98",-19,-18.5,-17.3,-19.4,-18.3
"ABalaa:99",-18.9,-17.7,-16.7,-19.2,-18.6
"ABalaa:100",-18.9,-17.7,-16.7,-19.2,-18.6
"ABalaa:101",-18.8,-18,-16.6,-19.1,-18.7
"ABalaa:102",-18.1,-17.7,-16.5,-19,-18.4
"ABalaaa:103",-19.2,-18.6,-18,-20,-18.2
"ABalaaa:104",-19.2,-18.6,-18,-20,-18.2
"ABalaaa:105",-19.5,-18.6,-17.9,-19.6,-18.6
"ABalaaa:106",-19.5,-18.6,-17.9,-19.6,-18.6
"ABalaaa:107",-19.2,-19.4,-18.3,-19.9,-18.8
"ABalaaa:108",-19.2,-20,-18.8,-19.9,-18.8
"ABalaaa:109",-20.2,-20,-18.8,-20.7,-19.4
"ABalaaa:110",-20.2,-19.5,-18.5,-20.7,-19.8
"ABalaaa:111",-19.9,-19.5,-18.5,-20.7,-19.8
"ABalaaa:112",-19.9,-19.7,-18.9,-20.7,-19.7
"ABalaaa:113",-19.5,-19.5,-18.7,-20.8,-19.7
"ABalaaa:114",-19.7,-19.5,-18.7,-20.8,-19.7
"ABalaaa:115",-19.7,-19.5,-18.8,-20.7,-19.7
"ABalaaa:116",-19.3,-19.5,-18.8,-20.7,-19.7
"ABalaaa:117",-19.3,-19.6,-18.5,-20.4,-19.2
"ABalaaa:118",-19.3,-19.6,-18.3,-20.4,-19.2
"ABalaaa:119",-19.3,-19.6,-18.3,-20.3,-19.1
"ABalaaa:120",-19.2,-19.7,-18.2,-20.3,-19.1
"ABalaaa:121",-19.2,-19.7,-18.2,-20.5,-19.2
"ABalaaa:122",-19.3,-19.5,-18.3,-20.5,-19.2
"ABalaaa:123",-19.3,-19.7,-18,-20.3,-19.3
"ABalaaa:124",-19.1,-19.7,-18,-20.3,-19.2
"ABalaaa:125",-18.8,-19.3,-18,-20.4,-19.2
"ABalaaa:126",-18.8,-19.3,-18,-20.4,-19.4
"ABalaaa:127",-19.2,-19.6,-18,-20.2,-19.4
"ABalaaa:128",-19.2,-19.5,-17.8,-20.2,-19.1
"ABalaaa:129",-19.7,-19.5,-17.8,-20.2,-19.1
"ABalaaa:130",-19.7,-19.5,-17.6,-20.2,-19.4
"ABalaaa:131",-19.4,-19.5,-17.6,-20,-18.6
"ABalaaa:132",-19.4,-19.2,-17,-20,-18.6
"ABalaaa:133",-18.9,-18.7,-16.8,-19.7,-17.9
"ABalaaa:134",-18.9,-18.7,-16.8,-19.7,-17.9
"ABalaaa:135",-18.7,-17.8,-16.6,-19.3,-17.3
"ABalaaa:136",-18.2,-17.9,-16.5,-19.6,-17.2
"ABalaaaa:137",-19.4,-19,-17.1,-20,-17.1
"ABalaaaa:138",-19.4,-19,-17.1,-20,-17.1
"ABalaaaa:139",-19.4,-18.7,-16.8,-20.1,-17
"ABalaaaa:140",-19.4,-18.7,-15.9,-20.1,-17
"ABalaaaa:141",-20.1,-18.4,-15.9,-20.4,-17.2
"ABalaaaa:142",-20.1,-18.5,-15.9,-20.4,-16.4
"ABalaaaa:143",-20.1,-18.5,-16.4,-20.5,-16.4
"ABalaaaa:144",-20.1,-18.9,-16.4,-20.5,-18
"ABalaaaa:145",-20.5,-19.1,-16.6,-20.3,-18
"ABalaaaa:146",-20.3,-19.1,-17.7,-19.8,-18.7
"ABalaaaa:147",-20.3,-19.4,-17.7,-19.8,-19.1
"ABalaaaa:148",-20.4,-19.6,-17.5,-20,-19.1
"ABalaaaa:149",-20.4,-19.6,-17.2,-20,-19
"ABalaaaa:150",-20.2,-19.4,-17.5,-20,-19
"ABalaaaa:151",-20.2,-18.6,-17.5,-20,-19
"ABalaaaa:152",-20.1,-18.6,-17.5,-19.9,-19.2
"ABalaaaa:153",-20.1,-18.4,-17.4,-19.9,-19.2
"ABalaaaa:154",-19.7,-17.4,-17.4,-19.5,-18.8
"ABalaaaa:155",-19.1,-17.4,-17.6,-19.3,-18.8
"ABalaaaa:156",-19.1,-17.5,-17.7,-19.3,-18.8
"ABalaaaa:157",-19.4,-17.3,-17.7,-19.5,-19.4
"ABalaaaa:158",-19.4,-17.3,-17.8,-19.5,-19.4
"ABalaaaa:159",-19.1,-17.3,-17.6,-18.9,-19.3
"ABalaaaa:160",-19.1,-17.3,-18.1,-18.9,-19.3
